Nome: PEIXE
Codigo Estacao: 83228
Latitude: -12.01527777
Longitude: -48.54499999
Altitude: 252.24
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;325,9;32,5;26,2;22,3;80,5;
2010-02-28;155,4;33,6;26,8;22,7;78;
2010-03-31;148,7;33,3;26,8;23,3;80,4;
2010-04-30;58,3;33,6;26,6;22,2;73,7;
2010-05-31;3,1;35,2;26,8;21,5;68,9;
2010-06-30;0;34,1;24,6;18,4;59;
2010-07-31;0;34,1;24,8;17,8;52,4;
2010-08-31;0;35,6;25,3;17,2;41,4;
2010-09-30;20,1;36,9;27,4;19,7;39,7;
2010-10-31;128,6;35,7;27,8;22,7;67,1;
2010-11-30;312,8;32,1;26,2;22,4;79,2;
2010-12-31;202,5;31,8;26;22,5;83,2;
2011-01-31;301,4;31,1;25,2;22,1;85,3;
2011-02-28;194,8;31,8;25,4;21,9;82,6;
2011-03-31;201,5;31,9;25,7;22,4;84,6;
2011-04-30;41,9;33;26,2;22,2;78,2;
2011-05-31;5,1;33,4;25,7;20,7;67,9;
2011-06-30;0;33,7;24,4;18,1;63,3;
2011-07-31;0;33,9;23,9;17;55,6;
2011-08-31;0;36,8;26,1;17,9;44,3;
2011-09-30;5,4;37,5;27,3;19,1;37,6;
2011-10-31;172,5;33,1;26,5;22;71,6;
2011-11-30;184,7;31,2;25,6;22,3;81;
2011-12-31;213,7;32;26;22,2;79,5;
2012-01-31;248,4;31;24,9;21,9;83,5;
2012-02-29;158;31,7;25,4;21,6;79,7;
2012-03-31;109,3;32,7;26,1;22,1;80,4;
2012-04-30;13;34,8;27;22;72,9;
2012-05-31;59,6;33,5;25,8;21;69,2;
2012-06-30;0;34,4;25,4;19,8;64,2;
2012-07-31;0;34,6;24,3;16,9;53,3;
2012-08-31;0;34,8;25,5;18,2;42,5;
2012-09-30;58,4;37,3;27,8;20,5;42,3;
2012-10-31;24,7;36,3;28,6;22,8;54,4;
2012-11-30;184,3;32,1;26,6;23,3;77,6;
2012-12-31;121;34,1;26,9;22,5;75,2;
2013-01-31;332,5;31,7;26,2;22,7;81,4;
2013-02-28;92,3;33,4;26,6;22,5;79,2;
2013-03-31;177,2;32,8;26,5;22,8;81,5;
2013-04-30;119,3;33,1;26,5;22,7;77,9;
2013-05-31;33,9;34,1;26,2;21;71,2;
2013-06-30;50,6;34,1;25,5;20;66,9;
2013-07-31;0;34,9;25,3;18,6;56;
2013-08-31;0;36,3;26,6;19,4;45,3;
2013-09-30;5,4;37,1;28,8;22,5;46,9;
2013-10-31;100,2;35,6;28,6;23,7;58,2;
2013-11-30;301,1;33,4;26,7;22,6;75,1;
2013-12-31;445,3;30,8;25,6;22,3;83,2;
2014-01-31;224,2;32,5;25,8;22;80,1;
2014-02-28;240,2;31,5;25,7;22,3;82,3;
2014-03-31;269,4;31,8;25,9;22,6;84,3;
2014-04-30;41,7;33;26,2;22,7;81,6;
2014-05-31;,3;33,5;26,1;21,3;71,3;
2014-06-30;,1;33,3;24,8;19,1;65,6;
2014-07-31;0;33,9;24,8;18,6;57,3;
2014-08-31;0;35,8;25,9;18,5;47,4;
2014-09-30;30,4;37,1;28,2;21,6;52,2;
2014-10-31;186,1;35,7;27,8;21,9;58,5;
2014-11-30;206,1;33,2;26,9;22,8;75,9;
2014-12-31;268,3;31,9;26,2;22,7;78,2;
2015-01-31;108,7;33,5;26,8;22,5;76,5;
2015-02-28;213,1;32;25,9;22,4;81,3;
2015-03-31;201;32,1;25,8;22,3;84,5;
