Nome: SALVADOR (ONDINA)
Codigo Estacao: 83229
Latitude: -13.00583333
Longitude: -38.50583333
Altitude: 47.35
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;78,5;31,5;27,2;23,4;78,8;
2010-02-28;19,2;32,9;28,2;24,3;75,8;
2010-03-31;122,8;31,9;27,6;23,8;83,9;
2010-04-30;448,8;29;26,1;22,9;88,1;
2010-05-31;243,8;28,6;25,7;22,4;85,4;
2010-06-30;96,6;27;24,4;21,3;83,2;
2010-07-31;492,5;26,2;23,2;19,9;87,5;
2010-08-31;176,3;26,4;23;19,3;82,8;
2010-09-30;55,8;27,3;23,8;20;81,2;
2010-10-31;56,7;29,9;25,6;21,7;83,4;
2010-11-30;27,2;30,7;26,3;22;80,2;
2010-12-31;102,5;30,6;26,3;22,1;82,5;
2011-01-31;170,3;30,1;25,9;21,7;84,5;
2011-02-28;46,2;31,5;27;22,5;79,5;
2011-03-31;200,7;30,5;26,7;22,4;85,3;
2011-04-30;331;29,3;25,7;21,4;87,2;
2011-05-31;304,2;27,5;24,4;20,4;87,8;
2011-06-30;277,7;26,5;23,4;19,5;88,2;
2011-07-31;57,6;26,8;23,2;19,3;83;
2011-08-31;91,3;27;23,3;19,1;84,1;
2011-09-30;62;27,1;23,5;19,6;80,8;
2011-10-31;208,5;28,9;24,8;21;86;
2011-11-30;319,2;28,4;24,9;21,5;85,4;
2011-12-31;100,7;30;26;22,6;82,7;
2012-01-31;35,7;30,6;26,4;22,9;80,5;
2012-02-29;70,9;30,4;26,2;22,7;83,1;
2012-03-31;74,7;30,4;26,3;22,8;82,9;
2012-04-30;48,8;30,5;26,3;22,7;82,4;
2012-05-31;411,5;28,2;25;22,1;87,2;
2012-06-30;170,2;27,5;24,2;21,3;87,1;
2012-07-31;162,5;26,7;23,4;20,4;85,7;
2012-08-31;137,4;26,4;23;19,7;85,4;
2012-09-30;30,7;28;24,2;20,8;82,5;
2012-10-31;73,6;28,6;24,7;21,3;83,1;
2012-11-30;35,5;30,2;26;22,5;80,1;
2012-12-31;10,7;31,7;26,8;22,7;75,3;
2013-01-31;36,2;32,1;27,3;23,4;77,9;
2013-02-28;28,6;32,8;27,6;23,5;76,7;
2013-03-31;38,4;32,8;27,8;23,8;78,1;
2013-04-30;230,8;30,3;26,5;23,1;82,6;
2013-05-31;231,1;27,9;25,1;22;87;
2013-06-30;308,4;26,7;23,9;21,3;90,3;
2013-07-31;198;26,4;23,7;20,7;86,1;
2013-08-31;211,2;26,7;23,3;20;84,8;
2013-09-30;109,4;27,5;24;20,4;83,9;
2013-10-31;208,6;28,2;24,8;21,1;82,4;
2013-11-30;209,2;28,9;25,4;21,4;83;
2013-12-31;158,2;29,4;25,9;22,2;82,8;
2014-01-31;48,3;29,5;25,9;22,1;81,6;
2014-02-28;142,7;29,4;25,7;21,9;83,8;
2014-03-31;128,8;30;26,3;22,4;82,1;
2014-04-30;107,1;29,2;26;22,5;83,9;
2014-05-31;247,2;27,6;24,6;21;87,3;
2014-06-30;240,6;26,7;23,7;20,3;87,2;
2014-07-31;198,9;26,2;23,3;20,3;87,8;
2014-08-31;60,2;26,4;23,5;21,2;82,5;
2014-09-30;92,7;27,5;24;21,4;83,3;
2014-10-31;27,7;28,9;25,2;22,5;78,5;
2014-11-30;59;29,4;25,6;22,9;81,4;
2014-12-31;194,2;29,5;25,9;23,1;82,2;
2015-01-31;51,3;30,3;26,5;23,6;79;
2015-02-28;89,6;30,6;26,8;23,9;81,8;
2015-03-31;31,3;31,3;27,2;24,2;79,7;
2015-04-30;394,2;29,7;26,4;23,7;85,7;
2015-05-31;639;27,4;24,7;22,5;91,5;
2015-06-30;353,1;26,6;23,8;21,6;91;
2015-07-31;183,9;26,6;23,7;21,6;89;
2015-08-31;87,5;26,5;23,4;21,2;84,9;
2015-09-30;21,9;28,4;24,7;21,9;82;
2015-10-31;16,6;29,7;25,7;23;79,1;
2015-11-30;3,2;31,4;26,9;23,8;77,7;
2015-12-31;15,7;32;27,2;23,8;76,8;
2016-01-31;162,5;30,3;26,8;24,2;83,2;
2016-02-29;40,5;31,3;27,3;24,3;78,7;
2016-03-31;65,5;31,7;27,8;24,6;75,9;
2016-04-30;68,4;30,9;26,9;23,8;78,9;
2016-05-31;242,2;28,2;25,2;22,5;85,8;
2016-06-30;126,2;27,6;24,5;21,5;85,2;
2016-07-31;91,5;27,3;24;21;82,2;
2016-08-31;180,9;27,6;24,2;21,7;81,7;
2016-09-30;122,3;27,8;24,4;21,9;83,1;
2016-10-31;74,7;29,6;25,9;22,9;81,2;
2016-11-30;54,5;30,2;26,2;23,3;79,9;
2016-12-31;53,3;31;26,8;23,8;78,1;
2017-01-31;23,5;32,4;27,5;23,8;72,7;
2017-02-28;95,8;31,9;27,2;24,1;77,2;
2017-03-31;181,1;30,8;26,7;23,6;81,1;
2017-04-30;152;29,3;26,1;23,7;85,5;
2017-05-31;324,3;27,8;24,9;22,6;87,8;
2017-06-30;105,7;27,2;24,2;21,6;86,7;
2017-07-31;228,4;25,6;22,7;19,6;86,8;
2017-08-31;67;26,2;23;20;85,7;
2017-09-30;126,1;27;23,5;20,2;86,8;
2017-10-31;74,1;29,2;25;21,4;84,8;
2017-11-30;77,4;30,3;26;22,6;86;
2017-12-31;83;31,4;26,8;23,1;80;
2018-01-31;77,5;31,8;27,1;23,5;79,4;
2018-02-28;65,4;31,6;27,2;23,8;80,3;
2018-03-31;188,7;32,2;27,7;24,5;78,8;
2018-04-30;241,5;null;null;null;null;
2018-05-31;220;null;null;null;null;
2018-06-30;175,8;null;null;null;null;
2018-07-31;63,6;null;null;null;null;
2018-08-31;62;null;null;null;null;
2018-09-30;90,1;null;null;null;null;
2018-10-31;65,6;29,8;25,9;23,1;78,5;
2018-11-30;72,7;30,1;26,4;23,5;78,9;
2018-12-31;149;30,3;26,6;23,9;79,8;
2019-01-31;62,9;31,4;27,4;24,7;75,9;
2019-02-28;1,5;32,8;28,6;25,8;75,2;
2019-03-31;279,3;31,7;null;25,2;null;
2019-04-30;228,7;30,2;null;25;null;
2019-05-31;240,6;null;null;24,6;null;
2019-06-30;199,1;28,1;25,1;23;85,1;
2019-07-31;298,3;27,1;24,3;22,3;87;
2019-08-31;121,3;27,4;24,3;22,3;83,5;
2019-09-30;139,8;28;24,8;22,6;82,6;
2019-10-31;90,4;29,3;25,7;23,4;79,3;
2019-11-30;211;30,1;26,7;24,1;77,8;
2019-12-31;43,5;30,8;27,2;24,6;76,8;
2020-01-31;101,6;30,7;27,3;24,7;80,1;
2020-02-29;40,2;31,4;27,9;25,4;78,1;
2020-03-31;272,3;30,5;27,4;25,1;83,7;
2020-04-30;545,7;29;26,5;24,7;86,3;
2020-05-31;489,1;27,7;25,4;23,5;88,5;
2020-06-30;212,7;27,8;25,1;23;85,6;
2020-07-31;190,3;28,4;null;22,1;null;
2020-08-31;155,1;26,9;null;22,2;null;
2020-09-30;102,2;27,9;null;22,6;null;
2020-10-31;67;29,9;null;23,9;null;
2020-11-30;153,5;29;null;23,7;null;
2020-12-31;31,9;30,4;null;24,4;null;
2021-01-31;158,1;30,2;null;24,3;null;
2021-02-28;54,9;30,7;null;24,9;null;
2021-03-31;65,9;30,6;null;24,5;null;
2021-04-30;305,7;28,8;null;24,3;null;
2021-05-31;121,8;27,8;null;23,4;null;
2021-06-30;150,7;26,8;null;22,9;null;
2021-07-31;263;26,1;null;21,9;null;
2021-08-31;182;26,4;null;21,8;null;
2021-09-30;37,8;28,1;null;22,9;null;
2021-10-31;152,1;30;null;24,2;null;
2021-11-30;316;29,4;null;24,1;null;
2021-12-31;387,9;29,5;null;24,4;null;
2022-01-31;37,1;null;null;24,7;null;
2022-02-28;109,8;null;null;25;null;
2022-03-31;345,5;null;null;24,5;null;
2022-04-30;420,9;null;null;24,2;null;
2022-05-31;204,4;null;null;23,8;null;
2022-06-30;118,7;null;null;22,8;null;
2022-07-31;188,2;null;null;21,9;null;
2022-08-31;122,4;null;null;21,9;null;
2022-09-30;71,2;null;null;22,1;null;
2022-10-31;84,8;null;null;23,5;null;
