Nome: TAGUATINGA
Codigo Estacao: 83235
Latitude: -12.40222222
Longitude: -46.43833333
Altitude: 604.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;349,8;31,6;null;null;74,5;
2010-02-28;112,3;32,3;null;null;70,5;
2010-03-31;279,1;32,6;null;null;74;
2010-04-30;123,5;32,5;null;null;64,4;
2010-05-31;3,4;33,4;null;null;59,7;
2010-06-30;0;32,3;null;null;47,5;
2010-07-31;0;31,2;null;null;47,3;
2010-08-31;0;32,4;null;null;null;
2010-09-30;29,9;35;null;null;39,8;
2010-10-31;212,6;34,7;null;null;57,7;
2010-11-30;154,1;31,5;null;null;76;
2010-12-31;182;31,5;25,7;21,9;74,8;
2011-01-31;153,4;31,1;25,1;21,3;null;
2011-02-28;297,8;30,2;24,3;20,6;82,4;
2011-03-31;456,1;30,6;24,6;21,3;83,2;
2011-04-30;131;32;25,5;21,4;70,2;
2011-05-31;46,2;32;25,5;21,1;56,9;
2011-06-30;0;32,2;25;20;51,1;
2011-07-31;0;32,2;25;19,8;41,9;
2011-08-31;0;34,5;27,1;21,7;null;
2011-09-30;0;35,3;27,8;22,4;33,2;
2011-10-31;178,8;32,7;26,3;22,2;65,7;
2011-11-30;358,8;30;24,5;20,9;78,1;
2011-12-31;361,7;30,7;24,8;21;77,4;
2012-01-31;325,9;30;24,1;20,6;79,1;
2012-02-29;190,1;30,9;24,8;20,7;74,2;
2012-03-31;171,9;32,5;26,1;21,8;68,1;
2012-04-30;92,4;34,1;27;22,2;66;
2012-05-31;29,1;32,1;25,7;21,5;61,6;
2012-06-30;0;32,9;26;21,4;47,1;
2012-07-31;0;32,7;25,6;20,6;40,1;
2012-08-31;0;32,2;25,1;19,8;null;
2012-09-30;2,1;35,9;28,5;23,1;34,2;
2012-10-31;19,3;35,6;28,9;24;43;
2012-11-30;389,9;30,5;25,1;21,7;77,7;
2012-12-31;115,1;33,8;27,2;22,4;66,1;
2013-01-31;499,1;29,8;24,6;21,4;null;
2013-02-28;75,2;33,1;26,6;22,3;65,9;
2013-03-31;195,7;32,4;26,3;22,3;73;
2013-04-30;176,7;31,7;25,7;21,8;71,1;
2013-05-31;33,2;33;26,3;21,8;56;
2013-06-30;2,8;32,4;25,9;21,6;51,2;
2013-07-31;0;32,8;26;21,2;45,9;
2013-08-31;0;33,6;26,5;21,5;null;
2013-09-30;6,5;35,1;28,3;23,1;42,1;
2013-10-31;115,6;34,1;27,5;22,9;55,8;
2013-11-30;232;32,4;26,1;22;67,7;
2013-12-31;377,2;29,7;24,9;21,7;77,2;
2014-01-31;206;31,9;25,6;21,2;null;
2014-02-28;132,4;31,4;25,4;21,8;72,5;
2014-03-31;267,4;30,5;24,8;21,5;80,5;
2014-04-30;185,2;31,5;25,6;21,6;75,4;
2014-05-31;40;32,3;26,2;21,7;59,8;
2014-06-30;0;31,9;25,3;20,7;51,6;
2014-07-31;0;32,2;25,4;20,5;44,3;
2014-08-31;0;33,6;26,5;21,3;null;
2014-09-30;5,4;36,1;28,9;23,4;38,8;
2014-10-31;140,4;35,3;27,9;22,8;49,9;
2014-11-30;379,1;32,8;26,1;22,1;70,9;
2014-12-31;277,9;31,2;25,3;21,6;78;
2015-01-31;89;33,4;27,1;22,5;null;
2015-02-28;173;31,2;25;21,3;75,6;
2015-03-31;306,5;30,5;24,7;21,1;81,2;
2015-04-30;439,5;30,6;25,1;21,7;81,1;
2015-05-31;12,3;31,7;25,8;21,5;63,3;
2015-06-30;0;31,7;25,2;20,6;51,6;
2015-07-31;0;32,5;25,6;20,7;50,3;
2015-08-31;0;33,6;26,4;21,1;null;
2015-09-30;1,8;37,2;29,9;24,4;33,8;
2015-10-31;50,1;37,2;29,7;24,6;44,6;
2015-11-30;117,2;35,2;28,3;23,6;59,3;
2015-12-31;81,4;35,8;28,4;23,2;49,2;
2016-01-31;366,3;30;24,9;21,9;null;
2016-02-29;59,2;34,2;27,8;23,2;59,3;
2016-03-31;159,9;34,1;27,4;23,2;68,1;
