Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.15583333
Longitude: -45.00833333
Altitude: 447.51
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;null;null;null;null;null;
2010-03-31;null;null;null;null;null;
2010-04-30;null;null;null;null;null;
2010-05-31;null;null;null;null;null;
2010-06-30;null;null;null;null;null;
2010-07-31;,2;32,1;23,6;16;null;
2010-08-31;0;33,4;23,7;14,5;null;
2010-09-30;0;35,3;26,5;17,5;null;
2010-10-31;105,4;36,1;28,3;22;null;
2010-11-30;145,1;32,3;26,1;21,6;null;
2010-12-31;233,1;31,6;25,5;21,4;null;
2011-01-31;193;31;25,1;21;null;
2011-02-28;138,1;30,5;24,7;21;null;
2011-03-31;191,4;30,4;24,8;21;null;
2011-04-30;26,5;31,5;24,9;20,4;null;
2011-05-31;1,7;32,1;23,8;18,1;null;
2011-06-30;0;32,4;22,7;16;null;
2011-07-31;0;32,6;22,3;14,4;null;
2011-08-31;0;34,4;24,6;16,1;null;
2011-09-30;0;35,2;25,8;16,7;null;
2011-10-31;181;33,4;27;22,1;null;
2011-11-30;206,5;29,7;24,7;20,9;null;
2011-12-31;226,1;30,9;24,9;20,6;null;
2012-01-31;110,6;30,6;24,9;20,9;null;
2012-02-29;64,9;31,7;25,1;20,8;null;
2012-03-31;46,7;33,9;26,2;20,8;null;
2012-04-30;3,8;35,2;26,1;19,8;null;
2012-05-31;5,8;33,7;25,6;19,6;null;
2012-06-30;1,1;33,7;24,6;17,5;null;
2012-07-31;0;33,1;23,6;15,7;null;
2012-08-31;0;32,5;24,6;17,1;null;
2012-09-30;,2;35,7;27,2;18,5;null;
2012-10-31;15,3;36,4;28,8;21,3;null;
2012-11-30;298,9;30,8;25,2;21,7;null;
2012-12-31;35,2;33,9;26,7;20,8;null;
2013-01-31;341,9;31,3;25,6;21,6;null;
2013-02-28;54,7;33;26,3;21,2;null;
2013-03-31;87,8;33,3;26,3;21,7;null;
2013-04-30;68,3;32,1;25,7;21,3;null;
2013-05-31;2,7;33,5;25,2;19,3;null;
2013-06-30;,3;33,1;24,6;18,2;null;
2013-07-31;0;33,1;24,2;16,6;null;
2013-08-31;0;34;25,3;17,4;null;
2013-09-30;6;35,6;28;21,1;null;
2013-10-31;43,6;35,3;28,5;22,9;null;
2013-11-30;188,7;33,3;26,7;21,9;null;
2013-12-31;255,9;30,2;25;21,5;null;
2014-01-31;29,3;32,7;26,2;20,9;null;
2014-02-28;115,5;31,8;25,5;21,1;null;
2014-03-31;92,4;31,6;25,5;21,5;null;
2014-04-30;98,1;31,8;25,3;20,8;null;
2014-05-31;1,3;32,5;24,9;19,5;null;
2014-06-30;0;32,3;23,6;17,1;null;
2014-07-31;0;32,7;24,2;17,2;null;
2014-08-31;0;34;25,1;17,1;null;
2014-09-30;43,7;36,1;27,6;19,9;null;
2014-10-31;null;null;null;null;null;
2014-11-30;153,9;34,5;27,5;22,6;null;
2014-12-31;290,5;31,7;25,8;21,3;null;
2015-01-31;203,5;34,5;26,6;20,5;null;
2015-02-28;132,7;31,1;25,1;20,9;null;
2015-03-31;128,8;32,5;25,9;21,6;null;
2015-04-30;147,7;32;25,8;21,9;null;
2015-05-31;15,4;31,8;24,7;19,7;null;
2015-06-30;0;32,2;23,6;17,3;null;
2015-07-31;0;33,1;24,4;17,1;null;
2015-08-31;0;33,9;24,8;16,4;null;
2015-09-30;9,9;37,5;27,6;19;null;
2015-10-31;13,2;37,3;28,8;20,9;null;
2015-11-30;129,1;36,4;28,6;22,1;null;
2015-12-31;30,5;36,2;28;21,5;null;
2016-01-31;593,1;30,4;25,3;22;null;
2016-02-29;9,8;34;26,9;20,9;null;
2016-03-31;81,1;34,1;27,1;21,8;null;
2016-04-30;null;null;null;null;null;
2016-05-31;2,8;34,6;25,3;18,6;null;
2016-06-30;2,4;33,7;24,7;17,8;null;
2016-07-31;0;33,3;23,8;15,8;null;
2016-08-31;0;34,9;25,8;17,6;null;
2016-09-30;15,5;35,5;27,4;20,2;null;
2016-10-31;95,8;35,3;27,8;21,7;null;
2016-11-30;120,1;33,4;26,8;21,6;null;
2016-12-31;106,3;32,8;26,3;21,6;null;
2017-01-31;19,5;34,4;27,2;21,8;null;
