Nome: LENCOIS
Codigo Estacao: 83242
Latitude: -12.55777777
Longitude: -41.38888888
Altitude: 438.09
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;60,1;32,7;26,2;21,8;74,9;
2010-02-28;25,3;33,3;26,9;22,1;73,6;
2010-03-31;107,2;32;26,1;22,4;81,6;
2010-04-30;192,5;29,3;24,4;21,5;78,3;
2010-05-31;39,2;29;24;20,9;77,8;
2010-06-30;4,3;28;22,3;18,1;72;
2010-07-31;75,5;26,7;21,6;18,2;78,1;
2010-08-31;20,9;27,7;21,6;17,8;70,3;
2010-09-30;19,7;30,2;null;null;62,5;
2010-10-31;174;32,9;null;null;63;
2010-11-30;33,1;31,2;null;null;68;
2010-12-31;131,8;31,1;25;20;72,4;
2011-01-31;127,2;30,2;24,5;19,6;75,5;
2011-02-28;56,2;32,2;25,7;20;66;
2011-03-31;187,2;32,1;25,7;20,6;72,2;
2011-04-30;122,5;29,6;24,1;19,3;77,3;
2011-05-31;90,4;27,5;22,2;17,4;79,5;
2011-06-30;32,2;28,1;22,2;17,8;73,5;
2011-07-31;28,9;27,5;21,4;17,8;72,7;
2011-08-31;46,9;29,2;23;19,4;66,8;
2011-09-30;9,7;29,3;23;19,2;62,7;
2011-10-31;47,4;30,7;25;21,5;66,8;
2011-11-30;123,2;28,8;23,9;21,2;74,6;
2011-12-31;96,2;31,4;25,5;22,7;71;
2012-01-31;15,3;32,3;26,4;22,7;75,5;
2012-02-29;139;32,2;26,1;22,6;66,5;
2012-03-31;4,7;33,5;26,9;23,3;59,2;
2012-04-30;6,6;32,9;26,2;21,9;59,4;
2012-05-31;62,3;29,4;23,9;20;69,6;
2012-06-30;58,7;28,3;23;20;73,2;
2012-07-31;30,7;27,5;21,8;18,3;72,2;
2012-08-31;32,8;27,9;22,2;18,6;66,7;
2012-09-30;,3;31,3;24,7;20,9;58;
2012-10-31;62,3;32,1;25,6;21,9;60,8;
2012-11-30;121,5;29,5;24,9;22,4;78,7;
2012-12-31;4,6;34;27,2;22,8;59,2;
2013-01-31;255,6;32,5;26,8;23,3;66,2;
2013-02-28;8,6;32,2;26,7;23,2;63,1;
2013-03-31;74,2;33,8;27,3;23;61,4;
2013-04-30;53,4;30,7;25,8;22,7;66,9;
2013-05-31;47,2;30,1;24,9;21,8;68,3;
2013-06-30;70;27,8;23,1;20,1;75,4;
2013-07-31;48,2;27,7;21,9;16,3;75,5;
2013-08-31;67,2;27,8;21,4;14,9;71,1;
2013-09-30;35;30;23;16,1;66,7;
2013-10-31;11,7;32,3;24,9;17,4;58;
2013-11-30;77,6;31,9;24,8;17,3;63,1;
2013-12-31;228,4;30,4;24,5;18,6;77,1;
2014-01-31;21;31,1;24,7;18;68,8;
2014-02-28;95,1;30,2;24,1;17,4;74,5;
2014-03-31;146,9;30,5;24,4;18,4;76,2;
2014-04-30;91,6;30,7;24,4;18,2;73,3;
2014-05-31;52,1;28,3;22,9;17,1;79,5;
2014-06-30;28,5;27,7;21,7;15,8;82,8;
2014-07-31;26,5;27,2;21,4;15,4;76,8;
2014-08-31;15,6;28,9;21,9;15,1;71,4;
2014-09-30;19,4;31;23,4;16,1;65,1;
2014-10-31;82,7;31,8;24,6;17,1;64;
2014-11-30;239,6;29,5;23,7;17,8;77,6;
2014-12-31;153,6;29,1;23,6;17,2;81,1;
2015-01-31;3,5;31,3;24,8;18;71,4;
2015-02-28;153,8;30,4;24,5;18,3;80,3;
2015-03-31;107,3;31,5;25,1;18,7;74,8;
2015-04-30;151;31,1;24,7;18,6;76,7;
2015-05-31;59,2;27,9;22,6;17;83,2;
2015-06-30;79,4;26,8;21,3;15,7;84,8;
2015-07-31;50,5;26,8;21,1;15,4;83,3;
2015-08-31;43,7;28,3;21,1;14,4;76;
2015-09-30;1,1;32,7;24,3;16,1;64,2;
2015-10-31;14,8;33,4;25,2;17,5;62,9;
2015-11-30;37,7;35,4;27,1;19,3;58,5;
2015-12-31;35,9;35,1;27,1;19,1;58,7;
2016-01-31;591,9;30,7;24,7;18,7;80,2;
2016-02-29;,3;32;25,5;18,6;72,9;
2016-03-31;19,5;32,4;25,8;19,1;68,6;
2016-04-30;13,4;31,5;24,8;17,7;69,5;
2016-05-31;8,3;30,1;23,8;17,2;73,3;
2016-06-30;19;29,6;22,9;15,6;71,2;
2016-07-31;32,3;28,4;21,5;14,6;76;
2016-08-31;121,2;29,6;22,5;15,2;72,7;
2016-09-30;28,1;29,5;22,9;16,1;71,7;
2016-10-31;165,7;31;24;17,3;71,4;
2016-11-30;75,4;31;24,3;17,6;71,7;
2016-12-31;16,3;33,6;25,9;18,7;65,5;
2017-01-31;3,2;34,9;27;18,7;56;
