Nome: ITABERABA
Codigo Estacao: 83244
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-02-28
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;48,4;34;26,2;18,3;64,7;
2010-02-28;38,7;34,8;27,7;22,8;64,9;
2010-03-31;306,3;32,9;26,9;22,2;73;
2010-04-30;62,2;31,1;25,8;21,9;76,5;
2010-05-31;28,2;32,1;25,6;20,8;69,9;
2010-06-30;2,5;30;23,7;18,2;69,8;
2010-07-31;86,8;28,3;22,3;17,7;75,9;
2010-08-31;19,6;28,3;21,9;16,3;72,8;
2010-09-30;13,9;30,7;23,6;18,6;77,4;
2010-10-31;54,8;33,3;26,2;21;74,2;
2010-11-30;3,8;33,3;26,6;21,5;73,2;
2010-12-31;57,6;33,1;26,6;21,4;72,4;
2011-01-31;51,6;32,6;26,1;21,1;72;
2011-02-28;11;34,5;27,2;21,7;70,1;
2011-03-31;31,2;34,8;27,9;22,5;69,2;
2011-04-30;40,7;32,1;26,1;21;73,5;
2011-05-31;12,4;30,1;24,4;19;73,7;
2011-06-30;9,1;30;23,6;17,8;76,4;
2011-07-31;38,5;28,7;22,3;16,4;77,8;
2011-08-31;18,5;30,1;23,3;17,4;72,1;
2011-09-30;15,3;29,7;23,1;17;70,2;
2011-10-31;12,2;31,7;25,2;19,9;72,7;
2011-11-30;94,2;30,7;24,9;19,9;73,9;
2011-12-31;103,7;32,7;26,1;20,3;70,7;
2012-01-31;5,9;33,4;26,3;20,3;66,9;
2012-02-29;19,8;33,3;26,3;20,5;66,4;
2012-03-31;4,7;34,5;26,8;20,5;63,6;
2012-04-30;7,2;33;26,2;19,8;65,5;
2012-05-31;20,3;30,8;24,8;19;71;
2012-06-30;26,7;29,8;23,8;17,8;74,1;
2012-07-31;24;29;22,7;16,1;72,7;
2012-08-31;27,9;28,5;22,2;15,7;71,3;
2012-09-30;1,3;31,2;24,2;17,4;65,6;
2012-10-31;4,8;32,3;25;18,6;73,7;
2012-11-30;36,9;31,9;25,9;20,2;72,7;
2012-12-31;1;34,7;27,2;20;64;
2013-01-31;206,9;33,6;26,9;20,3;69,7;
2013-02-28;9,8;33,8;26,9;20,3;71,2;
2013-03-31;5,6;34,8;27,5;20,7;67,6;
2013-04-30;7,9;32,8;26,5;20,1;71,9;
2013-05-31;15,7;31,7;25,3;18,9;73,8;
2013-06-30;21,1;29,9;24;17,8;79,6;
2013-07-31;29,3;28,8;23;16,3;81,9;
2013-08-31;27,6;29;22,9;16;79,5;
2013-09-30;42;30,6;23,7;16,9;77,5;
2013-10-31;5,4;32,5;25,2;18,2;71;
2013-11-30;49,1;32,5;25,6;18,7;70;
2013-12-31;154,8;31,8;26;19,4;69,9;
2014-01-31;7,1;33,1;26;18,8;69,3;
2014-02-28;55,3;32;25,4;18,5;72,6;
2014-03-31;128,9;32,8;25,9;19,1;69,9;
2014-04-30;29,4;32,9;26,2;19;68,1;
2014-05-31;23,5;31;24,6;17,6;72,8;
2014-06-30;24,4;29,9;23,1;14,7;72,8;
2014-07-31;40;28,9;22,6;15;74;
2014-08-31;5,5;29,5;22,5;14,4;72;
2014-09-30;18;30,8;23,7;15,9;69,3;
2014-10-31;5,2;32,4;24,7;16,9;64,2;
2014-11-30;87,5;32;25,2;17,7;67,4;
2014-12-31;225,7;31,5;24,9;17,8;71,6;
2015-01-31;5,6;33,4;25,9;18,1;63,5;
2015-02-28;151,4;null;null;18;64,4;
2015-03-31;4,7;null;null;18,6;61,7;
2015-04-30;64;null;null;18,3;66,6;
2015-05-31;38;null;null;16,4;73,8;
2015-06-30;37,9;null;null;14,7;77,7;
2015-07-31;52,7;null;null;14;75;
2015-08-31;17,4;null;null;13,2;70,1;
2015-09-30;1,5;null;null;15,1;62,1;
2015-10-31;14,2;null;null;16,3;61,1;
2015-11-30;41,2;null;null;17,6;57,2;
2015-12-31;3,3;null;null;17,8;56,5;
2016-01-31;578,5;null;null;17,8;75,9;
2016-02-29;1,5;null;null;17,4;61,2;
2016-03-31;14,2;null;null;17,9;64,9;
2016-04-30;26,4;null;null;16,4;68,7;
2016-05-31;16,8;null;null;15,2;71;
2016-06-30;13,4;null;null;14,6;70,9;
2016-07-31;26,7;null;null;12,4;78,1;
2016-08-31;28,9;null;null;13,2;74,2;
2016-09-30;26,9;null;null;14;72,6;
2016-10-31;37;null;null;15,4;72,8;
2016-11-30;49,4;null;null;15,7;68,8;
2016-12-31;34,3;null;null;16,5;64,6;
2017-01-31;14;null;null;16,6;61,1;
2017-02-28;11,9;null;null;16,4;59,7;
2017-03-31;21,6;null;null;16,7;59,2;
2017-04-30;85,2;null;null;15,9;67,2;
2017-05-31;32,7;null;null;null;73,8;
2017-06-30;23,9;null;null;null;73,6;
2017-07-31;31,1;null;null;null;72,9;
2017-08-31;8,2;null;null;null;70;
2017-09-30;23,9;null;null;null;71,5;
2017-10-31;7;null;null;null;null;
2017-11-30;53,6;null;null;null;null;
2017-12-31;96,6;null;null;null;null;
2018-01-31;110,5;null;null;null;null;
2018-02-28;46,7;null;null;null;null;
2018-03-31;48,3;null;null;null;null;
2018-04-30;26,6;null;null;null;null;
2018-05-31;28,1;null;null;null;null;
2018-06-30;29,9;null;null;null;null;
2018-07-31;15,5;null;null;null;null;
2018-08-31;23;null;null;null;null;
2018-09-30;5,5;null;null;null;null;
2018-10-31;2,8;null;null;null;null;
2018-11-30;31,8;null;null;null;null;
2018-12-31;107,8;null;null;null;null;
2019-01-31;28,5;null;null;null;null;
2019-02-28;67;null;null;null;null;

