Nome: ALAGOINHAS
Codigo Estacao: 83249
Latitude: -12.1486111
Longitude: -38.42527777
Altitude: 129.78
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-01-14
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;30,5;33,5;26,8;21,6;71,1;
2010-02-28;39,5;33,6;27,1;22,2;72,7;
2010-03-31;141,2;33,5;27,1;22,8;76,8;
2010-04-30;197,5;30,4;25,6;22;84,6;
2010-05-31;75;30;24,8;20,9;84;
2010-06-30;174;27,2;22,9;19,7;85,6;
2010-07-31;319,3;26,7;22,2;18,9;87,6;
2010-08-31;56,3;27;21,6;17,3;82,1;
2010-09-30;62,5;27,8;22,5;18,1;79,7;
2010-10-31;46,3;31,2;25,2;21,1;76,2;
2010-11-30;2,3;32,6;26,1;21,6;69,5;
2010-12-31;70,7;33;26,6;22,1;69,9;
2011-01-31;180,3;31,6;25,8;21,7;76,8;
2011-02-28;15,4;32,6;26,4;22;76,6;
2011-03-31;63,8;33,6;27,1;22,9;75,5;
2011-04-30;180,7;30,5;25,4;21,7;82,4;
2011-05-31;115,8;28,3;23,6;19,7;86,2;
2011-06-30;123,6;27,6;22,6;18,4;86,6;
2011-07-31;58;27,1;21,9;17,8;84,7;
2011-08-31;66,5;27,8;22,3;17,8;82,9;
2011-09-30;24,7;28,4;22,5;18,2;77,4;
2011-10-31;169,7;29,9;24,2;19,6;80,4;
2011-11-30;129,6;29,1;24,1;20;81,4;
2011-12-31;60;31,9;25,6;20,7;75,5;
2012-01-31;10;32,1;26;21;70,8;
2012-02-29;50,6;32,1;25,9;21,1;73,6;
2012-03-31;12,6;33,2;26,1;20,9;70,5;
2012-04-30;24,1;32,1;25,5;20,5;74,2;
2012-05-31;124;29,8;24,4;20,4;79,9;
2012-06-30;72,1;28,3;23,2;19,3;84,1;
2012-07-31;73,6;27,6;22,3;18,6;82,3;
2012-08-31;95,9;27,1;21,9;17,6;82;
2012-09-30;45,3;29;23,1;18,5;76,6;
2012-10-31;31,9;29,9;24;19,4;75,2;
2012-11-30;127,4;31,9;25,7;21,4;73,5;
2012-12-31;,3;33,5;26,3;21;68,2;
2013-01-31;35,1;33,9;26,9;22;70,7;
2013-02-28;31,9;33,7;26,8;21,4;69,8;
2013-03-31;15,3;34,5;27,2;21,4;71,8;
2013-04-30;190;31,3;25,9;21,5;79,8;
2013-05-31;174,7;28,9;24,4;21;86,7;
2013-06-30;117,7;28,2;23,8;20,8;87,8;
2013-07-31;190,1;27,4;22,8;19,7;85,1;
2013-08-31;103,4;27,3;22,5;19;84;
2013-09-30;62,9;29;23,5;19,4;79,7;
2013-10-31;87,8;29,7;24,3;19,9;78,2;
2013-11-30;37,6;30,7;25;20,3;75,4;
2013-12-31;69,3;32,4;26,5;22,5;73,7;
2014-01-31;21;32,6;26,1;20,8;71,5;
2014-02-28;99,7;31,2;25,7;21,7;78,4;
2014-03-31;36,4;31,8;26,1;21,6;76,4;
2014-04-30;74,4;32,3;26,3;22;77,4;
2014-05-31;129,9;29,1;24,5;21,1;83,8;
2014-06-30;133,7;27,9;23,1;19,4;84,7;
2014-07-31;160,5;27,1;22,5;19;86,5;
2014-08-31;119,4;27,3;22,1;17,7;82,2;
2014-09-30;71,3;28,7;23,2;18,9;79,5;
2014-10-31;72,3;29,4;23,9;19,3;76,9;
2014-11-30;42,3;30,5;25;20,9;77,6;
2014-12-31;38,4;31,9;25,9;21,5;74,4;
2015-01-31;17,6;33,1;26,3;20,8;71;
2015-02-28;98,8;32,7;26,5;22,4;76,9;
2015-03-31;10,3;33,6;26,8;21,7;71,7;
2015-04-30;144,6;32,1;26,3;22,5;80;
2015-05-31;300,2;29;24,6;21,7;86,8;
2015-06-30;171,2;27,9;23,5;20,4;87,2;
2015-07-31;87,6;27,7;22,9;19,2;84,4;
2015-08-31;117,2;27,5;22,2;17,8;83,5;
2015-09-30;38,6;29,8;23,9;18,7;76,9;
2015-10-31;32,8;31,1;24,8;19,5;72,8;
2015-11-30;1,8;34,2;26,8;21,3;66,3;
2015-12-31;9,1;34,3;27,1;21,6;65,9;
2016-01-31;123,7;32,4;26,9;23;75,6;
2016-02-29;15,1;33,7;26,8;21,5;71,2;
