Nome: GLEBA CELESTE
Codigo Estacao: 83264
Latitude: -12.2886111
Longitude: -55.29416666
Altitude: 384
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2014-05-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;259,8;32,7;25,7;21,9;84,7;
2010-02-28;296,8;34,8;26,8;22,4;79,4;
2010-03-31;282,4;34,4;26,6;22,6;81,1;
2010-04-30;27,9;35;26,9;21,2;72,9;
2010-05-31;14,1;35,1;25,9;19,5;68,4;
2010-06-30;3;35,8;25,3;17,6;60,6;
2010-07-31;null;null;null;null;null;
2010-08-31;0;36,8;25,1;16,5;49,4;
2010-09-30;,5;38,5;27,6;20;52,9;
2010-10-31;129,7;36,4;27,6;22,2;69,7;
2010-11-30;136,6;34,4;26,5;21,9;77,4;
2010-12-31;270,8;33,4;25,9;21,4;80,7;
2011-01-31;405,7;32,8;25,5;21,5;83,7;
2011-02-28;474,5;33,2;25,6;21,5;82,2;
2011-03-31;298,1;33,1;25,7;21,7;83,7;
2011-04-30;91,5;34,5;26,4;21,6;78,1;
2011-05-31;,2;34,1;25,6;19,7;70,5;
2011-06-30;29,9;34,3;24,6;17,7;65,5;
2011-07-31;null;null;null;null;null;
2011-08-31;0;38,1;26,7;18;51,5;
2011-09-30;109,6;38,5;28,1;20,5;51,5;
2011-10-31;242,2;34,5;26,3;21,5;77,2;
2011-11-30;251,2;33;25,7;21,5;82;
2011-12-31;252,4;32,6;25,6;21,8;83,7;
2012-01-31;426,1;31,1;24,7;21,5;86,5;
2012-02-29;262,8;33,3;25,6;20,9;80,2;
2012-03-31;134,9;33,7;25,9;21,2;79,9;
2012-04-30;167,5;34,1;26,5;21,8;79,2;
2012-05-31;21,3;33,8;25,5;19,7;75,2;
2012-06-30;24,1;34,5;25;18,6;71,3;
2012-07-31;null;null;null;null;null;
2012-08-31;0;36,6;25,8;17,4;48,2;
2012-09-30;82,1;38,5;27,5;20,1;57,7;
2012-10-31;131,9;36,4;27,8;22;69,6;
2012-11-30;201,7;33,3;26,1;22,3;83,3;
2012-12-31;157,2;34,1;26,4;21,7;79,6;
2013-01-31;334;31,8;25,7;22,2;86,6;
2013-02-28;420,8;33,3;25,8;21,6;82,6;
2013-03-31;284,7;33,8;26,4;22,3;81,9;
2013-04-30;213,8;32,7;25,6;21,4;82,8;
2013-05-31;58,6;34,8;26,1;20,4;74,4;
2013-06-30;1,5;35,1;25,8;19,4;70,2;
2013-07-31;null;null;null;null;null;
2013-08-31;0;36,7;25,5;17,2;52;
2013-09-30;21,2;36,8;27,4;20,6;62,7;
2013-10-31;117,6;35,6;27;22;73,7;
2013-11-30;317,8;32,7;25,8;21,7;82,9;
2013-12-31;403,9;32,2;25,5;21,9;84,2;
2014-01-31;212,6;33;25,4;21,2;83,1;
2014-02-28;322,7;32,4;25,3;21,6;83;
2014-03-31;243,6;33,7;26;21,8;81,4;
2014-04-30;119,3;33,6;26,1;21,5;81,3;
2014-05-31;null;null;null;null;null;

