Nome: SAO JOSE DO RIO CLARO
Codigo Estacao: 83267
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;521,6;31,3;25,1;21;93,2;
2010-02-28;238,8;32,2;25,6;21,1;91,5;
2010-03-31;207,5;32,7;25,9;21,3;90,7;
2010-04-30;26,4;33,3;24,6;18,4;87,1;
2010-05-31;6,5;31,9;23;15,6;78,2;
2010-06-30;44,3;33,7;22,6;14;79,5;
2010-07-31;0;32,7;20,7;11,5;73,6;
2010-08-31;0;35,6;null;null;65,5;
2010-09-30;0;38;null;null;65,9;
2010-10-31;134,3;35,5;25,9;17,8;77,4;
2010-11-30;null;null;null;null;null;
2010-12-31;307,2;32,1;24,3;17,7;89;
2011-01-31;390,2;31,3;23,8;17;89,6;
2011-02-28;449,2;30,8;24,5;20,9;92,1;
2011-03-31;229,7;31,2;25,2;22,4;92,7;
2011-04-30;143,7;32,6;25,6;22,6;89,5;
2011-05-31;,1;32,2;23,6;16,5;82,2;
2011-06-30;10,8;null;null;14;79,3;
2011-07-31;0;34,3;22,1;13,4;73,6;
2011-08-31;3,7;35,2;23,2;14,2;69;
2011-09-30;48,5;37,1;25,9;17,5;68,8;
2011-10-31;100;33,8;25;17;84,2;
2011-11-30;null;null;null;null;null;
2011-12-31;220,2;31,7;24,6;19,3;91,4;
2012-01-31;220;30,6;24,4;19,7;92,6;
2012-02-29;285,6;31,8;24,6;20;90,8;
2012-03-31;216,2;32,7;25;20,3;88,8;
2012-04-30;158,6;32,8;25;20,4;91,7;
2012-05-31;81,8;32,1;23,6;19,1;88,2;
2012-06-30;15,2;32,4;22,9;17,9;84,9;
2012-07-31;0;33,5;21,9;15,4;75;
2012-08-31;0;35,8;23,3;16,3;65,1;
2012-09-30;76,1;36,7;25,9;19,9;68,9;
2012-10-31;104;null;null;null;80;
2012-11-30;null;null;null;null;null;
2012-12-31;135,6;null;null;23,6;86,7;
2013-01-31;337,8;null;null;23,6;91,7;
2013-02-28;321,7;31,3;25,2;22,5;91,6;
2013-03-31;269,9;31,9;25,6;22;90,4;
2013-04-30;196,1;31,5;24,6;20,5;90,9;
2013-05-31;,8;32,4;23,9;19;87,6;
2013-06-30;6;33,4;24;18,2;82,6;
2013-07-31;,2;33,6;22,3;15,4;72,2;
2013-08-31;,4;34,9;22,7;14,5;62,4;
2013-09-30;39;35,4;25,8;19,2;72,7;
2013-10-31;223,4;34;25,9;21,2;84,9;
2013-11-30;null;null;null;null;null;
2013-12-31;436,4;30,8;24,8;21,5;93,2;
2014-01-31;263,9;31,5;24,5;20,7;89,5;
2014-02-28;557,5;30,8;24,7;21,5;91,4;
2014-03-31;288,8;31,6;25,3;21,9;90,5;
2014-04-30;44,2;32,2;25,4;21,4;87,4;
2014-05-31;33,4;32,9;24,8;19,1;84,3;
2014-06-30;1,8;null;null;17,8;77,7;
2014-07-31;3,7;null;null;16,3;74;
2014-08-31;0;null;null;17;61,9;
2014-09-30;56,5;36,3;27;20,5;75,9;
2014-10-31;83,1;35,8;26,8;21,4;81,9;
2014-11-30;null;null;null;null;null;
2014-12-31;349,4;31,3;24,9;21,7;91,8;
2015-01-31;200,1;32,9;25,2;20,9;88;
2015-02-28;221,2;31,5;25;21,4;88,5;
2015-03-31;169,1;31,9;25,5;21,9;87,3;
2015-04-30;83,8;32,2;25,5;21,7;88,7;
2015-05-31;72,9;31,9;24,5;20,5;87,1;
2015-06-30;,3;33,5;23,4;17,3;78,6;
2015-07-31;0;34,1;22,8;16,4;73,9;
2015-08-31;11,4;36,8;24;16;64,7;
2015-09-30;10;37,5;27,1;19,9;65,9;
2015-10-31;56,3;36,7;27,6;21,4;71,7;
2015-11-30;241;34,8;26,8;22;81,6;
2015-12-31;71,2;34,5;26,7;22,3;82,6;
2016-01-31;262,3;30,9;25,6;22,7;91,1;

