Nome: CANARANA
Codigo Estacao: 83270
Latitude: -13.47083332
Longitude: -52.2711111
Altitude: 430
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;275,9;32,4;25,4;21,1;86,2;
2010-02-28;336,6;33,1;25,6;21,4;87,4;
2010-03-31;238,8;33,1;25,7;21,7;86,5;
2010-04-30;113,1;33,9;25,8;20,5;74,8;
2010-05-31;3,4;34,4;25,4;18,8;63,4;
2010-06-30;3,4;34,5;24,5;17,2;53,6;
2010-07-31;0;34,6;25;17,9;48,2;
2010-08-31;0;36,5;25,7;17,1;38,3;
2010-09-30;2,2;39,9;28,9;21;37,4;
2010-10-31;103,3;36,5;27,6;22,6;70,7;
2010-11-30;288,3;33,4;25,5;21,5;84,1;
2010-12-31;408,4;null;null;21,5;86,8;
2011-01-31;496,2;null;null;21;89,5;
2011-02-28;274,2;null;null;21;84,9;
2011-03-31;302,4;30,8;24,9;21,3;87,1;
2011-04-30;117,2;31,9;25,2;20,6;81;
2011-05-31;,3;32,2;24,5;19;74,8;
2011-06-30;7,7;null;null;16,9;72,4;
2011-07-31;0;null;null;17,2;56,1;
2011-08-31;0;null;null;18,5;40;
2011-09-30;39,2;null;null;20,6;38,6;
2011-10-31;128,6;null;null;21,4;78,5;
2011-11-30;196,5;null;null;20,9;85,9;
2011-12-31;255,7;null;null;21,3;86,3;
2012-01-31;347,8;null;null;20,6;88,5;
2012-02-29;286,5;31;24,2;20,2;85,3;
2012-03-31;253,6;32,3;25;20,7;87;
2012-04-30;55,4;33,3;26;21,1;81,8;
2012-05-31;89,7;32,1;24,3;19,1;76,8;
2012-06-30;7,6;32,9;24,6;18,8;71,3;
2012-07-31;0;33,4;23,9;16,4;51,5;
2012-08-31;0;34,4;25,4;17,9;41,1;
2012-09-30;13,8;36,4;27,6;20,9;49,2;
2012-10-31;140,7;35,6;27,4;21,7;66,9;
2012-11-30;181,7;31,4;25,2;21,7;86,7;
2012-12-31;258,5;32,2;25,5;21,4;82,9;
2013-01-31;490,7;30;24,7;21,5;89,6;
