Nome: CORRENTINA
Codigo Estacao: 83286
Latitude: -13.33249999
Longitude: -44.61749999
Altitude: 551.69
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;29,8;31,4;24,4;18,8;null;
2010-02-28;30,2;32,9;25,2;19,3;null;
2010-03-31;203,3;31,3;24,6;20,1;null;
2010-04-30;45;31,3;23,5;17,8;null;
2010-05-31;8,2;32,7;23,9;17,3;null;
2010-06-30;0;31,5;21,2;12,9;null;
2010-07-31;,3;30,5;21,4;13,4;null;
2010-08-31;0;31,6;21,7;12,4;null;
2010-09-30;null;null;null;null;null;
2010-10-31;168,5;35,4;27;20,4;null;
2010-11-30;223,2;31,2;24,8;20,1;null;
2010-12-31;247,3;30,9;24,5;19,8;null;
2011-01-31;266,2;30,5;24;19,1;null;
2011-02-28;55,1;31,3;24,2;18,9;null;
2011-03-31;152,6;29,9;24;19,7;null;
2011-04-30;28,1;30,8;23,7;18,1;null;
2011-05-31;,4;30,9;22,2;15,4;null;
2011-06-30;0;31,4;21,6;13,5;null;
2011-07-31;null;null;null;null;null;
2011-08-31;0;33,2;23,1;13,5;null;
2011-09-30;0;33,8;23,5;13,8;null;
2011-10-31;134,6;32,5;25,7;19,7;null;
2011-11-30;166,9;29,5;23,7;19,3;null;
2011-12-31;288,4;30;23,8;19;null;
2012-01-31;104;30,3;23,7;18,4;null;
2012-02-29;151,6;30,9;23,7;17,8;null;
2012-03-31;149,5;33;24,6;18,2;null;
2012-04-30;31,9;33,7;24,1;16,9;null;
2012-05-31;7,1;32,1;23,3;16,4;null;
2012-06-30;0;32,1;22,5;14,4;null;
2012-07-31;0;31,3;21,2;12,2;null;
2012-08-31;8,2;30,5;22,1;14,3;null;
2012-09-30;null;null;null;null;null;
2012-10-31;19,7;34,8;26,5;19;null;
2012-11-30;343;29,9;24,4;20,4;null;
2012-12-31;16,4;33,7;25,4;18,1;null;
2013-01-31;108,9;31,3;25;19,9;null;
2013-02-28;10,2;33,2;25,4;18,4;null;
2013-03-31;127;33;25,6;19,4;null;
2013-04-30;29,8;31,4;24,3;18,3;null;
2013-05-31;,2;32,8;23,8;16;null;
2013-06-30;0;32;23,2;15,2;null;
2013-07-31;null;null;null;null;null;
2013-08-31;0;32,3;23,1;14,7;null;
2013-09-30;1,2;34,4;26,2;17,8;null;
2013-10-31;92,8;33,8;26;19;null;
2013-11-30;330;32,2;25,1;19;null;
2013-12-31;346,6;29,8;24,1;19,7;null;
2014-01-31;3;31,3;24,4;17,8;null;
2014-02-28;98,7;31,6;24,5;18,6;null;
2014-03-31;122,3;31,6;24,7;19;null;
2014-04-30;66,3;31,9;24,2;18,2;null;
2014-05-31;14;32;23,7;16,6;null;
2014-06-30;0;31,4;22,3;14,2;null;
2014-07-31;0;31,3;22,3;13,9;null;
2014-08-31;null;null;null;null;null;
2014-09-30;0;35;25,9;16,6;null;
2014-10-31;17,3;34,7;26,5;18,8;null;
2014-11-30;189,6;32,4;25,8;20,3;null;
2014-12-31;117,7;31;24,7;19,5;null;
2015-01-31;25,8;34,1;25,4;18,3;null;
2015-02-28;178,5;31,5;24,4;18,7;null;
2015-03-31;136,1;32,5;25,2;19,1;null;
2015-04-30;250,9;31,8;24,8;19,4;null;
2015-05-31;46,7;30,3;22,7;16,3;null;
2015-06-30;0;30,1;21,5;14,1;null;
2015-07-31;0;31,2;22,1;13,5;null;
2015-08-31;0;31,9;22,4;13,4;null;
2015-09-30;0;36,7;26;16,1;null;
2015-10-31;null;null;null;null;null;
2015-11-30;128,6;35,8;28;20,9;null;
2015-12-31;16,5;36,1;27,3;19,6;null;
2016-01-31;398,4;30,5;24,6;20,5;null;
2016-02-29;null;null;null;null;null;
2016-03-31;null;34,8;26,7;19,3;null;
2016-04-30;0;34,3;25,9;18,2;null;
