Nome: BOM JESUS DA LAPA
Codigo Estacao: 83288
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;26,3;33,8;27,3;21,9;62,5;
2010-02-28;45,4;35,4;28,1;22,6;57,7;
2010-03-31;152,2;32,2;26,3;21,7;73,7;
2010-04-30;121,6;31,6;25,6;20,7;68,4;
2010-05-31;29,8;33,1;26,5;20,6;59,1;
2010-06-30;0;32;24,2;17,1;48,4;
2010-07-31;0;31,8;24,5;17,6;45,4;
2010-08-31;0;32,9;25,1;17,7;39,5;
2010-09-30;6,6;34,9;27,4;20,3;37;
2010-10-31;85,6;36,5;29,6;23,5;46,4;
2010-11-30;164,9;32,8;26,9;22,3;70,2;
2010-12-31;97,3;31,9;26,3;22,1;74,5;
2011-01-31;129,8;31,8;26,1;21,6;72,3;
2011-02-28;70,1;33,9;27,1;22,1;65,9;
2011-03-31;168,1;31;25,7;21,7;80,1;
2011-04-30;35,8;31,9;25,8;21,1;70,7;
2011-05-31;10,1;32;25,1;19,3;59,3;
2011-06-30;0;32,2;24,9;18,1;52,8;
2011-07-31;0;32,3;24,4;17,2;46,5;
2011-08-31;0;34,1;26,4;19,3;44,3;
2011-09-30;0;34,6;26,7;19;39,5;
2011-10-31;94,1;33,9;27,5;22,1;58;
2011-11-30;134,5;30,6;25;20,6;73,5;
2011-12-31;198,9;31,6;25,9;21,1;71,9;
2012-01-31;48,6;32,2;26,5;21,3;66,4;
2012-02-29;35,9;33,6;26,8;21,4;60,6;
2012-03-31;48,2;34,9;28,4;22,4;54,7;
2012-04-30;0;35,9;28,7;22,2;47,6;
2012-05-31;33,7;33,3;26,4;20,5;53,6;
2012-06-30;2,2;33,4;26,1;19,6;49;
2012-07-31;0;32,6;25,1;17,8;47,6;
2012-08-31;0;32,2;25;18,1;45,1;
2012-09-30;0;35,9;28,1;20,7;40,8;
2012-10-31;15,4;36,5;29,5;22;41,7;
2012-11-30;293,8;30,3;25,5;21,8;80,2;
2012-12-31;2,8;34,9;28,5;22,2;55,9;
2013-01-31;75,3;32,8;27;22,5;70,6;
2013-02-28;34;36;29;22,7;58,7;
2013-03-31;78,6;35,3;28,6;22,8;65,4;
2013-04-30;58;32,7;26,6;21,5;66,6;
2013-05-31;16;33,9;27;20,9;54,3;
2013-06-30;24,6;32,8;26;20,1;54,1;
2013-07-31;0;32,8;25,8;19,6;48,4;
2013-08-31;0;33,5;26,3;19,5;47,3;
2013-09-30;2,8;35,5;28,7;22,1;43,8;
2013-10-31;90,2;35,2;28,6;22,4;52,2;
2013-11-30;128,5;34;27,8;22,5;57;
2013-12-31;237,7;30,2;25,4;21,9;79,3;
2014-01-31;12;32,7;26,9;21,7;62,7;
2014-02-28;35,2;34,2;27,4;22,1;63,1;
2014-03-31;94;33,8;27,4;22,4;68,4;
2014-04-30;40;33,9;27,7;22,4;61;
2014-05-31;4,5;33,9;27,1;21,1;49,8;
2014-06-30;3,6;32,7;25,6;19,3;47;
2014-07-31;0;32,7;25,5;19;46,5;
2014-08-31;0;33,8;26,2;19,1;39,6;
2014-09-30;0;36;28,6;21,4;35,7;
2014-10-31;29,3;35,7;28,8;22,8;41,3;
2014-11-30;232,3;33,7;27,7;22,7;60,2;
2014-12-31;117,9;31,7;26,4;22,2;68,5;
2015-01-31;30,8;35,3;28,3;22,3;52,9;
2015-02-28;60,7;33,4;26,9;22,1;64,7;
