Nome: ITUACU
Codigo Estacao: 83292
Latitude: -13.81277777
Longitude: -41.29972221
Altitude: 534.44
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;4,1;33;26,9;20,9;null;
2010-02-28;9,2;33,9;27,3;21,9;null;
2010-03-31;135,6;31,5;25,7;20,9;70,2;
2010-04-30;94,6;29,8;24,2;20;75,8;
2010-05-31;3,3;30,7;24,5;19,3;68,1;
2010-06-30;5,4;28,5;22;16,1;63,8;
2010-07-31;20,2;27,4;21,8;17;67;
2010-08-31;5,6;28;21,6;15,8;67,7;
2010-09-30;3,6;29,7;23,6;17,8;64,7;
2010-10-31;59,5;33,1;26,6;21,1;66,1;
2010-11-30;175,2;30,7;25,5;20,8;69,5;
2010-12-31;148,1;30,8;25,2;20,1;64,5;
2011-01-31;32,8;31,1;25,1;19,9;57;
2011-02-28;24,7;33,3;26,5;20,7;57,2;
2011-03-31;156,8;31,5;25,4;20,5;74;
2011-04-30;38,5;29,8;23,9;18,8;76,1;
2011-05-31;7,4;28,3;22,6;17,4;73,9;
2011-06-30;2,5;28,8;22,2;16,5;72;
2011-07-31;6,4;27,8;21;15;67,6;
2011-08-31;5,7;29,4;22,7;16;60,1;
2011-09-30;0;28,9;22,6;15,8;52,8;
2011-10-31;85;30,1;24,7;19,4;63,6;
2011-11-30;112,4;28,4;23,5;18,9;73,7;
2011-12-31;66;30,7;24,8;19;65,2;
2012-01-31;6,1;32,1;25,8;19,8;61,2;
2012-02-29;17,6;32,2;25,8;19,6;62,9;
2012-03-31;5,2;33,7;26,7;20,5;57,9;
2012-04-30;,8;33,1;26,4;19,5;54,6;
2012-05-31;32,3;29,5;23,8;18;59,8;
2012-06-30;9,3;28,9;23,1;17,5;64,8;
2012-07-31;9,7;28,4;22;15,3;60,5;
2012-08-31;16,8;27,2;21,4;15,3;64,7;
2012-09-30;2,5;30,5;24;17;57,7;
2012-10-31;0;32,2;25,4;19,2;59,5;
2012-11-30;187,3;29,5;24,8;19,8;72,3;
2012-12-31;3,7;33,7;27;19,5;52,5;
2013-01-31;181,5;32;26,1;20,3;68;
2013-02-28;0;32,4;26,1;19,4;60;
2013-03-31;,5;33,8;27,1;20,7;59,5;
2013-04-30;11,1;31,3;25,1;18,5;62,5;
2013-05-31;49,4;30,2;23,8;17;62,8;
2013-06-30;28,6;28,2;22,2;16,8;72,9;
2013-07-31;9,5;28,5;21,9;15,1;63,6;
2013-08-31;13;28,4;21,9;15,5;63,2;
2013-09-30;4,2;30,1;23,8;17,3;60,3;
2013-10-31;12,1;31,2;24,9;18,3;56,5;
2013-11-30;19,6;31,2;25,4;19,4;60,4;
2013-12-31;150,4;30;24,7;19,4;70,7;
2014-01-31;6,5;30,9;24,9;18;62,4;
2014-02-28;5,8;31,7;25,4;18,8;59,1;
2014-03-31;100,9;31,9;25,6;19,3;61,8;
2014-04-30;71,6;31,1;25;18,4;61,9;
2014-05-31;2,8;29,8;23,8;17,2;63,2;
2014-06-30;7,3;28,4;22,3;15,7;65,4;
2014-07-31;13;27,7;21,8;14,9;63,5;
2014-08-31;0;29;22,3;15;56,8;
2014-09-30;4,1;30,4;24;16,9;54,8;
2014-10-31;79,1;30,4;24,5;17,8;55,4;
2014-11-30;154,6;29,9;24,2;18,3;66,6;
2014-12-31;216,5;29,9;24,2;18;64,9;
2015-01-31;1,1;31,7;25,2;18;58;
2015-02-28;118,8;31,3;24,9;18,1;63,2;
2015-03-31;62,1;31,9;25,6;18,9;59,8;
2015-04-30;116,3;30,8;24,8;18,4;64,6;
2015-05-31;25,4;29;22,6;16,4;69,5;
2015-06-30;20,2;28,3;21,8;15;66,7;
2015-07-31;8,5;27,5;21,6;15,2;66,6;
2015-08-31;15,1;28,4;22,2;16,7;59;
2015-09-30;2,8;31,5;25,4;20;50;
2015-10-31;2,7;32,7;26,4;20,4;49,5;
2015-11-30;5,2;34;27,8;21,2;47,8;
2015-12-31;2,1;34,4;27,9;21,2;44,7;
2016-01-31;439,7;30,3;25;19,3;68,5;
2016-02-29;13,7;31,8;25,8;19,5;55,5;
2016-03-31;1,5;32,6;26,6;20,2;53;
2016-04-30;2,1;31,6;25,2;18,2;56,7;
2016-05-31;4,8;31,2;24,1;17,3;57,1;
2016-06-30;0;30,3;23,4;17,5;56,2;
2016-07-31;8,9;28,6;22,3;18;59,9;
2016-08-31;11,1;29,7;23,5;18;56,8;
2016-09-30;29,2;30,1;23,9;18,1;53,3;
2016-10-31;57,8;31,2;25,2;19;54,9;
2016-11-30;85,2;30,7;24,6;17,9;59,6;
2016-12-31;106,6;30,4;25,1;19,4;58;
2017-01-31;0;33,7;27;20,4;49;
2017-02-28;30,9;32,1;25,8;18,9;57,8;
2017-03-31;68,7;32,1;25,9;18,9;56,7;
2017-04-30;21,2;31,1;24,7;18,6;60,1;
2017-05-31;13,3;29,8;23,5;16,9;66,1;
2017-06-30;4,6;29;22,2;15,3;62,7;
2017-07-31;36;25,8;19,9;13,6;69;
2017-08-31;4,4;28,5;21,6;15,4;57,6;
2017-09-30;10,6;28,8;22,3;16;56,3;
2017-10-31;0;31,8;25,3;19,3;48,9;
2017-11-30;96,8;29,8;24,6;18,7;57,9;
2017-12-31;86,8;31,1;25,3;18,9;56,7;
2018-01-31;30,8;31,8;25,6;19,1;54,3;
2018-02-28;129,7;30,9;24,8;18,5;60,1;
2018-03-31;85,8;31;25,3;19,3;59,7;
2018-04-30;25;30,3;24,1;18,1;59,4;
2018-05-31;56,7;29,3;23,4;17,9;60,8;
2018-06-30;10,6;28;22;15,6;60;
2018-07-31;10;27,6;21,4;14,3;57,3;
2018-08-31;0;29,5;23,3;16,5;54,8;
2018-09-30;0;30,8;24,2;16,9;52,5;
2018-10-31;25,8;31,8;25,4;17,8;54,3;
2018-11-30;100,7;30,3;24,6;18;58;
2018-12-31;201,9;29,7;24;18,3;63,1;
2019-01-31;0;32,5;25,7;18,8;52,4;
2019-02-28;30;31,9;25,6;19,2;55,5;
2019-03-31;177,4;32,3;25,6;19,1;56,3;
2019-04-30;7;32,2;25,3;19;59,5;
2019-05-31;0;31,3;24,9;18,6;59,6;
2019-06-30;2,4;30,3;22,8;15,1;60,9;
2019-07-31;9,4;30,3;21,9;14;57,8;
2019-08-31;2,3;30,5;22,5;16,2;56,5;
2019-09-30;4,4;31,6;24,3;17,6;52,7;
2019-10-31;17,1;32,9;25,5;18,1;53;
2019-11-30;1,4;33,5;26,6;19,7;49;
2019-12-31;0;33,5;26,5;20,1;51,9;
2020-01-31;309,7;31,5;25,3;19,3;59,8;
2020-02-29;10;32,4;25,8;18,8;55,7;
2020-03-31;249;30,6;24,8;18,3;65,9;
2020-04-30;166,7;30,8;25,1;18,4;64,6;
2020-05-31;16,7;30,9;25;18,9;61,1;
2020-06-30;19;29,6;22,9;16,1;62,8;
2020-07-31;2,1;31,3;23;15,2;60,6;
2020-08-31;0;31,7;23,2;15,4;59,9;
2020-09-30;0;31,9;24,3;17,3;55,5;
2020-10-31;87,1;32;25;17,8;58;
2020-11-30;227,3;29,7;23,5;16,9;64,1;
2020-12-31;0;32,6;25,4;17,9;51,8;
2021-01-31;53,2;32;25;17,9;54;
2021-02-28;142,1;30,8;24;17,2;60,6;
2021-03-31;10,1;34,1;25,5;17,5;49,9;
2021-04-30;42,5;32,1;24,8;17,7;54,2;
2021-05-31;0;32,3;24,5;15,6;53,6;
2021-06-30;0;32,1;24,1;14,8;55,7;
2021-07-31;9,6;30,2;22,6;14,2;57,8;

