Nome: ITIRUCU (JAGUAQUARA)
Codigo Estacao: 83295
Latitude: -13.52777777
Longitude: -40.11972221
Altitude: 757.53
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-01-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;51,8;29,6;22,8;18,5;null;
2010-02-28;27,5;30,4;23,6;19,2;null;
2010-03-31;181,6;29,5;23,3;19,4;null;
2010-04-30;106,6;26,7;21,7;18,6;null;
2010-05-31;21,4;26,9;21,3;17,9;null;
2010-06-30;26,2;24,6;19;15,3;null;
2010-07-31;106,4;22,7;18,1;15,3;null;
2010-08-31;41,5;23,4;17,8;14,1;null;
2010-09-30;65,1;25;18,9;15,2;null;
2010-10-31;55,3;28,6;21,8;18;null;
2010-11-30;59,7;28,7;22,2;18,4;null;
2010-12-31;null;null;null;null;null;
2011-01-31;120;28,3;22,1;18,3;null;
2011-02-28;12;29,8;22,7;18,5;null;
2011-03-31;105,6;29,6;23,2;19,1;null;
2011-04-30;115,5;27;21,5;18,3;null;
2011-05-31;59,6;24,3;19,7;16,8;null;
2011-06-30;30,3;24,4;18,9;15,4;null;
2011-07-31;69,8;23,4;18;14,5;null;
2011-08-31;41,8;24,8;18,8;14,9;null;
2011-09-30;null;null;null;null;null;
2011-10-31;81;25,9;20,4;16,8;null;
2011-11-30;73,7;25,4;20,3;17;null;
2011-12-31;52,2;28;21,8;17,8;null;
2012-01-31;7,3;28,8;22,1;17,9;null;
2012-02-29;45,2;28,3;21,8;17,8;null;
2012-03-31;13,5;29,8;22,6;18;null;
2012-04-30;23;28,7;21,9;17,5;null;
2012-05-31;62,7;25,7;20,3;16,9;null;
2012-06-30;null;null;null;null;null;
2012-07-31;35,4;24,2;18,7;14,9;null;
2012-08-31;66,5;23,4;18;14,3;null;
2012-09-30;11,1;26,2;19,7;15,4;null;
2012-10-31;27;27,4;20,7;16,6;null;
2012-11-30;59,9;27,4;22,1;18,7;null;
2012-12-31;,8;30,6;23,1;18,2;null;
2013-01-31;105;29,4;23,1;18,9;null;
2013-02-28;72,4;28,8;22,6;18,7;null;
2013-03-31;22,1;29,6;23,3;19,4;null;
2013-04-30;31,3;27;21,9;18,5;null;
2013-05-31;37,3;26,4;21;17,5;null;
2013-06-30;null;null;null;null;null;
2013-07-31;67,3;23,5;18,8;15,9;null;
2013-08-31;65,6;23,5;18,5;15,3;null;
2013-09-30;56,2;25;19,6;16;null;
2013-10-31;36,6;27,1;20,9;17;null;
2013-11-30;71,9;28,3;21,8;17,5;null;
2013-12-31;144,7;28;22,5;18,9;null;
2014-01-31;74,3;27,7;21,8;18;null;
2014-02-28;90,5;27;21,6;17,8;null;
2014-03-31;50;27,8;22;18,4;null;
2014-04-30;94,1;27,9;22;18,3;null;
2014-05-31;78,6;25,7;20,5;17,1;null;
2014-06-30;null;null;null;null;null;
2014-07-31;144,2;23,5;18,6;15,3;null;
2014-08-31;30,1;23,7;18,2;14,5;null;
2014-09-30;27,7;25,5;19,4;15,2;null;
2014-10-31;12,9;26,7;20,3;16,3;null;
2014-11-30;165,1;27;21,3;17,6;null;
2014-12-31;170;27;21,5;18;null;
2015-01-31;78,1;28;21,9;17,6;null;
2015-02-28;185,6;27,9;22;18,1;null;
2015-03-31;60;29,1;22,7;18,5;null;
2015-04-30;69,9;28,7;22,5;18,7;null;
2015-05-31;66,4;25,3;20,2;17,1;null;
2015-06-30;107,8;23,2;19,1;16,2;null;
2015-07-31;70,9;23,6;18,7;15,5;null;
2015-08-31;74,4;23,4;18,1;14,5;null;
2015-09-30;44,1;27,4;20,1;15,2;null;
2015-10-31;23,6;28,2;21,2;16,4;null;
2015-11-30;11,6;31;23,1;17,9;null;
2015-12-31;3,2;31,1;23,3;17,8;null;
2016-01-31;203,4;28,9;23;19,6;null;

