Nome: DIAMANTINO
Codigo Estacao: 83309
Latitude: -14.40611111
Longitude: -56.44694444
Altitude: 274.02
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;497,3;31,9;25,9;22,1;83,1;
2010-02-28;336;33,4;26,5;22,2;81,6;
2010-03-31;240,9;33,7;26,7;22,3;82,4;
2010-04-30;18,3;33,5;25,5;20;77,9;
2010-05-31;29,1;32;23,2;17,7;75,5;
2010-06-30;26;33,8;23,5;17;69,1;
2010-07-31;5,2;32,2;22,1;15,2;63;
2010-08-31;0;35,2;24,2;16,8;51,6;
2010-09-30;15,3;38;28,4;21,6;54,2;
2010-10-31;281,9;34,8;27,1;21,5;70,5;
2010-11-30;266,2;32,4;25,8;21,2;80,2;
2010-12-31;286,1;33;26;21;79,3;
2011-01-31;313,7;31,9;25,6;21,6;84,1;
2011-02-28;316,4;31,7;25,7;21,5;84,1;
2011-03-31;292;32;25,6;21,6;85,7;
2011-04-30;157,3;33,5;26,1;21,2;81,1;
2011-05-31;15;32;23,4;17,8;77,4;
2011-06-30;48,9;32,7;22,7;16,7;73,7;
2011-07-31;0;33,2;23,2;17;67;
2011-08-31;37,4;35;24,7;17,1;57,3;
2011-09-30;37,2;36,4;27,2;20,5;64,5;
2011-10-31;140;34,5;26,9;21,5;77,6;
2011-11-30;195,8;33,3;26,5;21,3;81,1;
2011-12-31;355,3;32,5;26,1;21,8;85,4;
2012-01-31;308,7;31,3;25,5;21,6;87,4;
2012-02-29;359,8;32,5;25,5;20,9;86,4;
2012-03-31;165,8;32,8;25,4;20,6;86;
2012-04-30;100;33,3;25,8;21;85,1;
2012-05-31;172,5;32;24;18,8;84,3;
2012-06-30;23,4;31,6;23,3;17,3;82;
2012-07-31;0;32,5;22;15,2;77,4;
2012-08-31;0;35,2;24,7;17,3;66,1;
2012-09-30;40,9;36,8;27,3;20,3;61,5;
2012-10-31;57,7;36,3;27,9;22;68,1;
2012-11-30;177,8;32,5;26,5;22,1;82,2;
2012-12-31;241,7;33,2;26,5;21,6;79,4;
2013-01-31;428,4;31,6;26,1;21,9;84,4;
2013-02-28;249,2;31,5;25,5;21,3;84,5;
2013-03-31;309,9;32,3;25,8;21,6;85,7;
2013-04-30;80,1;32;25;20,3;83,5;
2013-05-31;6,4;32;24,3;19;79,1;
2013-06-30;54,3;33,3;24,6;18,8;77,8;
2013-07-31;0;32,6;22,5;15,6;67;
2013-08-31;0;34;23,7;16,1;51,8;
2013-09-30;35,2;35,4;26,8;20,1;69,8;
2013-10-31;247,3;34,1;26,4;21,1;82,5;
2013-11-30;226,9;32,4;26,1;21,3;85,6;
2013-12-31;373,3;31,7;25,8;21,3;88,3;
2014-01-31;239,5;32,4;25,4;20,7;86,8;
2014-02-28;422,7;31,3;25,2;21;89,6;
2014-03-31;349,8;32;25,7;21,2;88,7;
2014-04-30;186,9;32,3;25,8;21;87;
2014-05-31;23,5;31,6;24;18,1;86;
2014-06-30;19,9;31,8;23,7;18,2;84,4;
2014-07-31;45,8;32,2;22,7;16,1;82,9;
2014-08-31;0;35,5;24,9;17,4;75,5;
2014-09-30;62;35,9;27,1;21;81,7;
2014-10-31;231,7;35,4;27,1;20,7;80;
2014-11-30;210;33,5;26,7;21,4;84,1;
2014-12-31;407,2;31,5;25,7;20,9;88,5;
2015-01-31;213,9;33,2;25,7;20,4;86,6;
2015-02-28;192,6;31,9;25,5;20,9;89,1;
2015-03-31;207,4;32;25,7;21,1;88,2;
2015-04-30;199,2;32,7;25,7;21,1;89,4;
2015-05-31;85,3;31,7;24,9;20;87,8;
2015-06-30;15;32,5;23,6;17,4;82,8;
2015-07-31;1,3;33,2;23,7;16,7;77,8;
2015-08-31;18,7;36,9;25,9;18,4;69,5;
2015-09-30;2,3;37,6;28,2;20,7;69,7;
2015-10-31;145,5;36,1;27,7;21,1;78,4;
2015-11-30;314,1;35;27,1;21,4;83,8;
2015-12-31;165,3;34,5;27,1;21,8;85,1;
2016-01-31;244,1;32;26,3;22,1;88,3;
2016-02-29;192,5;34;26,8;21,6;84,4;
2016-03-31;298;32,8;26,3;21,7;85,6;
2016-04-30;126,4;34,5;26,9;20,2;82,9;
2016-05-31;4,7;null;null;18,4;83,2;
2016-06-30;10,9;null;null;17,6;81,2;
2016-07-31;0;null;null;17;68,7;
2016-08-31;118,6;null;null;18,6;70,1;
2016-09-30;46;null;null;19,9;74,6;
2016-10-31;172,4;null;null;21,7;78,5;
2016-11-30;208,1;null;null;22,5;85,6;
2016-12-31;289,9;31,6;25,8;22,7;86,4;
2017-01-31;369,8;32,4;26;22,4;88,5;
2017-02-28;472,7;31,3;25,5;22,5;90,4;
2017-03-31;255,8;33;26,3;22,7;89,6;
2017-04-30;173,7;32,7;26;22,4;87,3;
2017-05-31;114,8;32,9;25,8;21,8;86,2;
2017-06-30;0;32,3;23;17,9;81,7;
2017-07-31;0;32,5;21,6;15,3;74,8;
2017-08-31;21,8;36,1;26,2;20;69,4;
2017-09-30;5,1;36,6;27,2;21;69,7;
2017-10-31;61,8;35,5;27,3;22,3;78,3;
2017-11-30;189,3;34,1;27,1;23,1;84,4;
2017-12-31;264,9;32,2;26,3;23;87,8;
2018-01-31;308,9;32,3;26,1;22,4;88,6;
2018-02-28;331,8;31,7;26;22,9;89,1;
2018-03-31;447,6;33,3;26,5;22,8;86;
2018-04-30;228,4;32,5;25,8;22,1;86,8;
2018-05-31;30,4;32,6;24,2;19,4;83,2;
2018-06-30;1,4;30,3;22,1;17,3;82,6;
2018-07-31;0;33,6;22,8;16,7;74,8;
2018-08-31;40,2;34,3;24,7;18,5;70,6;
2018-09-30;46,7;35,8;26,4;20,3;72,7;
2018-10-31;129,3;35;27,4;23,3;82,1;
2018-11-30;326;32,7;26,6;23,5;86,4;
2018-12-31;219,2;33;26,4;22,7;84,7;
2019-01-31;201,9;33,1;26,5;22,6;83,6;
2019-02-28;466,8;33,2;26,6;22,9;86,3;
2019-03-31;449,1;33,3;26,5;22,7;87,2;
2019-04-30;217,2;32,8;26,2;22,7;88,2;
2019-05-31;11,8;32,8;24,8;20,3;84,9;
2019-06-30;0;33,6;24;18,7;78,8;
2019-07-31;1,5;33,8;23,2;16,8;72,5;
2019-08-31;0;35,6;25,7;19,5;65,9;
2019-09-30;20,5;38,3;29,1;22,4;67,3;
2019-10-31;195,8;35;27,3;22,5;81,9;
2019-11-30;237;34,4;27,1;23,1;84,5;
2019-12-31;166,3;33,5;26,9;23,1;88,6;
2020-01-31;203,1;34,2;27,4;23,5;86,2;
2020-02-29;253,3;32,7;26,7;23,3;87;
2020-03-31;112,6;34,1;27,2;22,8;81,4;
2020-04-30;30,4;34,6;26,7;22,1;79,8;
2020-05-31;92,5;31,5;23,3;18,3;80,5;
2020-06-30;0;34,8;24,7;18;66,3;
2020-07-31;0;34,9;24,3;17,9;66,3;
2020-08-31;0;36,6;26;19,4;57,8;
2020-09-30;0;38,9;29;21,9;55;
2020-10-31;117,7;37,2;28,9;23,9;68,8;
2020-11-30;141,8;35,8;28;23;73,9;
2020-12-31;310,4;33,8;27,2;23,2;80,6;
2021-01-31;261,5;33;26,4;22,8;85,6;
2021-02-28;338,9;33,1;26,5;22,6;85,8;
2021-03-31;348,4;32,1;25,7;22,1;88;
2021-04-30;188;32,7;25,6;21,6;86,4;
2021-05-31;42,2;31,8;23,7;18,7;84,1;
2021-06-30;0;32,1;23,1;17,9;80,4;
2021-07-31;0;33,7;21,9;14,7;69,6;
2021-08-31;0;36,5;25,9;19,1;66,1;
2021-09-30;37,6;38,1;28,9;22,5;70,1;
2021-10-31;292,2;35,6;28,2;23,3;80,7;
2021-11-30;317,8;32,5;26,5;22,9;89,3;
2021-12-31;412,6;32,6;27;23,4;89;
2022-01-31;449,7;33,2;26,6;22,6;89,7;
2022-02-28;632,9;32,2;26,2;22,5;90,4;
2022-03-31;255,4;32,6;26,1;22,3;90;
2022-04-30;3,2;34,1;26,2;21,2;84,9;
2022-05-31;2,6;32,6;23;17;77,6;
2022-06-30;38;31,7;23,1;17,2;80,1;
2022-07-31;0;34,6;24,5;17,9;75,5;
2022-08-31;59,9;34,7;24,1;17,5;77;
2022-09-30;79,3;35,9;27,1;21,7;77,5;
2022-10-31;140,1;34,1;26,9;22,2;85,3;
2022-11-30;148,4;34;25,9;19,6;82,7;
2022-12-31;246,9;32,1;26,3;23;88,1;
2023-01-31;283,4;32,3;26;22,6;88;
2023-02-28;262,6;33;26,5;22,5;87,4;
2023-03-31;361,8;33;26,2;22,4;88,3;
2023-04-30;192,5;33;26,4;22,3;86,3;
2023-05-31;31,2;33;25;20,5;83,3;
2023-06-30;2;31,8;22,6;16,9;80,7;
2023-07-31;0;34,9;23,9;17,5;74,2;
2023-08-31;18,2;37;27,4;21,1;70,4;
2023-09-30;74,2;37,7;28,8;23;74,7;
2023-10-31;21,7;38,3;30,3;24,7;72,6;
2023-11-30;158,6;36,9;29,5;24,5;75,6;
2023-12-31;226,3;35,8;28,2;24;81,9;
2024-01-31;269,4;34,5;27,7;23,8;85,8;
2024-02-29;99,3;34,2;27,5;23,7;85,7;
2024-03-31;277,1;34,8;27,7;24,3;86,2;
2024-04-30;303,4;34,1;27,5;24,2;87,1;
2024-05-31;1,1;32,3;24,7;20,2;84,4;
2024-06-30;0;35,1;24,6;18,8;77,1;
2024-07-31;0;34;23,1;16,5;73,2;
2024-08-31;0;35,7;25,7;19;65,9;
2024-09-30;20,4;39,1;29,1;22,1;64,1;
2024-10-31;173,7;37;29,1;24;76,1;
2024-11-30;353,3;33,5;27,1;23,6;86;
2024-12-31;298,3;33,4;27,1;23,6;87,2;

