Nome: NOVA XAV.(XAVANTINA)
Codigo Estacao: 83319
Latitude: -14.697917
Longitude: -52.350226
Altitude: 305.33
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;312,2;32,4;25,9;22,2;85,5;
2010-02-28;89,3;33,4;26,3;22,3;85,4;
2010-03-31;139;33,6;26,5;22,7;84,8;
2010-04-30;32,5;34,2;25,3;19,7;77,9;
2010-05-31;8,1;34,1;23,7;16,9;71,3;
2010-06-30;13;33,8;21,9;14,4;70,8;
2010-07-31;0;34,3;22,4;13,9;65,7;
2010-08-31;0;35,6;22,8;12,9;52,3;
2010-09-30;5,6;38,9;26,3;17,1;51,9;
2010-10-31;152;36,4;27,8;22,2;69,6;
2010-11-30;357;32,8;25,7;22,1;86,5;
2010-12-31;267,3;32,5;25,6;21,8;85;
2011-01-31;425;31,8;25,3;21,6;86,5;
2011-02-28;206,7;32,8;25,6;21,8;84,8;
2011-03-31;294,3;31,4;25,2;22;89,2;
2011-04-30;64,4;33,6;25,3;20,3;81,1;
2011-05-31;0;33,5;23,3;16,9;76,2;
2011-06-30;3,5;32,9;21,8;14,5;74,1;
2011-07-31;,7;34,1;22;13,5;67,9;
2011-08-31;0;36,8;24,2;14,6;56,7;
2011-09-30;8,8;38,3;26,7;17,7;55,8;
2011-10-31;172,6;33,6;26;21,6;81,7;
2011-11-30;77;31,9;25,1;21,1;83,6;
2011-12-31;278,3;31,5;25,3;22,1;87,7;
2012-01-31;552,5;30,7;24,7;21,5;88,3;
2012-02-29;149,6;32,7;24,9;20,4;84,7;
2012-03-31;143,1;34,1;25,7;20,8;82,2;
2012-04-30;36,9;34,8;26,1;21,2;81,8;
2012-05-31;56,8;32,5;23,8;18,5;78,3;
2012-06-30;10,6;33,6;23,2;16,7;78,1;
2012-07-31;0;34,1;21,7;13,8;68,8;
2012-08-31;0;35,5;23,2;15,3;57,5;
2012-09-30;55,6;37,7;26,1;18,7;58,4;
2012-10-31;138,6;36,5;27;21,2;72,9;
2012-11-30;201,1;32;25,7;22,6;87,4;
2012-12-31;218,9;33,9;26;21,7;81,8;
2013-01-31;513,2;30,9;25,3;22,1;89,3;
