Nome: POSSE
Codigo Estacao: 83332
Latitude: -14.08916666
Longitude: -46.36666666
Altitude: 830.35
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;133,8;30,3;24,7;20,1;70,1;
2010-02-28;86,7;31,3;25,4;20,8;66;
2010-03-31;217,1;30,1;24,5;20,7;76,5;
2010-04-30;58,5;30,4;24,6;20;61,7;
2010-05-31;68,4;30,8;25;20,4;60,2;
2010-06-30;0;29,6;22,8;17,5;50,8;
2010-07-31;0;28,7;22,6;17,6;50,7;
2010-08-31;0;29,9;23,2;17,6;43,3;
2010-09-30;26,8;32,5;25,8;20,1;40,2;
2010-10-31;151;32,7;26,5;21,9;61,7;
2010-11-30;230,9;29;23,7;20,1;78,9;
2010-12-31;280,2;29,6;24,3;20,1;77;
2011-01-31;341,6;29,6;24;19,7;76,4;
2011-02-28;128,4;29,4;24;19,8;77,1;
2011-03-31;234,2;28,9;23,7;19,9;81,1;
2011-04-30;106,5;29,7;24;19,8;69;
2011-05-31;14,2;29,3;23,5;18,8;60,5;
2011-06-30;0;29,6;23,4;18,1;53,8;
2011-07-31;0;29,5;23;17,6;46,1;
2011-08-31;0;32;25,3;19,5;41,1;
2011-09-30;0;32,9;26,1;20,3;34,6;
2011-10-31;192;29,9;24,3;20;69,7;
2011-11-30;184;27,9;23;19,2;76,9;
2011-12-31;296,3;28,4;23,6;19,8;77,5;
2012-01-31;373,8;28,2;22,8;19;80,4;
2012-02-29;106,1;30,2;24,3;19,9;68;
2012-03-31;70,7;31,3;25,2;20,4;66,5;
2012-04-30;39,9;32,2;25,9;21;58,4;
2012-05-31;19,7;29,1;23,4;18,8;63,5;
2012-06-30;0;30,3;24,3;19,7;52,4;
2012-07-31;0;29,7;23,5;18,5;44,3;
2012-08-31;0;29,1;23,1;17,6;43,4;
2012-09-30;6,4;33,1;26,8;21;38,8;
2012-10-31;13,6;33,5;27,3;21,7;46,1;
2012-11-30;379,8;28,9;23,9;20,2;78,7;
2012-12-31;150,4;32,4;26,4;21,6;61,8;
2013-01-31;301,2;28;23,4;20,3;83;
2013-02-28;80;31,4;25,8;21,4;65,8;
2013-03-31;299,7;30,3;24,9;20,8;73,8;
2013-04-30;211,5;29,1;23,9;19,9;72,7;
2013-05-31;12,1;30;24,3;19,6;59,6;
2013-06-30;11,6;29,5;23,9;19,6;58,8;
2013-07-31;0;29,7;23,8;18,9;50,7;
2013-08-31;0;30,7;24,3;19;44,9;
2013-09-30;10,5;32,4;26,1;20,9;47,7;
2013-10-31;54,2;32;25,9;21,1;57,1;
2013-11-30;156;30,2;24,5;20,3;69,5;
2013-12-31;324,7;28,5;23,7;20,1;81,1;
2014-01-31;151,9;30,2;24,7;19,9;66,4;
2014-02-28;121,1;29,8;24,5;20,6;69,1;
2014-03-31;303,2;28,6;23,6;20;79,3;
2014-04-30;130,4;29,7;24,4;20,2;72,8;
2014-05-31;66,9;29,5;24,1;19,7;63,2;
2014-06-30;0;29;23,2;18,5;57,9;
2014-07-31;0;29,1;22,8;17,8;50,9;
2014-08-31;0;30,9;24,5;19,2;40,8;
2014-09-30;1,1;33,5;27;21,2;40,5;
2014-10-31;118,2;33,1;26,6;21,4;48,5;
2014-11-30;201,2;30,5;24,8;20,7;71,9;
2014-12-31;204,5;29;23,9;20;75,6;
