Nome: FORMOSO
Codigo Estacao: 83334
Latitude: -14.949727
Longitude: -46.235795
Altitude: 854.6
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;110,2;31,6;24,7;19,2;67,6;
2010-02-28;45,8;32,6;25,4;20,2;64,6;
2010-03-31;174;31;24,4;20,2;75,4;
2010-04-30;58,6;30,9;23,7;18,3;64,8;
2010-05-31;12,6;31,6;24;18,3;62,3;
2010-06-30;0;30;21,4;14,8;53,9;
2010-07-31;0;29,1;21,1;14,6;52,7;
2010-08-31;0;29,9;21,4;13,6;42,5;
2010-09-30;null;null;null;null;null;
2010-10-31;59,4;32,7;25,7;20,4;59,3;
2010-11-30;257,7;28,7;23;19,3;77,8;
2010-12-31;291,6;30,2;24,2;19,5;72,9;
2011-01-31;119;30,4;24;19,3;70,7;
2011-02-28;217,6;31,3;24,4;19,4;69,3;
2011-03-31;203,9;29,5;23,6;19,7;78,2;
2011-04-30;45,3;30,7;23,5;18,4;68;
2011-05-31;7;29,6;22,2;16,5;60,1;
2011-06-30;0;29,7;21,7;15,3;57,5;
2011-07-31;0;29,7;21,3;14,2;49,5;
2011-08-31;0;32,6;23,5;15,5;40,1;
2011-09-30;null;null;null;null;null;
2011-10-31;120,9;29,7;23,8;19,4;67,9;
2011-11-30;150,3;28;22,6;18,7;75,8;
2011-12-31;276,6;28,9;23,2;19,3;75,8;
2012-01-31;252;29;23;18,9;75,2;
2012-02-29;45,6;31,1;24,2;19,2;65,2;
2012-03-31;212,7;31,3;24,3;19,4;66,6;
2012-04-30;45,1;32,2;24,9;19,1;60,2;
2012-05-31;14,1;28,6;22,3;17,5;66;
2012-06-30;,9;30,2;22,7;16,7;56,9;
2012-07-31;0;30;21,9;15,3;47,7;
2012-08-31;0;29,5;21,7;15;45,1;
2012-09-30;null;null;null;null;null;
2012-10-31;32,6;34,2;26,3;19,8;43,3;
2012-11-30;339,7;28,9;23,6;20;81,2;
2012-12-31;62,7;33,2;25,9;20,2;59,9;
2013-01-31;229,4;28,8;23,4;19,7;78,8;
2013-02-28;140,8;32,5;25,4;19,9;62,9;
2013-03-31;227,8;31,7;25,2;20,6;69,9;
2013-04-30;93,9;29,7;23,3;18,7;72,5;
2013-05-31;0;30,3;23,1;17,3;60,4;
2013-06-30;,6;29,8;22,6;17;60,2;
2013-07-31;0;30,2;22,4;16;51,4;
2013-08-31;0;31,1;22,9;15,8;45,2;
2013-09-30;null;null;null;null;null;
2013-10-31;80,1;32,2;24,9;19,5;57,3;
2013-11-30;107,4;30,5;24,3;19,6;66,2;
2013-12-31;263,4;28,9;23,5;19,9;79,4;
2014-01-31;110,5;31,3;24,4;19;63,4;
2014-02-28;167;30,8;24,4;19,6;65,3;
2014-03-31;303,9;30,1;23,6;19,5;76,8;
2014-04-30;109,1;30,7;24,1;19,6;69,3;
2014-05-31;17,6;30;22,9;17,5;60,4;
2014-06-30;,2;29,1;21,6;15,6;59,9;
2014-07-31;,8;29,2;21,2;14,9;53,3;
2014-08-31;0;31,2;22,7;15,4;41,8;
2014-09-30;null;null;null;null;null;
2014-10-31;208;33,2;25,5;19,1;45,8;
2014-11-30;173,2;30,8;24,5;20,1;68,6;
2014-12-31;277;29,7;23,5;19;74;
2015-01-31;69,3;33,1;26;19,9;54;
2015-02-28;132,1;29,8;24;19,5;68,3;
2015-03-31;153,8;29,7;23,9;20;75,2;
2015-04-30;199,5;29,9;23,9;19,9;76,7;
2015-05-31;47,8;28,2;22,2;17,6;71,1;
2015-06-30;0;28,2;21,4;15,9;59,4;
2015-07-31;0;29;21,8;15,7;54,5;
2015-08-31;0;30,7;22,7;15,8;45,2;
2015-09-30;null;null;null;null;null;
2015-10-31;42,8;35,4;27,3;20,8;42,2;
2015-11-30;106,6;33,5;26,4;21,1;56,8;
2015-12-31;53;33,3;26,2;20,9;56,7;
2016-01-31;425,1;28,6;23,6;20,4;81;
2016-02-29;111,8;32,3;25,8;20,3;61,2;
2016-03-31;111;null;null;20,7;65,5;
2016-04-30;27,6;null;null;19,7;54,6;
2016-05-31;0;null;null;18,3;54,7;
2016-06-30;4,2;null;null;16,4;52,8;
2016-07-31;0;null;null;15,5;46,8;
2016-08-31;0;null;null;16,9;44,2;
2016-09-30;null;null;null;null;null;
2016-10-31;61,2;null;null;20,5;52,4;
2016-11-30;271,2;null;null;20,1;68,9;
2016-12-31;186,8;null;null;19,9;65,1;
2017-01-31;151,6;null;null;19,8;63,3;
2017-02-28;217,1;null;null;19,6;75,1;
2017-03-31;203,2;null;null;19,8;64,5;
2017-04-30;14,2;null;null;19,8;62,9;
2017-05-31;14;null;null;18,3;61,3;
2017-06-30;0;null;null;16,5;53;
2017-07-31;0;null;null;14;49;
2017-08-31;0;null;null;15,2;37,6;
2017-09-30;null;null;null;null;null;
2017-10-31;27,4;null;null;19,8;39,2;
2017-11-30;229,1;null;null;19,8;72,9;
2017-12-31;291,9;null;null;19,6;72,2;
2018-01-31;174,5;null;null;19,8;66,3;
2018-02-28;447,9;null;null;19,3;75,5;
2018-03-31;144,7;null;null;19,8;72,4;
2018-04-30;115,3;null;null;18,6;68,9;
2018-05-31;11,4;null;null;16,7;58,2;
2018-06-30;0;null;null;15,8;53,1;
2018-07-31;0;null;null;14,5;49,2;
2018-08-31;25,7;null;null;17,2;47,6;
2018-09-30;null;null;null;null;null;
2018-10-31;109,8;null;null;21,2;56,5;
2018-11-30;187,4;null;null;19,6;74,3;
2018-12-31;null;null;null;19,3;74,9;
2019-01-31;null;null;null;null;null;
2019-02-28;156,4;null;null;20,4;70;
2019-03-31;283,3;null;null;19,8;74,2;
2019-04-30;152,8;null;null;19,7;72,3;
2019-05-31;12,6;null;null;19,3;64;
2019-06-30;0;null;null;16,1;55,1;
2019-07-31;0;null;null;14,3;47,9;
2019-08-31;,1;null;null;16,2;43;
2019-09-30;null;null;null;null;null;
2019-10-31;19,2;null;null;20,1;43,4;
2019-11-30;134,7;null;null;20,7;60,1;
2019-12-31;119,1;null;null;20,9;62,6;
2020-01-31;186,4;null;null;20,1;71,9;
2020-02-29;206,6;null;null;20;74,9;
2020-03-31;427;null;null;19,9;79,9;
2020-04-30;155,8;null;null;19,4;75;
2020-05-31;3,6;null;null;16,9;66,6;
2020-06-30;0;null;null;15,3;58,2;
2020-07-31;0;null;null;14,4;50,6;
2020-08-31;0;null;null;15,5;46,4;
2020-09-30;null;null;null;null;null;
2020-10-31;121,4;null;null;20,3;54,9;
2020-11-30;190,3;null;null;19,7;67,5;
2020-12-31;163,2;null;null;19,6;65,2;
2021-01-31;138,9;null;null;20,1;62,1;
2021-02-28;227,9;null;null;20;80;
2021-03-31;23;null;null;19,2;60,2;
2021-04-30;272,5;null;null;18,9;68,5;
2021-05-31;0;null;null;16,7;56;
2021-06-30;6,4;null;null;15,8;56,6;
2021-07-31;0;null;null;14,7;49,4;
2021-08-31;0;null;null;15,4;48,5;
2021-09-30;null;null;null;null;null;
2021-10-31;97,9;null;null;20,6;60,1;
2021-11-30;209,2;null;null;19,5;78,3;
2021-12-31;595,9;null;null;19,4;86,9;
2022-01-31;114,2;null;null;19,1;73,9;
2022-02-28;368,1;null;null;19,4;79,5;
2022-03-31;72,8;null;null;19,8;65,9;
2022-04-30;23,4;null;null;19,3;63,3;
2022-05-31;0;null;null;15,8;58,4;
2022-06-30;0;null;null;14,4;55,2;
2022-07-31;null;null;null;null;null;
2022-08-31;null;null;null;null;null;
2022-09-30;23,8;null;null;17,8;48;
2022-10-31;27,4;null;null;20,4;54,2;
2022-11-30;208,8;null;null;19,1;76,8;
2022-12-31;null;null;null;19,5;80,7;
2023-01-31;null;null;null;null;null;
2023-02-28;128,6;null;null;19,7;64,9;
2023-03-31;97,8;null;null;19,5;68,1;
2023-04-30;117,4;null;null;19,4;71,5;
2023-05-31;6,4;null;null;17,4;58,4;
2023-06-30;0;null;null;16;55,6;
2023-07-31;0;null;null;16;49,4;
2023-08-31;12,4;null;null;17,2;49,2;
2023-09-30;null;null;null;null;null;
2023-10-31;100;null;null;21,6;50,6;
2023-11-30;74,2;null;null;21,6;53,7;
2023-12-31;260,6;null;null;20,7;60,9;
2024-01-31;227,2;null;null;20,1;74,5;
2024-02-29;190;null;null;20;72,6;
2024-03-31;361,2;null;null;20,6;74,1;
2024-04-30;103,1;null;null;19,7;69,6;
2024-05-31;0;null;null;18;56,4;
2024-06-30;0;null;null;15,6;54,5;
2024-07-31;0;null;null;14,5;47,5;
2024-08-31;0;null;null;15,8;41,9;
2024-09-30;null;null;null;null;null;
2024-10-31;150,4;null;null;20,7;62;
2024-11-30;189,3;null;null;20,5;76,7;
2024-12-31;216,1;null;null;20,1;75,5;

