Nome: ESPINOSA
Codigo Estacao: 83338
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.52
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2019-03-14
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;42,2;33;26,3;21,5;64,1;
2010-02-28;null;33,6;26,7;21,8;61,6;
2010-03-31;117,5;31,4;25,5;21,8;76,2;
2010-04-30;22,5;31,1;25,1;20;65,3;
2010-05-31;1,5;32,1;25,8;20,3;57,5;
2010-06-30;null;29,8;23,2;17,5;53,7;
2010-07-31;null;29,4;23,1;17,7;51,9;
2010-08-31;0;29,8;23,1;17,4;44,8;
2010-09-30;0;32,2;25,2;19,6;43,6;
2010-10-31;21;34,9;28,3;22,8;52,3;
2010-11-30;147,6;31,5;25,6;21,8;74;
2010-12-31;null;31,1;25,5;21,2;76,8;
2011-01-31;36,6;31;25,3;21,1;74,1;
2011-02-28;4,9;33,4;27;22,2;62,3;
2011-03-31;null;31,2;25,3;21,1;77,4;
2011-04-30;40,6;30,4;24,6;20,4;75,5;
2011-05-31;2,9;29,3;23,1;17,7;68;
2011-06-30;0;29,7;22,7;16,7;62;
2011-07-31;null;30,3;22,4;15,6;54,9;
2011-08-31;0;31,7;24,4;17,7;49,9;
2011-09-30;0;31,4;24,5;18,6;46,1;
2011-10-31;68,7;30,5;25,3;21,3;62;
2011-11-30;79,2;29;24,2;20,6;72,3;
2011-12-31;null;30,5;25,4;20,7;71,9;
2012-01-31;null;31;25,5;21,2;69,3;
2012-02-29;null;32,3;26,2;21,4;64,6;
2012-03-31;29,9;33,7;27,6;22,4;51,2;
2012-04-30;0;34,4;27,6;21,9;46,5;
2012-05-31;2,9;30,6;24,8;19,8;55,1;
2012-06-30;2;31,3;24,9;19,5;51,7;
2012-07-31;null;29,8;23,4;17,4;48,9;
2012-08-31;0;29,5;23,3;18;45,6;
2012-09-30;,4;33,2;26,2;20,2;42;
2012-10-31;,5;34,3;27,7;21,5;45,4;
2012-11-30;228,2;29,3;24,8;21,8;77,9;
2012-12-31;33,8;33,3;26,8;20,8;63;
2013-01-31;null;33,4;27,4;22,6;65,2;
2013-02-28;1,1;34,1;27,9;22,5;47,5;
2013-03-31;94,7;33,7;27,9;23;56;
2013-04-30;36,7;31,4;25,7;21,1;62;
2013-05-31;0;32,1;25,6;19,8;50,1;
2013-06-30;null;30,2;24,2;19;53,5;
2013-07-31;0;30,2;23,9;18,7;48;
2013-08-31;0;30,9;24,3;18,6;45,6;
2013-09-30;0;32,6;null;21,2;null;
2013-10-31;38,4;32,4;null;21,5;null;
2013-11-30;null;32,1;null;21,7;null;
2013-12-31;397,1;29,2;null;21,2;null;
2014-01-31;null;31,4;null;20,6;null;
2014-02-28;3,6;32,5;null;22;null;
2014-03-31;25,8;32,4;null;22,4;null;
2014-04-30;35,7;32,1;null;21,3;null;
2014-05-31;10,2;31,5;null;19,6;null;
2014-06-30;null;29,7;null;19,1;null;
2014-07-31;null;29;null;18,1;null;
2014-08-31;0;30,7;null;18,1;null;
2014-09-30;,5;32,8;null;19,9;null;
2014-10-31;29,5;33;null;21,4;null;
2014-11-30;130;31,7;null;21,8;null;
2014-12-31;73;31,1;null;21,4;null;
2015-01-31;null;33,7;null;22;null;
2015-02-28;57,9;32,2;null;22,2;null;
2015-03-31;37,9;33,6;null;23,2;null;
2015-04-30;null;32,4;null;22,5;null;
2015-05-31;18,8;30,2;null;20,4;null;
2015-06-30;1,8;29,6;null;20;null;
2015-07-31;null;29,5;null;19,8;null;
2015-08-31;0;30,7;null;20,4;null;
2015-09-30;0;35,6;null;22,2;null;
