Nome: CAETITE
Codigo Estacao: 83339
Latitude: -14.07277777
Longitude: -42.48722221
Altitude: 876.29
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;15,1;30,2;24;19,2;59,1;
2010-02-28;17,4;30,9;24,5;19,8;59,3;
2010-03-31;213,4;28,6;23,5;20,2;74,2;
2010-04-30;50,4;27,5;22,4;18,9;70,9;
2010-05-31;16,6;28,5;22,8;18,7;64,3;
2010-06-30;1,5;26,2;20,4;15,8;59,4;
2010-07-31;18,4;25,1;19,7;15,8;64;
2010-08-31;6;25,8;19,9;14,8;57,8;
2010-09-30;0;28,2;21,8;16,2;60,5;
2010-10-31;71,6;31,3;24,9;19,6;56,3;
2010-11-30;146,7;28,7;23,4;19,4;70,9;
2010-12-31;142;28,1;23;19,3;74,9;
2011-01-31;27,7;28,6;23,1;19,1;69,6;
2011-02-28;139,1;30,2;24;19,2;62,2;
2011-03-31;129,1;27,9;23;19,7;77,9;
2011-04-30;43,8;27,4;22,3;18,8;73,8;
2011-05-31;6,8;26,3;21,1;17,2;66,6;
2011-06-30;,4;26,9;20,9;16,4;62,3;
2011-07-31;17,2;25,9;19,9;15,3;61,8;
2011-08-31;1,2;27,8;21,5;16,2;54,8;
2011-09-30;0;27,4;21,2;15,5;52,1;
2011-10-31;48;28,3;22,8;18,2;64,8;
2011-11-30;119;25,9;21,3;17,9;76,7;
2011-12-31;233,4;27,7;22,6;18,7;73,1;
2012-01-31;51,4;27,9;22,8;18,6;67,6;
2012-02-29;53,2;29,1;23,1;18,5;63,1;
2012-03-31;11,9;30,6;24,3;19,1;57,5;
2012-04-30;0;31;24,6;19,1;52,2;
2012-05-31;11,6;27,4;21,9;17,6;63,3;
2012-06-30;10,5;27,1;21,5;17,1;62,9;
2012-07-31;12,1;26,3;20,4;15,6;60;
2012-08-31;12,7;25,4;19,7;15,1;62,2;
2012-09-30;3;29,2;22,7;17;52,5;
2012-10-31;,4;30,7;24,1;18;47,7;
2012-11-30;454,9;26,4;22,2;19,5;82,5;
2012-12-31;45,9;30,4;24,7;19,3;56,8;
2013-01-31;202,6;29,3;23,9;19,8;67,8;
2013-02-28;0;29,9;24,1;19,3;60,4;
2013-03-31;87,3;31,3;25,1;20,3;61;
