Nome: VITORIA DA CONQUISTA
Codigo Estacao: 83344
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.47
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;50,1;29,1;null;null;65,9;
2010-02-28;7,4;29,4;null;null;63,4;
2010-03-31;176;28,6;null;null;80;
2010-04-30;77,5;26;null;null;81,8;
2010-05-31;17,4;26,2;null;null;79,2;
2010-06-30;20,3;23,7;null;null;77,6;
2010-07-31;43,9;22,2;null;null;83,7;
2010-08-31;20,5;22,9;null;null;77,9;
2010-09-30;12,5;25,6;null;null;72,8;
2010-10-31;41,6;28,8;21,5;16,4;70,8;
2010-11-30;237,2;27,5;21,7;16,9;77,7;
2010-12-31;174,1;27,5;21,8;17,8;78,2;
2011-01-31;32,2;27;21,2;17,1;79,8;
2011-02-28;32,5;28,4;22;17;74,4;
2011-03-31;90,5;28,2;22,1;18,2;78,4;
2011-04-30;67,7;25,7;20,7;17,4;87,2;
2011-05-31;21,1;23,7;19,1;15,8;90,4;
2011-06-30;7;23,9;18,4;14,7;84,8;
2011-07-31;25,6;23,6;17,3;12,8;84;
2011-08-31;6,5;25,5;18,8;null;77,3;
2011-09-30;11,2;25;18,2;13,8;75,5;
2011-10-31;73;26,2;20,3;15,8;80,1;
2011-11-30;109,5;24,1;19,6;16,2;85,8;
2011-12-31;115,6;27,1;21,2;17,1;84,6;
2012-01-31;17,3;27,4;21,2;16,7;81,1;
2012-02-29;29,3;27,7;21,2;16,2;78,3;
2012-03-31;12,2;29;22,1;16,9;75;
2012-04-30;1,7;29,5;21,8;16,1;72,9;
2012-05-31;30,2;25,1;19,3;15,4;84,2;
2012-06-30;22,2;25,4;19,2;15;82,4;
2012-07-31;18;23,8;17,8;13;81,5;
2012-08-31;55,3;23;17,2;12,9;82,4;
2012-09-30;6,7;26,1;19,2;14;81,4;
2012-10-31;48,4;27,3;20,4;15,2;80,6;
2012-11-30;258,4;26,1;21,3;17,5;91,2;
2012-12-31;4;29,5;22,3;16,3;81,6;
2013-01-31;95,4;28,9;22,4;17,3;83,3;
2013-02-28;65,1;27,8;21,6;16,3;84,3;
2013-03-31;2,1;30,1;22,8;16,7;83;
2013-04-30;59,3;26,2;20,7;16,2;88,3;
2013-05-31;11,4;25,7;20;15,2;87,2;
2013-06-30;35,3;24;18,7;14,5;89,5;
2013-07-31;17,1;23,8;17,9;13,2;86,7;
2013-08-31;20,4;23,8;17,9;12,9;83,7;
