Nome: POXOREU
Codigo Estacao: 83358
Latitude: -15.82749999
Longitude: -54.39555555
Altitude: 374.35
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;313,8;31,9;25,7;21,8;82,7;
2010-02-28;350,2;33;26;21,9;82;
2010-03-31;130,1;34;26,5;21,8;78,6;
2010-04-30;141,4;33,1;24,9;19,1;75;
2010-05-31;2;31,4;22,3;15,3;70;
2010-06-30;1,3;33,8;22,2;13,8;65,9;
2010-07-31;0;31,7;20,8;12,6;63,8;
2010-08-31;0;34,7;22,3;12,2;60,2;
2010-09-30;2;38,4;27;17,7;46,3;
2010-10-31;89,4;35,2;27,3;21,2;62,7;
2010-11-30;225,7;32,6;26;21,3;78,5;
2010-12-31;228,7;32,3;25,7;21,5;79,4;
2011-01-31;297;31,7;25,3;21,3;83,7;
2011-02-28;329,9;31,7;25,3;21,5;83,7;
2011-03-31;325,5;31,3;25,1;21,7;87,7;
2011-04-30;63,6;33;25,4;20;78;
2011-05-31;5,1;31,5;22,7;16;74,2;
2011-06-30;16,1;32;21,6;13,8;71,3;
2011-07-31;0;33,1;22,1;13,3;65,8;
2011-08-31;0;35,3;24;14,3;56,1;
2011-09-30;4,8;37,2;27;18,6;52,2;
2011-10-31;167,4;33,7;26,5;21,2;71,1;
2011-11-30;112,6;32,8;26;20,5;73,8;
2011-12-31;106,4;32,2;25,8;21,5;80,8;
2012-01-31;397,9;30,8;25;21,1;83,8;
2012-02-29;224,2;32,7;25,3;20,6;79;
2012-03-31;287,4;32,6;24,9;20,2;82,7;
2012-04-30;117,1;33,2;25,3;20,5;82;
2012-05-31;126,4;31,2;23;17,2;78,8;
2012-06-30;52,8;31,1;22,2;15,6;77,6;
2012-07-31;0;32,2;20,9;12,4;69,2;
2012-08-31;3,8;34,7;23;13,3;54,4;
2012-09-30;16,1;37;26;17,2;55,2;
2012-10-31;143,3;35,7;27,3;21,5;69,7;
2012-11-30;364,8;32;25,9;21,8;83,6;
2012-12-31;274,3;33;26,4;21,8;77,9;
2013-01-31;249,6;31,2;25,5;21,6;86,3;
2013-02-28;390;31,2;24,9;21,3;84,9;
2013-03-31;265,6;33,1;25,8;21,8;83,1;
2013-04-30;101,2;31,2;24,6;19,9;82,3;
2013-05-31;2,3;32,9;24,1;17,4;75,3;
2013-06-30;49,1;32,9;24,1;17,5;80;
2013-07-31;0;32,7;21,6;12,9;62,4;
2013-08-31;0;33,8;22,1;12,2;51,1;
2013-09-30;13,2;35,4;26,1;18,1;54,6;
2013-10-31;210,3;33,8;26,2;21,2;73,2;
2013-11-30;317,6;32,4;25,8;21,2;81,7;
2013-12-31;439,4;31,2;25,3;21,7;85,8;
2014-01-31;236,4;31,7;24,7;20,7;84,5;
2014-02-28;260,7;31,5;25;21,1;85,2;
2014-03-31;346,8;32,4;25,5;21,4;85;
2014-04-30;183;32,7;25,5;20,8;82,1;
2014-05-31;73,9;31,5;23,4;17,5;78,2;
2014-06-30;21,8;31,8;22,7;16;73,2;
2014-07-31;40,6;32,7;22,3;14,7;73,2;
2014-08-31;0;36,2;24,1;14,6;61;
2014-09-30;46,2;36,2;26,7;20,2;66,8;
2014-10-31;143,6;36,7;27,6;20,8;66,9;
2014-11-30;274;33;26,3;21,5;79,1;
2014-12-31;438,3;31,7;25,4;21,5;85,8;
2015-01-31;218,4;33,1;25,6;20,7;80,7;
2015-02-28;286,4;32,6;25,5;21,2;83,4;
2015-03-31;293,6;32,5;25,6;21;83,8;
2015-04-30;274,2;32,3;25,4;21,3;84,5;
2015-05-31;93,8;31,4;24,5;19,4;82,3;
2015-06-30;0;32,7;23,2;15,4;73,6;
2015-07-31;13;32,7;22,8;15,2;75;
2015-08-31;5,4;36,1;24,1;14,5;57,9;
2015-09-30;27,4;36,8;27;19,3;60,4;
2015-10-31;126,4;34,9;27,2;21,4;70;
2015-11-30;304,4;33,8;26,5;22;79,7;
2015-12-31;247;34,2;26,4;22,1;79,5;
2016-01-31;335,4;31,6;26,1;23;85,7;
2016-02-29;170,3;34,1;26,4;22,6;81,8;
2016-03-31;221,2;32,9;26,3;22,6;82,8;
2016-04-30;104,8;34,4;25,9;20,7;76,1;
2016-05-31;60,5;33,6;24,5;18,4;75,3;
2016-06-30;25,6;31,3;21,8;15;74,9;
2016-07-31;0;34,6;22,5;13,9;59,8;
2016-08-31;75,2;34,5;24,5;17,1;64,1;
2016-09-30;47;35,6;26,2;20;67,7;
2016-10-31;227;33,2;26;22,3;74,8;
2016-11-30;287,7;32,2;26;22,6;80,4;
2016-12-31;276,6;32;25,9;23,2;84,8;
2017-01-31;292,6;32,3;25,8;22,8;84,6;
2017-02-28;250,7;32,8;25,9;23;85,2;
2017-03-31;237;34,1;26,3;23,1;82,5;
2017-04-30;112,2;33,7;26,4;23;80,1;
2017-05-31;65,9;34,1;26,1;22,2;77,2;
2017-06-30;0;33,4;23,1;16,5;69,8;
2017-07-31;0;32,4;20,4;11,9;58,7;
2017-08-31;46;36,4;25,2;17,8;58,6;
2017-09-30;2,8;37,8;27,7;21,7;50,8;
2017-10-31;92,2;36,6;27,6;22,8;64,4;
2017-11-30;182,4;33,6;26,9;23,7;78,9;
2017-12-31;353,9;31,3;25,7;23,4;86,8;
2018-01-31;249,5;33,1;26,1;23,1;83,2;
2018-02-28;203,6;33,2;26,4;23,3;83,7;
2018-03-31;267;33,8;26,5;23,6;84,3;
2018-04-30;19;32,7;25,2;22,1;81,4;
2018-05-31;7;33,4;null;null;74,1;
2018-06-30;0;32,4;null;null;71,2;
2018-07-31;0;34,4;null;null;63;
2018-08-31;16,4;35,7;null;null;58,4;
2018-09-30;67,6;36,3;null;null;61,1;
2018-10-31;144,4;35,6;null;null;76,3;
2018-11-30;372;32,8;null;null;81,9;
2018-12-31;127,6;34,3;null;null;76,1;
2019-01-31;157,4;34,6;null;null;74,8;
2019-02-28;259,2;33,5;26,8;23,4;81,2;
2019-03-31;225,4;33,8;26,7;24;82,9;
2019-04-30;204,8;33,8;25,9;22,2;85,6;
2019-05-31;52,6;33,9;null;null;78;
2019-06-30;0;34,1;null;null;68,6;
2019-07-31;0;34;null;null;59,7;
2019-08-31;5,4;36,7;null;null;52,7;
2019-09-30;17,2;40,1;null;null;52,9;
