Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;352,3;33;26,9;22;79,2;
2010-02-28;359,2;33,5;27,5;22,3;78,2;
2010-03-31;352,1;34,5;27,9;24,3;77,8;
2010-04-30;75,9;33,2;26,6;22,2;74,8;
2010-05-31;26,7;31;23,7;18,6;73;
2010-06-30;2,6;33,5;24,7;18,5;65;
2010-07-31;13,6;31,6;22,8;16,1;64,1;
2010-08-31;0;35,1;24,7;16,9;53,4;
2010-09-30;3,6;38;29,4;22,5;54,1;
2010-10-31;137;35,8;28,7;23,7;63,8;
2010-11-30;140,7;33;27;22,9;75,8;
2010-12-31;132,8;34,1;27,6;23,7;76,3;
2011-01-31;337,2;33;26,8;23,7;81,1;
2011-02-28;370,9;32,4;26,8;23,4;81,6;
2011-03-31;365,4;32,5;26,7;23,7;82,8;
2011-04-30;163,4;34;27,5;23,4;75,5;
2011-05-31;2,4;31,7;24,8;19,8;72,4;
2011-06-30;22,2;32,6;24;18,2;73,8;
2011-07-31;,7;33,3;24,2;17,9;67,1;
2011-08-31;14,3;35,5;26;18,7;61;
2011-09-30;3;37,1;29;22,7;57,3;
2011-10-31;125,8;35,4;28,5;23,7;65,8;
2011-11-30;119,7;35,3;28,6;23,8;66;
2011-12-31;148;33,9;27,4;22;75,4;
2012-01-31;291,9;32,6;26,4;21,5;82,9;
2012-02-29;284,6;33,3;26,5;22;80,3;
2012-03-31;244,7;33,3;26,4;21,8;79,2;
2012-04-30;51,1;33,8;27,1;22,8;77,3;
2012-05-31;264,2;32;25;19,4;74,9;
2012-06-30;33,3;31;24,1;18,4;78,6;
2012-07-31;0;32;23,3;16,2;67,9;
2012-08-31;0;35,9;25,7;16,9;50,2;
2012-09-30;40,8;38;28,4;19,6;49,2;
2012-10-31;26;36,8;29,2;22,2;58,2;
2012-11-30;161,8;34,1;null;null;74,5;
2012-12-31;222,2;33,9;null;null;71,5;
2013-01-31;194,2;32,2;null;null;81;
2013-02-28;268,6;32,2;null;null;81,8;
2013-03-31;316,9;33,3;27,6;23,6;79,2;
2013-04-30;79,2;32,3;26,7;22,4;75,6;
2013-05-31;20;32,3;25,6;20,8;72,1;
2013-06-30;47,2;33,3;26,1;20,9;72,2;
2013-07-31;10,6;32,4;24;17,5;64,2;
2013-08-31;0;34,1;24,2;16,5;51,6;
2013-09-30;45,9;36;28,4;21,9;57,1;
2013-10-31;139,6;34,6;28,2;23,5;68,1;
2013-11-30;181,6;33,7;28,1;23,7;73,3;
2013-12-31;226,9;33;27,4;23,5;76,8;
2014-01-31;325,9;33,1;26,5;22,8;77,7;
2014-02-28;284,9;31,9;26,4;22,8;80,2;
2014-03-31;276,4;33;27,1;23,4;78,1;
2014-04-30;120,9;33;27,1;22,9;77,6;
2014-05-31;142,5;31,1;25,2;20,4;74,2;
2014-06-30;9,2;31;24,5;20,2;73;
2014-07-31;48,6;31;23,3;17,5;70,7;
2014-08-31;0;35,2;26,4;19,1;55,1;
2014-09-30;46,9;37;29,5;23,5;58,7;
2014-10-31;50,6;36,8;29,4;23,8;67,4;
2014-11-30;231,3;34,6;28,5;23,7;69,8;
2014-12-31;160,8;33,1;27,4;23,6;74,8;
2015-01-31;270,9;34,1;27,6;23,1;73,3;
2015-02-28;328,6;33,3;27,3;23,3;76,6;
2015-03-31;320,1;33,5;27,2;23,1;77,8;
2015-04-30;104,3;32,9;27,1;23,3;78;
2015-05-31;35,2;31,9;26,3;22;75,2;
2015-06-30;2;32,8;25;19,1;67,7;
2015-07-31;23,1;31,9;24,5;18,3;67,8;
2015-08-31;0;36,8;27,6;19,5;50,1;
2015-09-30;24,9;37,6;29,8;23,5;52,8;
2015-10-31;27,8;35,3;null;24,3;61,8;
2015-11-30;113,3;null;null;24,6;71,5;
2015-12-31;132,2;null;null;24,5;68,7;
2016-01-31;256,8;null;null;24,3;80,2;
2016-02-29;213,9;null;null;24,1;73,4;
2016-03-31;178,4;null;null;23,8;77,1;
2016-04-30;98,6;34,1;27,1;22,7;70,7;
2016-05-31;1,6;31,5;25,5;20,8;73,4;
2016-06-30;7,2;29,9;23;17,5;71,5;
2016-07-31;0;34;23,9;16,4;62,4;
2016-08-31;45;34,9;26,2;19,2;62,9;
2016-09-30;41,3;34,3;27,1;20,9;56,9;
2016-10-31;257,5;35,2;28;22,9;62,5;
2016-11-30;270,6;33,4;27,1;23,2;76,5;
2016-12-31;255;33,5;27,3;24;77,8;
2017-01-31;209;33,5;27,2;23,8;75,6;
2017-02-28;267,3;32,6;27,1;23,5;77,6;
2017-03-31;227;33,4;27,4;23,7;76,5;
2017-04-30;130,5;33,4;27,1;23;76;
2017-05-31;56,1;33,3;27,1;22,7;74,4;
2017-06-30;0;32,1;24,1;18,2;68,7;
2017-07-31;,2;33,2;23,3;15,4;54,4;
2017-08-31;30,5;36,1;27,3;19,9;53,9;
2017-09-30;36,8;37,8;29,1;21,9;48,4;
2017-10-31;124,4;35,6;28,4;23;64,2;
2017-11-30;232,4;34,8;28,7;24,2;72,4;
2017-12-31;309,1;33,2;27,6;24,3;75,4;
2018-01-31;384,1;33,6;27,4;23,9;76,9;
