Nome: SAO VICENTE
Codigo Estacao: 83363
Latitude: -15.82305554
Longitude: -55.41888888
Altitude: 786.99
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;214;28,2;23,5;20,3;85,9;
2010-02-28;332,9;29,1;24,1;20,6;84,8;
2010-03-31;283,9;29,2;24,2;20,6;84,1;
2010-04-30;104,9;28,5;23,3;20,4;77,7;
2010-05-31;68,6;26,9;21,1;17,2;77,7;
2010-06-30;3,1;29,2;22,4;17,7;64,5;
2010-07-31;2,2;27,2;20,4;15,3;63,6;
2010-08-31;0;30,3;23,1;17,8;51,5;
2010-09-30;0;33;26,5;21,7;51,1;
2010-10-31;127,3;30,5;24,8;20,6;71;
2010-11-30;274,1;28,3;23,2;19,7;81,9;
2010-12-31;211,3;28,8;23,5;19,9;82,5;
2011-01-31;473,9;28,1;23,1;19,7;86,4;
2011-02-28;322,9;27,7;23;19,8;87,7;
2011-03-31;268,3;27,3;22,8;20,1;90,2;
2011-04-30;106,4;29,3;23,9;20;79,4;
2011-05-31;9,4;26,8;21,3;17,1;76;
2011-06-30;51,6;27,9;21,3;16;69,2;
2011-07-31;5,7;28,9;21,9;16,4;62,3;
2011-08-31;27,1;30,6;23,4;17,4;54,1;
2011-09-30;27,9;32,1;25,2;19,3;55,5;
2011-10-31;86,6;29,9;24;19,4;73,6;
2011-11-30;163,6;29,8;24,2;19,4;73,5;
2011-12-31;440,3;28,1;23,2;19,4;84,6;
2012-01-31;424,5;27,3;22,8;19;84,9;
2012-02-29;281,9;28,5;22,9;18,9;82;
2012-03-31;226,2;28,6;23,2;19,3;84;
2012-04-30;216,8;28,8;23,5;20;88,1;
2012-05-31;177,9;27,7;22;18,2;81,5;
2012-06-30;101;27,1;21,4;18;80,8;
2012-07-31;2,4;27,6;21,1;16,5;70,3;
2012-08-31;0;29,9;22,7;17,8;54,8;
2012-09-30;84;30,7;25,2;20,8;59,5;
2012-10-31;162,9;29,4;24,9;21;76,1;
2012-11-30;265,1;27,1;23,6;21,1;86,7;
2012-12-31;224,4;29,4;24,1;20,9;82,5;
2013-01-31;355,1;28,1;23,5;20,6;90,6;
2013-02-28;239,2;28,2;23,4;21;86,9;
2013-03-31;205,6;28,9;24;21,6;88,3;
2013-04-30;173,5;27,9;23;20,7;87,8;
2013-05-31;25;28,4;22,7;19,6;84,6;
2013-06-30;82,5;28,7;22,9;18,9;83,5;
2013-07-31;8,9;28;21,5;16,5;75,2;
2013-08-31;0;29,3;21,9;15,9;68,1;
2013-09-30;43,6;30,8;24,3;19;72,9;
2013-10-31;167,6;29,5;23,8;19,5;85,9;
2013-11-30;266,6;29,3;23,5;19,8;88,3;
2013-12-31;322;27,5;23,2;20,1;92;
2014-01-31;394,2;28,4;22,7;18,6;92,6;
2014-02-28;475,2;28,5;22,7;18,3;93;
2014-03-31;348,9;29,4;22,9;18,2;92,8;
2014-04-30;208,3;28,9;23,2;18,8;91,2;
2014-05-31;101,8;28,8;21,9;16,6;87,7;
2014-06-30;18;28,8;21,9;17;83,6;
2014-07-31;67,5;28,7;21,4;16,1;79,2;
2014-08-31;25,2;31,8;24;18;61,9;
2014-09-30;83,4;32,5;25,3;20;68,4;
2014-10-31;232;32,5;25,3;19,3;70,7;
2014-11-30;338;31,2;23,9;19;79,9;
2014-12-31;191,8;29,3;23,5;18,8;84,9;
2015-01-31;152,6;31,8;24,1;19,1;79;
2015-02-28;213,5;31,1;23,2;19,3;85,8;
2015-03-31;311,9;30,3;23,7;19,3;87,1;
2015-04-30;218,1;29,8;23,5;19,5;91;
2015-05-31;91,5;28,7;22,6;18,4;84,7;
2015-06-30;29,5;30,1;22,9;17,3;71;
2015-07-31;41,5;30,1;22,4;16,7;70,8;
2015-08-31;10,5;33,6;24,9;18,6;57,9;
2015-09-30;69;34,9;25,2;18,7;64,8;
2015-10-31;66;32,9;24,3;19,1;72,4;
2015-11-30;190,9;33,4;24,2;18,4;78,6;
2015-12-31;0;33;24,8;19,1;72,4;
2016-01-31;211;29,6;23;18,9;88;
2016-02-29;138,5;30,1;24;19,5;76,3;
2016-03-31;259;29,3;23,7;18,8;83;
2016-04-30;85;30,6;24;18,9;73,3;
2016-05-31;13,9;28,7;22,9;18,1;82,6;
2016-06-30;null;28,6;21,2;15,9;83,2;
2016-07-31;0;32,6;22,6;15,6;74,2;
2016-08-31;42,8;32,1;22,5;17,2;76,6;
2016-09-30;null;30,2;23,1;17,6;78;
2016-10-31;null;32,6;24,9;19,1;79,5;
2016-11-30;null;null;null;18,6;87,4;
2016-12-31;null;null;null;19;86,6;
2017-01-31;null;29,1;null;19,9;85,3;
2017-02-28;null;29,7;23,7;18,6;85,7;
2017-03-31;null;30,3;null;null;88,8;
2017-04-30;null;30,3;null;18,1;89,1;
2017-05-31;null;null;null;null;null;
2017-06-30;null;30,1;22,3;17,4;77,9;
2017-07-31;0;30;21,9;17,2;71,1;
2017-08-31;10,2;33,4;25,2;20,8;73,8;
2017-09-30;null;35,1;26,8;22,6;71,5;
2017-10-31;99,8;32,3;25,5;23,1;83;
2017-11-30;208,1;30,9;25,2;23,1;85,8;
2017-12-31;null;29,9;24,6;23,2;89,1;
2018-01-31;361,9;30;24,4;22,4;88,4;
2018-02-28;237,8;29,7;null;null;89,7;
2018-03-31;310,7;30,3;25,7;24,3;90,4;
2018-04-30;187;28,4;null;null;87,9;
2018-05-31;null;27,9;null;null;81;
2018-06-30;0;26,5;null;null;82,9;
2018-07-31;0;28,9;null;null;74,5;
2018-08-31;null;28,6;null;null;73,9;
2018-09-30;null;30,7;null;null;68,5;
2018-10-31;null;null;null;null;null;
2018-11-30;null;null;null;null;null;
2018-12-31;null;null;null;null;null;
2019-01-31;null;null;null;null;null;
2019-02-28;null;null;null;null;null;
2019-03-31;null;null;null;null;null;
2019-04-30;null;26,4;23,5;20,6;92,4;
2019-05-31;null;28,2;21,7;17,3;90,5;
2019-06-30;0;null;null;null;88,4;
2019-07-31;null;null;null;null;null;
2019-08-31;null;null;null;null;77,4;
2019-09-30;null;null;null;null;71,3;
2019-10-31;null;null;null;null;83,9;
2019-11-30;243;null;null;null;89,8;
2019-12-31;227,2;null;null;null;90,1;
2020-01-31;389,2;null;null;null;88,7;
2020-02-29;367;null;null;null;90,2;
2020-03-31;null;null;null;null;77,4;
2020-04-30;null;null;null;null;78;
2020-05-31;48;null;null;null;77,4;
2020-06-30;0;null;null;null;73,1;
2020-07-31;0;null;null;null;70,1;
2020-08-31;0;null;null;null;67,3;
2020-09-30;0;null;null;null;61,8;
2020-10-31;162;null;null;null;68,5;
2020-11-30;26;32,2;null;null;66,6;
2020-12-31;349;30,6;null;null;80,6;
2021-01-31;null;29,4;null;null;84,6;
2021-02-28;null;29,3;null;null;84,4;
2021-03-31;null;29,1;null;null;87,4;
2021-04-30;null;29,1;null;null;86,5;
2021-05-31;null;28,2;null;null;82,3;
2021-06-30;0;27,8;null;null;80,4;
2021-07-31;null;30,2;null;null;67,6;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;88,9;31,6;25,1;21,3;78,1;
2021-11-30;30,9;28,2;23,4;20,7;90,3;
2021-12-31;37,4;29,4;23,9;20,9;89,2;
2022-01-31;51,1;28,8;23,3;20;90,3;
2022-02-28;129,8;28;22,8;19,7;92,5;
