Nome: PADRE RICARDO REMETTER
Codigo Estacao: 83364
Latitude: -15.7761111
Longitude: -56.07194443
Altitude: 207
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;290,5;32,6;27;23,2;82,3;
2010-02-28;170,4;33,3;27,7;24;80,5;
2010-03-31;154,8;34,2;27,6;23,5;80,8;
2010-04-30;146,8;32,7;25,8;21,2;80,6;
2010-05-31;67,6;30,4;22,7;17,5;80,2;
2010-06-30;0;32,8;23,1;16,5;71,9;
2010-07-31;8,9;31;21,2;14,4;68,8;
2010-08-31;0;34,2;23,2;14,5;54,5;
2010-09-30;9,5;37,7;28,2;20,2;50,1;
2010-10-31;73,2;35,3;27,6;21,7;64,5;
2010-11-30;127,3;32,9;26,3;20,6;76,6;
2010-12-31;31,1;34,5;27,4;21,8;72,8;
2011-01-31;315,5;32,6;26,2;21,5;83,7;
2011-02-28;344,1;31,7;26,2;22,1;85,4;
2011-03-31;359,3;31,9;25,9;22,2;87,2;
2011-04-30;64;33,3;26,6;22;81,2;
2011-05-31;0;30,8;23,2;18;79,5;
2011-06-30;13,1;32;22,9;16,8;74,4;
2011-07-31;1,1;32,6;23;16;68,9;
2011-08-31;10,9;34,4;24,4;16,7;58,3;
2011-09-30;5,6;37,1;28;21;52,7;
2011-10-31;41;35,4;28,2;22,4;64;
2011-11-30;46,9;35,4;28,6;23;64,4;
2011-12-31;231,5;33,7;27,4;23,2;77,3;
2012-01-31;189,9;31,8;26,6;23;81,3;
2012-02-29;136;33;26,5;22,5;81,3;
2012-03-31;168,6;33,3;26,3;21,9;82,4;
2012-04-30;29,4;33,1;26,5;22,3;82,6;
2012-05-31;108,8;31,7;24,2;18,9;80,9;
2012-06-30;51,6;30,5;23;17,6;82,6;
2012-07-31;0;31,8;21,8;15;76,6;
2012-08-31;0;34,8;24,3;16,1;59,7;
2012-09-30;20,3;37,5;27,9;20,1;53,8;
2012-10-31;25,7;37,1;29,5;24,2;63,2;
2012-11-30;323,9;33,3;27;23,6;80,6;
2012-12-31;140;33,7;27,6;23,9;78,9;
2013-01-31;256,9;32,3;27,2;24;84,3;
2013-02-28;214,3;31,8;26,6;23,3;83,6;
2013-03-31;432,7;32,9;27;23,6;83,8;
2013-04-30;91,4;31,8;25,7;22,2;83,2;
2013-05-31;18,9;31,6;24,6;20,1;80,6;
2013-06-30;35,8;32,1;24,7;20,2;82,1;
2013-07-31;12,7;31,8;22,2;16,2;74;
2013-08-31;0;33,4;22,5;15,2;60,2;
2013-09-30;51,6;35,3;26,9;20,5;61,4;
2013-10-31;117,1;34,1;27,1;22,8;74,2;
2013-11-30;71,4;33,9;27,5;23,5;75,5;
2013-12-31;245,5;32,5;26,9;23,6;83,9;
2014-01-31;195,4;32,7;26,3;22,8;84,4;
2014-02-28;230,2;31,8;26,1;23,1;85,3;
2014-03-31;160,6;32,8;26,8;23,7;84,3;
2014-04-30;102,8;32,2;26,2;23;85,3;
2014-05-31;211,5;30,7;24,2;20,2;85,5;
2014-06-30;15,7;30,8;23,7;19,3;83,8;
2014-07-31;49;30;22,1;17,2;81,9;
2014-08-31;0;34,9;25;18,2;67,4;
2014-09-30;62,8;36,3;28,2;22,7;67,3;
2014-10-31;62,2;36,3;28,7;23,5;67,9;
2014-11-30;153;33,9;27,6;23,2;76,6;
2014-12-31;210,9;32,8;27,1;23,7;80,6;
2015-01-31;66,8;34,2;27,4;23;76,5;
2015-02-28;290,6;32,9;26,8;23,4;84,5;
2015-03-31;185;33,1;26,7;23,2;83,8;
2015-04-30;77,9;32,6;26,6;23,5;85,6;
2015-05-31;29,7;31,4;25,4;21,8;84,1;
2015-06-30;,9;32,4;23,7;17,8;78,2;
2015-07-31;18,5;31,5;23,2;17,5;76,5;
2015-08-31;,1;36,9;26,3;17,8;56,4;
2015-09-30;40,9;36,9;28,6;22,7;60,3;
