Nome: ARAGARCAS
Codigo Estacao: 83368
Latitude: -15.9025
Longitude: -52.24527777
Altitude: 327.03
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;265,4;32;26,2;22,5;80;
2010-02-28;242,3;33,6;27,1;22,4;76,7;
2010-03-31;302,4;33,2;27,3;23;76,8;
2010-04-30;26,7;33,8;26,5;20,7;69;
2010-05-31;0;33,6;24,8;17,9;64,3;
2010-06-30;6,8;33,6;23,9;16,4;59,3;
2010-07-31;0;34,1;24,2;16,1;52,5;
2010-08-31;0;35,8;24,7;15;45,8;
2010-09-30;14,4;38,4;28,9;20,2;39,4;
2010-10-31;46,5;37;29,5;23,4;56,8;
2010-11-30;168,3;33,1;26,8;22,4;73;
2010-12-31;182;32,3;26,3;22,4;79,5;
2011-01-31;368,7;32,1;26;21,7;78,8;
2011-02-28;199,4;32,6;26,3;22,1;76,9;
2011-03-31;531,3;31;25,4;22,1;84,7;
2011-04-30;53,4;32,9;26,3;21,4;74,6;
2011-05-31;4,4;33;25;18,4;67,1;
2011-06-30;28,6;32,3;23,1;16,2;65,6;
2011-07-31;3,6;33,3;23,6;15,7;53,7;
2011-08-31;0;36,4;26,5;17,9;41,8;
2011-09-30;4,2;37,7;29;21,2;36,7;
2011-10-31;139,6;34;27,2;22,2;67,5;
2011-11-30;120,2;31,9;26,5;22,1;71,2;
2011-12-31;292,8;31,8;25,9;22,3;79,3;
2012-01-31;341,9;30,5;25,1;21,3;81,4;
2012-02-29;67,4;32,4;26,1;21,4;71,9;
2012-03-31;130,2;33,6;26,6;21,5;72,1;
2012-04-30;180,6;33,5;26,7;21,9;73,1;
2012-05-31;11;31,7;24,4;19,1;70,8;
2012-06-30;11,2;33,5;24,5;18;64,8;
2012-07-31;0;33,7;23,6;15,5;50,2;
2012-08-31;0;34,9;26;17,7;39,3;
2012-09-30;34,8;37,4;28,6;20,7;41,4;
2012-10-31;88,8;36,9;29,4;23,3;53,8;
2012-11-30;258,8;31,6;26,3;22,8;78,6;
2012-12-31;207,6;34,1;27,4;22,1;70,3;
2013-01-31;511,2;30,9;25,9;22,4;81,5;
2013-02-28;128,2;32,4;26,6;21,9;74,4;
2013-03-31;205,3;32,7;26,7;22,5;77;
2013-04-30;82,4;32;25,9;21,3;72,7;
2013-05-31;17,8;33,3;25;18,3;66,7;
2013-06-30;37,3;32,6;25,1;19,3;68,6;
2013-07-31;0;33,2;23,8;16;55,3;
2013-08-31;0;35;25,3;16,2;42,9;
2013-09-30;20,5;36,5;28,3;20,9;46,1;
2013-10-31;148,8;35,3;28,1;22,5;62,4;
2013-11-30;160,8;33,1;26,8;22,1;73;
2013-12-31;300,6;33;26,4;21,9;78,5;
2014-01-31;304,4;32,8;26,3;21,1;73,5;
2014-02-28;247,8;31,9;25,9;21,1;77,2;
2014-03-31;144,4;32,3;26,1;21,8;78,9;
2014-04-30;92,4;33,4;26,6;21,6;75,4;
2014-05-31;0;33,5;25,7;19,9;64,4;
2014-06-30;7,6;33,2;24,2;15,1;62,9;
2014-07-31;27,2;32,8;23,6;14;56,8;
2014-08-31;0;36;25,6;14,4;45,3;
2014-09-30;30,4;36,8;28,4;19,1;51,7;
2014-10-31;124;36,8;29,3;22,4;53,5;
2014-11-30;70,5;33,5;27,2;22,6;72,7;
2014-12-31;246,9;31,2;26;22,3;80,4;
2015-01-31;144,2;34,4;27,5;22;71,1;
2015-02-28;344,3;32,5;26,3;21,8;76,8;
2015-03-31;282,2;31,5;25,4;21,1;80,9;
2015-04-30;94,6;33,6;27;22,4;75,7;
2015-05-31;139,4;31,3;25,1;20,2;75;
2015-06-30;0;32,1;24,8;18,5;66,8;
2015-07-31;19,8;33,3;24,3;16,9;61,6;
2015-08-31;,8;35,9;26,2;16,9;47;
2015-09-30;36,6;37,7;28,9;20,9;51,3;
2015-10-31;133,5;37,9;29,9;23,2;57,7;
2015-11-30;172,1;35,6;28,8;23;66,9;
2015-12-31;132,8;34,8;28,1;23,3;69,1;
2016-01-31;378;31,5;26,3;22,8;83,2;
2016-02-29;169,8;34;27,5;22,5;72,9;
2016-03-31;157;33,2;27,3;23;76,3;
2016-04-30;14,2;35,6;28,2;21,6;65,7;
2016-05-31;,8;35;27;20,2;65,2;
2016-06-30;0;33,9;24,8;16,8;62,2;
2016-07-31;0;34,8;24,7;15,4;53,8;
2016-08-31;27,2;35,9;26,5;18,2;55,9;
2016-09-30;27,6;37,4;29,2;21,3;52;
2016-10-31;74,6;35,6;28,4;22,4;65,2;
2016-11-30;274,2;32,8;26,9;22,4;77,4;
2016-12-31;163,4;33,1;26,9;22,2;78,7;
2017-01-31;146,2;32,8;26,7;22,2;80,7;
2017-02-28;217,8;32,1;26,1;21,9;81,3;
2017-03-31;173,4;33,6;27,1;22,3;75,4;
2017-04-30;48,2;34,1;27,5;22,3;71,6;
2017-05-31;78,4;33,7;26,5;20,7;70,2;
2017-06-30;0;33,3;25;18,3;62,5;
2017-07-31;0;31,9;23;14,6;51,5;
2017-08-31;0;36,7;27,3;18,4;43;
2017-09-30;63,8;37,4;28,6;19,5;41,1;
2017-10-31;72,2;37,2;29,5;22,7;52,8;
2017-11-30;313,1;32,9;27,1;22,5;74,3;
2017-12-31;258,6;31,2;26;22,2;82,2;
2018-01-31;255,4;31,6;26,1;21,8;81,2;
2018-02-28;154,6;32,6;26,6;22,1;79,8;
2018-03-31;166,1;33,4;27,2;21,6;75,9;
2018-04-30;86,7;32,2;25,9;19,8;74,6;
2018-05-31;32,4;33,2;24,8;16,9;65,5;
2018-06-30;0;33,1;24;15,3;63,3;
2018-07-31;0;33,9;23,5;13,5;53,9;
2018-08-31;25,8;36,1;26,5;17,2;52,3;
2018-09-30;53,5;36,3;27,1;18,2;55,3;
2018-10-31;261,6;33,8;27,3;21,3;71,5;
2018-11-30;540;32,1;26;21;73,7;
2018-12-31;237,1;33,7;27;20,7;72,4;
2019-01-31;194,3;34,4;27,3;20,8;70,3;
2019-02-28;204,6;32,8;26,3;20,8;77,9;
2019-03-31;179,8;32,9;26,6;20,7;76,9;
2019-04-30;145,4;33,4;26,7;20,5;75,3;
2019-05-31;16,6;33,5;26;18,8;69,8;
