Nome: RONCADOR
Codigo Estacao: 83373
Latitude: -15.94638888
Longitude: -47.88416666
Altitude: 1104.94
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2017-09-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;252,9;28,1;21,5;16,5;77,7;
2010-02-28;90,9;29,1;21,9;16,6;75,7;
2010-03-31;201,7;28,6;21,7;17,1;80,9;
2010-04-30;81;27,7;20,3;14,7;72,9;
2010-05-31;6,4;28,5;19,7;12,7;69;
2010-06-30;1,6;26,8;17,7;10;63,2;
2010-07-31;0;26,4;18,1;11,4;59;
2010-08-31;0;28,2;18,9;10,7;46,3;
2010-09-30;0;31,1;21,6;13,7;44;
2010-10-31;224,8;29,7;22,3;17,1;71,5;
2010-11-30;297;26,9;20,9;16,4;82,5;
2010-12-31;320,6;27,7;21,5;17,1;82,7;
2011-01-31;79,3;27,4;21,1;16,4;79,4;
2011-02-28;null;28,5;20,9;15,6;78,2;
2011-03-31;249,7;27,7;21,3;17,1;83,8;
2011-04-30;59,8;27,6;20,4;14,8;77,7;
2011-05-31;24,6;26,4;18,7;11,7;71;
2011-06-30;0;26,2;17,6;11,1;68,5;
2011-07-31;null;26,9;17,8;10,2;57,6;
2011-08-31;null;30;20;11,5;42,6;
2011-09-30;7;30,4;21,7;14,7;39,2;
2011-10-31;245,8;26,7;20,8;16,6;79;
2011-11-30;208,3;26,6;21;16,8;77,1;
2011-12-31;366,8;26,5;21,1;17,6;82,6;
2012-01-31;null;25,6;20,5;16,8;83,6;
2012-02-29;null;27,6;20,9;16,3;76,3;
2012-03-31;194;27,9;21,5;16,7;77,4;
2012-04-30;62,9;28,1;21,5;16,6;75;
2012-05-31;null;25;18,7;13,9;76,9;
2012-06-30;null;26;19;13,1;69,6;
2012-07-31;null;25,8;18,6;12,3;59,9;
2012-08-31;null;26,2;18,5;12,6;50,1;
2012-09-30;54,8;30,1;22,3;15,7;47,5;
2012-10-31;63,1;30,2;22,5;16;56,8;
2012-11-30;330,9;26,8;21,4;17,9;82,2;
2012-12-31;null;28,7;22;17;73,9;
2013-01-31;null;26,1;21,1;17,5;82,1;
2013-02-28;163,8;28,6;22;16,5;73,2;
2013-03-31;176,9;28,2;22;17,4;79,9;
2013-04-30;116,4;26,4;20,1;15,1;80;
2013-05-31;29,5;26,9;19,4;12,8;70,6;
2013-06-30;11,8;25,8;19,4;14,6;74;
2013-07-31;0;26,4;18,3;12,3;63,6;
2013-08-31;null;28,1;19,6;12,6;49;
2013-09-30;null;29,6;21,9;16,1;56,6;
2013-10-31;125,9;28,1;21,4;16,4;70,3;
2013-11-30;110,8;27,5;21,5;17;77,9;
2013-12-31;180,6;27,2;21,6;17,9;83,3;
2014-01-31;null;27,9;21,2;16,4;75,8;
2014-02-28;null;27,3;21,2;17;78,5;
2014-03-31;441,1;26,8;21;17;84,5;
2014-04-30;169,8;27,2;20,8;16,4;80,2;
2014-05-31;11,8;26,5;19,5;13,6;71,5;
2014-06-30;null;25,7;18,4;13;70,7;
2014-07-31;null;25,4;17,8;12,2;65,3;
2014-08-31;null;28,7;20,6;15;49,8;
2014-09-30;8,8;30,9;22,7;16,6;50,9;
2014-10-31;156,2;30,3;22,3;16,3;58,7;
2014-11-30;314,4;27,7;21,5;16,7;78,7;
2014-12-31;null;25,8;20,5;16;83;
2015-01-31;null;29,8;22,1;15,4;67,5;
2015-02-28;null;27,2;21,3;16,9;77;
2015-03-31;334,1;26,3;20,5;16;85,7;
2015-04-30;100,2;27,3;21;15,8;82,9;
2015-05-31;28,6;25;18,7;12,8;81,2;
2015-06-30;0;25,3;17,8;11,2;70,8;
2015-07-31;null;26,8;18,5;11,2;63,3;
2015-08-31;null;null;null;11,6;null;
2015-09-30;null;31,3;22,7;14,7;51,5;
2015-10-31;75,4;32,5;24;15,9;53,5;
2015-11-30;236,2;30,6;22,7;16,6;71,3;
2015-12-31;159,5;29,7;22,5;16,5;73,2;
2016-01-31;null;26,9;21,6;17,5;86,4;
2016-02-29;180,4;29,8;22,3;15,7;74,2;
2016-03-31;180,7;28,3;21,9;16,4;78,6;
2016-04-30;0;29,1;21,5;14,1;66,9;
2016-05-31;null;28,3;20,4;13,3;68,2;
2016-06-30;null;26,8;18,2;10,6;64,8;
2016-07-31;null;27,8;18,9;10,6;56;
2016-08-31;null;29,1;20,5;12,6;54,1;
2016-09-30;null;31,4;22,7;15,3;51,3;
2016-10-31;69,3;30,1;22,5;15,7;63,8;
2016-11-30;280;27,2;21,4;16,7;80,9;
2016-12-31;189,2;28,1;21,5;15,7;77,3;
2017-01-31;158,5;28,2;21,8;16,5;78,3;
2017-02-28;237,4;27,1;20,9;15,9;82,6;
2017-03-31;null;28,5;21,6;15,6;77,1;
2017-04-30;50,6;27,8;21,4;16;75,7;
2017-05-31;20,6;null;null;13;null;
2017-06-30;null;26,3;18,6;10,9;66,4;
2017-07-31;null;null;null;8,7;null;
2017-08-31;null;null;null;10,4;null;
2017-09-30;null;null;null;13,8;null;

