Nome: GOIAS
Codigo Estacao: 83374
Latitude: -15.93972221
Longitude: -50.14194444
Altitude: 508.68
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-10-02
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;120,2;33,9;26,3;21,8;null;
2010-02-28;160,4;34,9;26,7;21,8;71,8;
2010-03-31;197,1;33,7;26,2;22;77,5;
2010-04-30;80,9;34,7;26;20,7;64,5;
2010-05-31;0;34,8;25,1;19,2;58;
2010-06-30;3,5;34,3;24,2;17,7;51,9;
2010-07-31;2,6;34,7;25,3;19,8;null;
2010-08-31;0;36,3;26,1;19,2;37,7;
2010-09-30;1,1;39;29,8;24,2;35;
2010-10-31;151,5;36,2;27,6;22,3;64,9;
2010-11-30;254,5;32,9;25,6;21;76,5;
2010-12-31;244,4;32,7;25,9;21,8;null;
2011-01-31;512,1;31,6;25;21;null;
2011-02-28;105,7;32,9;25,5;21,4;80,1;
2011-03-31;383,5;31,9;24,8;21;83,8;
2011-04-30;67,9;34,2;25,9;20,8;69,6;
2011-05-31;0;33,9;24,9;19,2;60,7;
2011-06-30;36;33,2;23,5;17,3;60,6;
2011-07-31;0;34,4;24,3;17,7;52,4;
2011-08-31;0;37,1;26,9;19,8;42,2;
2011-09-30;6,9;38,4;28,4;22;38,9;
2011-10-31;219,3;33,8;26,1;21,4;70,3;
2011-11-30;288,2;32,6;25,3;20,7;75,5;
2011-12-31;322;31,7;24,8;21,1;83,3;
2012-01-31;549,7;31,4;24,4;20,6;null;
2012-02-29;248,4;33,3;25,1;20,5;75,3;
2012-03-31;143,7;34,5;26;21,2;72,7;
2012-04-30;73,9;35,3;26,7;21,6;69,8;
2012-05-31;10,7;33,4;24,8;19,7;63,3;
2012-06-30;42,5;34,1;25,1;19,6;61,9;
2012-07-31;,2;34,3;24,5;18,3;49;
2012-08-31;0;34,8;26;20,5;37,9;
2012-09-30;12,4;37,8;28,4;22,4;32,2;
2012-10-31;21,6;38,1;29,2;23,5;49,4;
2012-11-30;285;32;25,5;21,8;80,5;
2012-12-31;140,8;34;26,8;22;73,2;
2013-01-31;376,3;31,1;25,1;21,7;null;
2013-02-28;117,9;34,3;26,2;21,4;75,3;
2013-03-31;131;34,1;26,2;21,9;77,2;
2013-04-30;99,4;33,4;25,6;21,2;71,7;
2013-05-31;29,1;34,4;25,2;19,4;62;
2013-06-30;8,3;33,6;24,7;19,4;64,4;
2013-07-31;0;34,1;24,3;18;51,2;
2013-08-31;0;35,8;26,1;19,4;42,2;
2013-09-30;26,9;36,7;27,9;22,4;43,3;
2013-10-31;144,9;35,6;27,1;22,3;66,1;
2013-11-30;232;33,1;25,5;21;77,7;
2013-12-31;315,5;32,3;25,4;21,4;81,8;
2014-01-31;223,6;34;25,7;20,6;null;
2014-02-28;232,6;33,2;25,5;20,8;75,6;
2014-03-31;257,6;33;25,5;21;79,6;
2014-04-30;74,3;33,6;25,7;21,3;78,7;
2014-05-31;,4;34;24,9;19,2;null;
2014-06-30;1,1;33,5;24,3;18,7;61,9;
2014-07-31;,6;33,3;24,5;18,6;50,9;
2014-08-31;0;36;26,6;19,8;40,8;
2014-09-30;38,8;37,9;28,8;22,9;50;
2014-10-31;66,4;37,6;28,9;22,9;47,3;
2014-11-30;256,3;33,5;26,2;21,6;74,3;
2014-12-31;227,5;30,1;25;21,4;78,5;
2015-01-31;153,1;33,9;26,4;21,4;null;
2015-02-28;442,9;31,6;25,3;21,3;77,7;
2015-03-31;252,4;30,9;24,9;21;81,3;
2015-04-30;74,4;32,4;25,6;21,6;79,8;
2015-05-31;70,7;32,1;24,6;19,9;69,5;
2015-06-30;0;33,3;24,6;19,4;60;
2015-07-31;2;33,9;24,5;18,3;54,8;
2015-08-31;4,4;36,4;26,5;19,9;44,8;
2015-09-30;25,8;39,5;29,3;22,2;48,2;
2015-10-31;65;null;null;23,5;50,3;
2015-11-30;81,8;null;null;23;66,9;
2015-12-31;148,5;null;null;22,3;72,1;
2016-01-31;461,6;null;null;22,1;null;
2016-02-29;126,3;null;null;22,3;76,1;
2016-03-31;180,3;null;null;22,3;74,3;
2016-04-30;0;null;null;21,6;58,1;
2016-05-31;1,2;null;null;21,5;56;
2016-06-30;0;null;null;18,8;53,1;
2016-07-31;0;null;null;18,9;46,3;
2016-08-31;47,4;null;null;20,6;42,5;
2016-09-30;64,5;null;null;22,6;43,7;
2016-10-31;117,7;34,4;27,1;22,1;62,3;
2016-11-30;288,9;31,9;25,8;22,1;75,4;
2016-12-31;129,6;32,6;26,2;22,1;71,5;
2017-01-31;190,5;32,3;26,1;21,8;null;
2017-02-28;236,2;31,5;25,2;21,3;78;
2017-03-31;290,1;32,4;25,8;21,7;77,6;
2017-04-30;105,4;32,6;26;21,9;73;
2017-05-31;31,3;32,9;25,5;20,8;62,8;
2017-06-30;0;32,1;24,6;19,5;59;
2017-07-31;0;30,6;22,8;17,7;47,5;
2017-08-31;0;35,7;27;20,7;41,4;
2017-09-30;5,8;36,5;28,7;23,3;33,6;
2017-10-31;null;null;null;null;null;

