Nome: PIRENOPOLIS
Codigo Estacao: 83376
Latitude: -15.85472222
Longitude: -48.96611111
Altitude: 766.92
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;236,5;31,1;24;19,3;77,6;
2010-02-28;223,8;31,8;24,5;19,4;76;
2010-03-31;210,8;31,3;24,2;19,8;81,9;
2010-04-30;216,9;31,4;23,3;18,2;71,9;
2010-05-31;,4;31,8;22,1;15,7;66,3;
2010-06-30;15,5;31,3;20,8;14,1;59,5;
2010-07-31;0;31,1;22,4;16,3;48,5;
2010-08-31;0;32,8;22,8;15,4;39,2;
2010-09-30;9,4;35;26,3;19;34,4;
2010-10-31;188,7;32,8;25,4;20,1;68,8;
2010-11-30;320,5;29,8;23,5;19,5;80,3;
2010-12-31;420,5;29,7;23,7;19,8;82,3;
2011-01-31;236;29,2;23,4;19,3;81,5;
2011-02-28;288,2;30,2;23,5;19,6;81;
2011-03-31;336,5;29,8;23,4;19,8;84,9;
2011-04-30;34,4;31,4;23,7;18,6;71,6;
2011-05-31;21,7;30,7;22,1;16,3;64,5;
2011-06-30;8,4;30;20,5;14,4;64,4;
2011-07-31;0;31,3;21;14;53,4;
2011-08-31;0;34,2;23,9;16,3;39,2;
2011-09-30;6,1;34,9;25,2;17,5;35,2;
2011-10-31;212,2;30,7;23,7;19,2;73,1;
2011-11-30;233,5;29,6;23,2;18,8;77;
2011-12-31;264;29,1;23,3;19,7;82,8;
2012-01-31;326,8;28,7;22,7;19,2;83,4;
2012-02-29;179,5;30,4;23,2;18,6;78,8;
2012-03-31;203,8;31,4;23,8;18,7;75,6;
2012-04-30;163,2;31,7;24,1;19,1;75,7;
2012-05-31;23,3;30;22,2;17,2;69,4;
2012-06-30;22,1;30,6;21,9;16,3;67,6;
2012-07-31;8,6;31;21,2;14,3;55,4;
2012-08-31;0;31,1;22,3;15,4;43,5;
2012-09-30;9;34,4;25,4;18,3;43,4;
2012-10-31;84,4;34,5;26;19,7;52,1;
2012-11-30;289,1;29,5;23,7;20;81,6;
2012-12-31;202,5;31,3;24,3;19,5;76,6;
2013-01-31;501;28,9;23,3;19,9;83,9;
2013-02-28;231;31,4;23,9;19,2;78,1;
2013-03-31;312,1;30,6;24,1;19,9;81,2;
2013-04-30;75,5;30,4;23,2;18,8;75,8;
2013-05-31;51,2;30,9;22,2;16,2;67,4;
2013-06-30;23,9;30,1;21,8;16,3;70,8;
2013-07-31;0;31;21,2;14,6;57,9;
2013-08-31;4,4;32,5;22,8;15,9;46,2;
2013-09-30;14,5;33,8;25,2;18,6;49,5;
2013-10-31;144,2;32;24,6;19,4;66,8;
2013-11-30;264,6;30,7;23,9;19,2;75,2;
2013-12-31;343,9;30;23,9;20;81,7;
2014-01-31;270,1;31;23,6;18,4;75,1;
2014-02-28;252,3;30,7;23,7;19,2;74,5;
2014-03-31;277,1;30,3;23,6;19,2;79,9;
2014-04-30;298,5;30,4;23,5;19,2;80;
2014-05-31;4,3;30,9;22,2;16,2;67,1;
2014-06-30;,1;30,1;21;14,8;64,7;
2014-07-31;2,6;30,1;21,4;15,3;55;
2014-08-31;0;32,9;22,9;15,3;42,9;
2014-09-30;64,8;34,3;25,6;19,2;50,8;
2014-10-31;45,7;33,9;25,6;19;51,9;
2014-11-30;179,2;30,9;24,1;19,8;76,6;
2014-12-31;317,1;29,3;23,4;19,3;79,2;
2015-01-31;117,8;32,7;24,7;18,8;70,1;
2015-02-28;151,3;30,2;23,6;19,2;78,2;
2015-03-31;283,2;29,8;23,2;19,2;82,8;
2015-04-30;289,4;30,8;23,6;19,5;83,2;
2015-05-31;30,4;30;22,6;17,7;71,8;
2015-06-30;0;29,9;21,7;16;63,5;
2015-07-31;1,8;31;21,6;14,5;57,5;
2015-08-31;,2;33;23,3;15,6;44,3;
2015-09-30;49,1;35,4;25,9;18,2;47,2;
2015-10-31;66,1;35,9;26,8;19,5;50,8;
2015-11-30;277,2;33;25,3;20,1;72;
2015-12-31;244,4;32,6;25,2;20,1;72,6;
2016-01-31;455,2;28,8;23,7;20,8;86;
2016-02-29;141,7;32,2;24,7;19,8;74,9;
2016-03-31;176,3;31,6;24,6;20,3;76,4;
2016-04-30;6,1;33,1;24,6;18,2;63,5;
2016-05-31;5;32,8;23,5;17,5;62,7;
2016-06-30;0;31,8;21,8;14,9;57,2;
2016-07-31;0;32,4;21,8;14;49,1;
2016-08-31;16,5;33,2;23,8;16,5;48,4;
2016-09-30;36,8;35,1;25,9;19,1;48;
2016-10-31;162;32,7;25,1;19,4;64,8;
2016-11-30;341,9;30,3;24,1;20;77,4;
2016-12-31;123,5;31,2;24,5;19,6;73,9;
2017-01-31;141,1;31,4;24,3;19,2;75,4;
2017-02-28;249,1;30,5;23,7;19,5;79,3;
2017-03-31;195,1;31,3;24;19,2;80,1;
2017-04-30;303,1;31,3;24;19,2;77,8;
2017-05-31;16,6;31,2;23,2;17,9;69,8;
2017-06-30;0;30,3;21,6;15,7;61,4;
2017-07-31;0;28,9;19,8;12,8;50,6;
2017-08-31;0;34,2;23,4;15,3;41,6;
2017-09-30;7,4;34,1;25,7;18,8;35,4;
2017-10-31;79,2;35,4;26,8;19,9;45,9;
2017-11-30;270,3;30,8;24,2;20,1;75;
2017-12-31;319,9;29,5;23,7;19,6;79,9;
2018-01-31;141,9;31;24,1;19,2;74,7;
2018-02-28;189,9;30,6;23,9;19,6;77,6;
2018-03-31;165,4;31,1;24,5;20,2;78,3;
2018-04-30;123;30,1;23,3;18,9;76,1;
2018-05-31;40,9;30,4;21,8;16;65,4;
2018-06-30;0;30,5;21,4;15,5;60,6;
