Nome: BRASILIA
Codigo Estacao: 83377
Latitude: -15.78972221
Longitude: -47.92583332
Altitude: 1161.42
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;121;27,6;22,4;18,4;71,6;
2010-02-28;37,2;28,4;23,1;19;66,7;
2010-03-31;244,7;28,1;22,4;18,8;75,7;
2010-04-30;238,8;27,1;21,5;17;65,4;
2010-05-31;27,5;27,9;21,3;15,8;59,5;
2010-06-30;0;26,1;19,3;13,5;54,6;
2010-07-31;0;25,8;19,6;14,4;49,9;
2010-08-31;0;27,5;20,6;14,2;38,5;
2010-09-30;0;30,2;23,4;17,6;35,4;
2010-10-31;189,9;29,2;23;18,7;67;
2010-11-30;254,5;26,3;21,2;17,7;78,9;
2010-12-31;318;27;21,9;18,4;78,1;
2011-01-31;126,8;26,6;21,9;18,4;74,3;
2011-02-28;172,4;27,4;21,7;18;75,9;
2011-03-31;243,2;26,7;21,6;18,3;79,5;
2011-04-30;69,5;26,9;21,6;17,6;69,2;
2011-05-31;13,9;25,8;20,2;15,4;61,6;
2011-06-30;3,8;25,7;19,4;14,1;58,8;
2011-07-31;0;26,4;19,7;13,8;47,7;
2011-08-31;0;29,1;22,2;15,8;34;
2011-09-30;7;30;23,1;17;32;
2011-10-31;263,9;26,2;20,8;17,3;76,5;
2011-11-30;333,8;25,9;20,9;17,2;75,6;
2011-12-31;324,5;26,1;21;18;78;
2012-01-31;269,9;25,4;20,5;17,3;79,8;
2012-02-29;114,9;26,9;21,5;17,6;71,2;
2012-03-31;196,9;27,6;21,9;17,8;69,9;
2012-04-30;121,3;27,8;22,2;18,2;69,7;
2012-05-31;44,4;25;19,5;15,5;72,4;
2012-06-30;2,4;26,2;20,3;15,6;63,3;
2012-07-31;,2;26,1;19,8;14,1;49,7;
2012-08-31;0;26,1;19,8;14,6;45;
2012-09-30;32,9;29,9;23,4;18,2;42,6;
2012-10-31;109,8;30,2;23,8;18,5;48,6;
2012-11-30;444,6;26,6;21,5;18;79,5;
2012-12-31;141,9;28,7;22,7;18,1;69,9;
2013-01-31;491,8;26,1;21,3;17,9;80;
2013-02-28;190,1;28,6;22,9;18,2;65,2;
2013-03-31;190,3;27,7;22,4;18,3;75,7;
2013-04-30;95,4;26,3;21;17,2;75,2;
2013-05-31;22,2;26,8;20,7;15,4;62,3;
2013-06-30;6,2;25,6;20,2;15,5;65,5;
2013-07-31;,3;26,5;19,8;14,2;53,7;
2013-08-31;0;27,8;21;14,7;42,7;
2013-09-30;65,9;29,2;22,6;17,3;50,1;
2013-10-31;106,7;28,4;22,2;17,6;63,4;
2013-11-30;278,8;27,3;21,9;18;72,4;
