Nome: FORMOSA
Codigo Estacao: 83379
Latitude: -15.54916666
Longitude: -47.33888888
Altitude: 938.68
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;175,6;29,1;23,6;19,1;71,4;
2010-02-28;61,4;30,1;24,5;20;65,9;
2010-03-31;272,9;28,9;23,5;19,7;77;
2010-04-30;59,7;28,6;22,7;17,7;64,9;
2010-05-31;9,6;29,3;22,8;17,2;61,3;
2010-06-30;,1;27,6;20,5;14,6;54,5;
2010-07-31;0;27;20,7;14,9;51,6;
2010-08-31;0;28,5;21,6;14,5;42,2;
2010-09-30;,1;31;24,3;17,4;38,9;
2010-10-31;112,1;30,8;24,7;19,7;64;
2010-11-30;192,4;27,3;22,3;18,6;79,3;
2010-12-31;292,4;28,1;23,2;19;77,2;
2011-01-31;336,3;27,6;22,9;18,9;77,5;
2011-02-28;103,7;29,2;23,5;18,9;71,9;
2011-03-31;191,2;28;22,8;19;80,3;
2011-04-30;64,5;28,2;22,6;17,7;70,4;
2011-05-31;5,9;27,4;21,2;15,9;63,1;
2011-06-30;,3;27,4;20,7;14,9;59,4;
2011-07-31;0;27,8;20,7;14,3;48,5;
2011-08-31;0;30,6;23,2;15,7;39;
2011-09-30;7,8;31,1;24;17;33,7;
2011-10-31;149,3;27,9;22,5;18,2;72,6;
2011-11-30;274;26,6;22;17,9;75,8;
2011-12-31;267;27,6;22,3;18,9;78,2;
2012-01-31;284,5;27,2;22,1;18,6;78,4;
2012-02-29;53,8;28,6;23,3;19,4;69,3;
2012-03-31;137,7;29,3;23,6;19,7;68,3;
2012-04-30;77,9;30;24,1;19,9;65,6;
2012-05-31;20,8;26,8;21,3;17,5;69;
2012-06-30;8,6;28,3;22,1;17,2;57,8;
2012-07-31;0;27,8;21,3;15,8;49,1;
2012-08-31;0;27,4;21,3;16;43,3;
2012-09-30;4,2;31,2;25;19,6;38,4;
2012-10-31;50;31,9;25,6;20,2;45,4;
2012-11-30;269,1;27,5;23;20,3;81,3;
2012-12-31;103,2;30,8;25,1;20,6;63,1;
2013-01-31;350,4;27,1;22,7;19,8;80,3;
2013-02-28;174,7;29,6;24,2;20;66,5;
2013-03-31;292,7;28,7;23,8;20,3;75,3;
2013-04-30;89,7;27,5;22,2;18;76;
2013-05-31;11,7;28,3;22,1;16,9;63,4;
2013-06-30;28,9;27,3;21,5;16,5;64,3;
2013-07-31;0;27,9;21,2;15,4;53,3;
2013-08-31;0;29;22,3;16;44;
2013-09-30;57,7;30,5;23,9;18,1;51,7;
2013-10-31;108;29,2;23,6;19;62,1;
2013-11-30;188,6;28,7;23,3;19,3;71;
2013-12-31;319,5;27,7;22,9;19,8;81,3;
2014-01-31;84,8;29,2;23,6;19,1;67,1;
2014-02-28;185;28,5;23,2;19,2;69,3;
2014-03-31;286,5;27,8;22,7;19,2;79,1;
2014-04-30;152,1;28,5;23,2;19,2;74,1;
2014-05-31;11,2;28,2;22,1;17;63,4;
2014-06-30;9,1;27,2;21,1;16;61,1;
2014-07-31;0;27;20,6;15,3;58;
2014-08-31;0;29,5;22,5;16;41,1;
2014-09-30;2,1;32,3;25,3;19,4;42,9;
2014-10-31;66,7;31,6;25,1;19,8;46,3;
2014-11-30;197,1;29,3;23,7;19,8;72,1;
2014-12-31;230;27,5;22,7;19,1;76,8;
2015-01-31;98,4;31;25;20;60;
2015-02-28;243,2;28,2;23,1;19,5;71,6;
2015-03-31;185,9;27,8;22,7;19,3;80,3;
2015-04-30;162;28,7;23,3;19,7;77,4;
