Nome: ARINOS
Codigo Estacao: 83384
Latitude: -15.91527777
Longitude: -46.10722222
Altitude: 523
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;56,7;33,5;26,6;21,4;65,6;
2010-02-28;33,5;34,9;27,4;21,8;61,8;
2010-03-31;204;33,1;26,1;21,5;75;
2010-04-30;78,1;32,3;24,8;19,2;66,2;
2010-05-31;32,5;32,4;24,5;18,5;66;
2010-06-30;0;30,7;21,3;13,8;59,8;
2010-07-31;0;30,9;22,5;15,6;51,9;
2010-08-31;0;32,2;22,7;14,3;44,5;
2010-09-30;5,8;34,8;26;17,9;40,1;
2010-10-31;92,9;35,7;27,9;21,9;54,4;
2010-11-30;304;30,8;24,8;20,7;77,8;
2010-12-31;356,7;32,8;26,1;21,4;73,6;
2011-01-31;245,9;32,1;25,9;21,4;71,2;
2011-02-28;59,3;33,9;26,8;21,2;62,8;
2011-03-31;295;31,7;25,2;21,2;79,4;
2011-04-30;57,5;31,4;24,8;19,6;69,3;
2011-05-31;1,7;30,3;22,9;17;65,2;
2011-06-30;0;30,7;22,2;15,2;60,5;
2011-07-31;0;30,9;21,7;13,9;56,7;
2011-08-31;0;34;24,2;15,6;47,3;
2011-09-30;1,1;35;25,5;17;40,8;
2011-10-31;88,4;32,1;25,6;20,6;66,7;
2011-11-30;203,2;30,7;24,9;20,6;72,1;
2011-12-31;210,3;30,6;24,9;21,1;78,1;
2012-01-31;174,6;31,1;25,1;20,8;74,2;
2012-02-29;22,6;32,7;26,1;20,9;65,5;
2012-03-31;69,7;33;26,1;21;65,7;
2012-04-30;0;34,1;26,4;20,6;61,3;
2012-05-31;5,5;30,6;23,7;18,5;64,7;
2012-06-30;0;32,5;24,1;17,5;57,8;
2012-07-31;0;31,8;22,9;15,2;49,9;
2012-08-31;0;31,7;23,8;16,4;43,8;
2012-09-30;2;35,5;26,9;19;40;
2012-10-31;7,2;36,6;28,3;19,8;41,2;
2012-11-30;282,6;31,5;25;19,3;76,9;
2012-12-31;32,2;35,2;27,6;19,3;59,5;
2013-01-31;292,7;31,5;24,8;18;76,9;
2013-02-28;86,5;33,6;26,7;21,1;64,9;
2013-03-31;209,9;33,2;26,5;21,9;72,5;
2013-04-30;48,6;30,8;24,4;19,9;74,9;
2013-05-31;11,4;31,1;23,7;17,6;65,4;
2013-06-30;26,7;30,5;23,1;17,2;66,5;
2013-07-31;2,4;31,3;23;16,1;56,5;
2013-08-31;0;32,4;23,9;16,3;46,3;
2013-09-30;20,3;34,2;26,4;19,7;48,4;
2013-10-31;62,1;32,8;26,2;20,4;57,8;
2013-11-30;87,5;33,3;26,5;21,2;62,7;
2013-12-31;402,7;31,5;25,5;21,5;77,9;
2014-01-31;67,1;32,7;26,4;21,1;62,2;
2014-02-28;53,6;32,5;26,3;21,1;63,5;
2014-03-31;107,4;32,6;25,7;21,3;72,9;
2014-04-30;26,6;32,4;26;21,6;68,6;
2014-05-31;0;32;24,1;17,4;59,5;
2014-06-30;7;30,7;22,9;16,7;61,5;
2014-07-31;0;30,7;22,5;15,6;56,2;
2014-08-31;0;32,9;23,9;15,6;44,8;
2014-09-30;0;35,6;27,4;19,3;38,1;
2014-10-31;17,8;35,6;27,8;20,9;43,4;
2014-11-30;94,4;33,7;26,8;21,7;64,6;
2014-12-31;334,2;31,6;25,6;21,1;72,9;
2015-01-31;12,3;35,2;27,9;21,7;53,6;
2015-02-28;157;32,1;26;21,3;68,1;
2015-03-31;104,9;31,5;25,4;21,2;76,3;
2015-04-30;46,1;32,2;25,9;21,5;73;
2015-05-31;3,8;29,9;23,6;18,6;69,6;
2015-06-30;0;30,8;23;16,3;59,7;
2015-07-31;0;31,5;23,6;16,9;53,7;
2015-08-31;0;33;24,4;16,3;44,4;
2015-09-30;2,7;37,5;28,4;19,7;38,5;
2015-10-31;51,4;38,2;29,7;21;40,6;
2015-11-30;167,9;36,1;28,6;22,3;54,2;
2015-12-31;45,4;35,7;28,1;22,4;57,3;
2016-01-31;452,7;31,1;25,7;22,2;80,8;
2016-02-29;49,9;34,6;27,8;22,1;61,6;
2016-03-31;158,3;33,2;26,6;21,8;68,7;
2016-04-30;8,5;34,1;26,5;20,3;59;
2016-05-31;0;33,1;24,8;18;59,3;
2016-06-30;4,9;31,5;22,9;16;57,4;
2016-07-31;0;32,2;23,3;15,8;50,6;
2016-08-31;8,1;33,7;25,2;17,4;47,2;
2016-09-30;4,7;36,1;27,6;19,9;42;
2016-10-31;206,6;35,3;27,8;21,8;53,2;
2016-11-30;159,2;32,1;26;21,7;70,8;
2016-12-31;86,3;33,4;26,5;21,8;66,8;
2017-01-31;170;34,8;27,4;21,7;61,6;
2017-02-28;162,9;31,7;25,6;21,3;72,9;
2017-03-31;87,7;33,4;26,6;21,3;64,8;
2017-04-30;1,3;33,8;26,7;20,9;60,1;
2017-05-31;22,8;31,9;24,8;19,2;62,3;
2017-06-30;0;31,3;23,8;17,5;53,1;
2017-07-31;0;29;21,8;15,2;46,2;
2017-08-31;0;33,7;24,4;15,8;38,8;
2017-09-30;0;33,3;25,6;18,6;40;
2017-10-31;18,8;36,9;28,6;21,2;38,8;
2017-11-30;158,7;31,8;26;21,4;69,3;
2017-12-31;223,7;31,3;25,7;21,4;73,4;
2018-01-31;67,3;33,3;26,5;21,5;65,3;
2018-02-28;165,7;31,5;25,6;21,3;75,2;
2018-03-31;175,9;32,4;26,1;21,4;73,9;
2018-04-30;42;30,5;24,6;20,1;72,5;
2018-05-31;6,9;30,3;23,1;17;64,4;
2018-06-30;0;30,6;22,5;15,6;59,1;
2018-07-31;0;30,8;22,1;14,7;53,7;
2018-08-31;7,6;33,3;25,3;18,4;49,2;
2018-09-30;6,1;35;26,8;19;45,1;
2018-10-31;42,2;35,4;28,5;22,6;54,5;
2018-11-30;200,7;30,8;25,2;21,5;76,3;
2018-12-31;163,6;32,7;26,1;21,2;70,1;
2019-01-31;47,7;34,4;27,6;21,6;58,1;
2019-02-28;220,9;33,2;26,5;21,9;71,4;
2019-03-31;214,3;32;25,9;21,7;75,4;
2019-04-30;157,8;31,9;25,9;21,5;74,1;
2019-05-31;64,3;31;24,5;19,3;71,9;
2019-06-30;0;30,2;22,5;16,6;63,8;
2019-07-31;0;30,3;21,7;14,7;56,4;
2019-08-31;0;32,6;24,4;17;46,7;
2019-09-30;,4;36,3;27,6;19,9;38,6;
2019-10-31;8,5;36,8;29,3;22;40,4;
2019-11-30;197,3;35,2;28,1;22,5;58,4;
2019-12-31;76,9;33,8;27,3;22,2;63,5;
2020-01-31;195,2;32,5;26,7;22;70,6;
2020-02-29;153;32,2;26,1;21,8;75,4;
2020-03-31;296,1;30,6;25,2;21,5;78,9;
2020-04-30;319,7;30,7;24,9;20,8;78,8;
2020-05-31;null;null;null;null;null;
2020-06-30;0;30;21,8;15,4;69,4;
2020-07-31;0;30,7;21,9;14,9;59,4;
2020-08-31;0;31,9;23,5;16,2;49,3;
2020-09-30;4,8;35,6;26,7;18,8;40,1;
2020-10-31;136,5;35,1;27,6;21,7;58,9;
2020-11-30;null;null;null;null;null;
2020-12-31;198,1;33,1;26,5;21,2;69,1;
2021-01-31;56,3;33,3;26,7;21,1;67,4;
2021-02-28;217,2;31,6;25,4;21,6;80,2;
2021-03-31;37,3;32,9;25,7;20,1;69,9;
2021-04-30;58,3;31,7;24,8;19,9;71,9;
2021-05-31;0;32,1;23,7;16,8;64,8;
2021-06-30;5,3;31,1;22,5;15,7;62,8;
2021-07-31;0;31,1;21,7;13,9;54,4;
2021-08-31;0;32,5;24,1;16,5;49,2;
2021-09-30;,9;37,5;28,4;19,9;41,8;
2021-10-31;163,7;34,9;27,5;22,3;63,8;
2021-11-30;226,6;30,7;25,1;21,3;79,8;
2021-12-31;368,2;30,2;24,8;21,5;84,5;
2022-01-31;235,4;32;25,7;21,4;76;
2022-02-28;269;31;25,3;21,5;79,8;
2022-03-31;30,3;33,7;26,6;21,4;67,2;
2022-04-30;20,7;33,4;26,1;20,6;67,4;
2022-05-31;4,2;30,8;22,7;16,4;63;
2022-06-30;0;31,1;21,8;14,5;61,7;
2022-07-31;0;31;22,1;15;57;
2022-08-31;0;33;24,3;16,9;47,3;
2022-09-30;24,2;35,4;26,8;19,3;45,5;
2022-10-31;37,4;35,2;27,9;21,9;51,4;
2022-11-30;177,6;31,1;24,9;20,7;74,2;
2022-12-31;327,5;30,6;24,9;21,4;80,6;
2023-01-31;130;31,9;25,5;21,5;78,5;
2023-02-28;82,6;34,7;27,6;21,8;62,6;
2023-03-31;73,7;33,6;26,5;21,2;66,8;
2023-04-30;42,7;33,2;26;21,3;69,4;
2023-05-31;4;32,5;24,2;17,7;61,9;
2023-06-30;0;31,4;22,7;16,1;61;
2023-07-31;0;32,2;23,2;16,1;54,9;
2023-08-31;16,4;34,3;24,9;17,5;52,5;
2023-09-30;70;37,2;28,9;21,9;46,2;
2023-10-31;105,3;37,1;29,2;23,5;58,5;
2023-11-30;45,9;37,9;29,7;23,4;53,4;
2023-12-31;147,6;35,6;28,5;23,2;60,7;
2024-01-31;415,3;32,4;26,6;22,7;78;
2024-02-29;196,2;32,1;26,2;22,1;75;
2024-03-31;125;33,9;27,5;23,2;75,4;
2024-04-30;9,3;33,1;26,7;21,8;71,4;
2024-05-31;0;33,4;25,3;19;63,7;
2024-06-30;0;31,7;23;16,5;62,1;
2024-07-31;0;32;22,4;14,7;57,2;
2024-08-31;0;33,9;24,7;16,9;48,2;
2024-09-30;0;36,9;27,6;19,7;40,6;
2024-10-31;75,4;35,2;28,2;22,8;62;
2024-11-30;219,2;32,3;26,3;21,9;74,2;
2024-12-31;null;33;26,2;21,9;76,5;

