Nome: JANUARIA
Codigo Estacao: 83386
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 480
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;26,9;32,7;25,8;20,3;69,1;
2010-02-28;60,6;34,1;26,3;20,4;65,3;
2010-03-31;184,7;30,8;24,9;21;82,9;
2010-04-30;85,2;30,9;23,6;18;74,2;
2010-05-31;19,6;31,9;23,7;17,8;71,5;
2010-06-30;,1;30,6;20,9;13,8;62;
2010-07-31;,1;30,4;21,8;14,5;54,3;
2010-08-31;0;31,4;21,5;12,9;46,9;
2010-09-30;12,2;33,6;24,3;16,7;46,1;
2010-10-31;29,3;35,4;27,8;21,6;53,7;
2010-11-30;365,3;30,7;24,8;20,7;78,4;
2010-12-31;216,1;31,2;25,1;20,7;79,5;
2011-01-31;194,4;31;24,7;19,8;77,2;
2011-02-28;119,2;33,1;25,5;19,8;69;
2011-03-31;386,6;30,1;24,4;20,3;83,4;
2011-04-30;49,8;30,4;23,8;18,7;77,5;
2011-05-31;13,2;30,1;22;15,8;70,7;
2011-06-30;0;30,5;21,3;14,2;64,1;
2011-07-31;0;30,8;20,8;12,6;57,6;
2011-08-31;0;33,2;22,9;14;48,6;
2011-09-30;0;33,7;23,3;14,9;44;
2011-10-31;55;32,2;25,4;20;63,3;
2011-11-30;195,8;30,4;24,3;19,5;71,6;
2011-12-31;282;29,8;24,4;20,3;79,7;
2012-01-31;128,3;30,1;24,3;19,7;76,3;
2012-02-29;21,5;32,4;25,2;19,7;66,6;
2012-03-31;54,7;33,6;25,7;19,7;65,2;
2012-04-30;,2;34,4;25,7;18,7;59,2;
2012-05-31;24,6;31,3;23,5;17,6;64,7;
2012-06-30;0;32,3;23,2;15,8;59,1;
2012-07-31;0;31,6;22,2;14,2;52,2;
2012-08-31;0;31,1;22,7;15;47,2;
2012-09-30;0;34,6;25,6;17,8;42,1;
2012-10-31;1,1;36;27,6;20,7;40,7;
2012-11-30;468;30,1;24,9;21,4;80,2;
2012-12-31;23,9;34,2;26,8;20,7;60,9;
2013-01-31;307,2;30,7;25,2;21,2;78,3;
2013-02-28;25,5;33,8;26,1;20,1;67,6;
2013-03-31;148;33,7;26,4;21,2;70,2;
2013-04-30;124,4;30,8;24,1;19,3;76,7;
2013-05-31;,6;31,6;23,1;16,6;67;
2013-06-30;,2;31,7;23;16;62,6;
2013-07-31;0;32;22,6;15;53,8;
2013-08-31;0;32,4;23,3;15,3;46,3;
2013-09-30;5,4;34,2;25,7;18,6;47,7;
2013-10-31;71,2;33,6;25,9;20,2;55,8;
2013-11-30;129,4;33,9;26,5;20,7;59,8;
2013-12-31;296,5;30,1;24,9;21,4;82,1;
2014-01-31;50,1;31,9;25;19,4;69,4;
2014-02-28;25,3;32,7;25,4;19,5;64,6;
2014-03-31;49,7;32,9;25,9;20,6;67,6;
2014-04-30;5,3;33,1;25,6;19,8;66,2;
2014-05-31;13,7;32,7;24,4;17,2;57,3;
2014-06-30;0;31,5;23;15,8;56;
2014-07-31;0;31,2;22,8;15,4;50,2;
2014-08-31;0;32,7;23,3;15,1;43,1;
2014-09-30;4;34,9;25,9;18,2;42,6;
2014-10-31;55,7;35;27;20,5;44;
2014-11-30;190,8;32,2;26;21,2;68,9;
2014-12-31;210,5;30,9;24,9;20,5;75,1;
2015-01-31;20,7;35,5;26,9;19,8;54,9;
2015-02-28;275,1;31,9;25,2;19,7;71,8;
2015-03-31;56,7;32,8;25,7;20,4;71,5;
2015-04-30;25,8;33,1;25,8;20,4;68,1;
2015-05-31;19;31,7;23,8;17,7;64,3;
2015-06-30;0;31,4;23;15,8;54,8;
2015-07-31;,2;31,6;23,1;16;52,1;
2015-08-31;0;32,6;23,7;16,2;45;
2015-09-30;0;37,5;27,9;20;34,9;
2015-10-31;9,2;37,6;29,1;22,1;37,1;
2015-11-30;172,7;36,3;29,1;23;49,7;
2015-12-31;51,2;35,5;27,7;21,7;54,7;
2016-01-31;456,5;30,5;25,2;22;82,2;
2016-02-29;8,9;33,5;25,9;19,8;67,9;
2016-03-31;74,8;33,2;26,1;20,5;69;
2016-04-30;3;34,6;25,9;18,6;56,5;
2016-05-31;0;33,7;24,6;16,9;54,3;
2016-06-30;0;32,2;22,9;15,4;53,4;
2016-07-31;0;32,1;23;15;49,8;
2016-08-31;2,4;33,5;24,8;16,9;45,2;
2016-09-30;0;35,1;26,7;19,5;40,5;
2016-10-31;83,7;36;28,3;22,2;47;
2016-11-30;232,8;32,7;26,3;21,5;65,9;
2016-12-31;128,6;31,9;25,6;20,6;70,8;
2017-01-31;20,1;35;27,2;20,7;56,8;
2017-02-28;94,7;32;25,6;20,8;72,1;
2017-03-31;96,3;33,6;25,9;20,3;67,3;
2017-04-30;1,8;34,3;26,4;19,6;62,1;
2017-05-31;20,6;32,7;25,1;18,7;59,6;
2017-06-30;0;32;23,7;16,2;50,9;
2017-07-31;,3;28,9;21,8;15,3;48,3;
2017-08-31;0;32,9;23,4;15,1;40,3;
2017-09-30;0;32,5;24,9;18,3;39,9;
2017-10-31;29,5;36,3;28,2;21,6;37,5;
2017-11-30;173,9;31,9;26;21,5;66;
2017-12-31;248,8;31;25,1;20,8;76,8;
2018-01-31;60,4;33,4;26;20,3;65,7;
2018-02-28;362,5;30,6;24,7;20,2;78,8;
2018-03-31;128,7;31,4;25,3;21;78,2;
2018-04-30;10,9;30,9;24,1;18,5;70,7;
2018-05-31;0;31,2;22,9;16,2;62,4;
2018-06-30;0;31,3;22,3;14,5;56,6;
2018-07-31;0;31,2;21,1;12,9;52;
2018-08-31;,3;33,6;24,5;16,5;48,5;
2018-09-30;10,5;34,9;25,9;18,2;44,7;
2018-10-31;32;35,5;28,2;22,2;52,8;
2018-11-30;136,3;31,2;25,3;21;75,1;
2018-12-31;134,3;30,9;24,6;19,9;79,1;
2019-01-31;56,3;35,3;26,6;19,5;58,7;
2019-02-28;106,5;33,9;26,7;21,2;71;
2019-03-31;173,8;33;26,2;21,2;72,6;
2019-04-30;48,6;32,9;25,8;20,5;72,2;
2019-05-31;,7;33,8;25,3;18,5;60,9;
2019-06-30;,1;32;23,1;16,1;54,1;
2019-07-31;1,8;31,6;22,1;14;48,3;
2019-08-31;0;32,8;24,1;16,8;46;
2019-09-30;0;35,7;26,4;18,7;42,2;
2019-10-31;38;36,3;27,9;21,2;44,6;
2019-11-30;47;35,9;28,5;22,6;52,8;
2019-12-31;96,3;35;27,4;21,5;61,1;
2020-01-31;325,5;31,7;25,7;21,3;76,3;
2020-02-29;152,9;31,8;25,7;21,1;78,3;
2020-03-31;263;29,8;24,5;20,8;84,8;
2020-04-30;15,2;30,6;24,1;19,3;78,4;
2020-05-31;null;null;null;null;null;
2020-06-30;0;30,5;21,4;14,1;65;
2020-07-31;0;31;21;13,1;57,8;
2020-08-31;0;32,1;23,2;15,4;50;
2020-09-30;0;35,3;25,6;17,6;41,5;
2020-10-31;104,5;35,5;27,4;21,2;54,6;
2020-11-30;null;null;null;null;null;
2020-12-31;70,1;32,5;25,1;19,2;73;
2021-01-31;62,5;33,8;25,9;19,5;65,7;
2021-02-28;237,4;31;25;21;79,3;
2021-03-31;9,6;32,9;24,6;18,2;69;
2021-04-30;24,8;32,3;24,8;19,5;67,7;
2021-05-31;0;32,6;23,2;15,4;56,4;
2021-06-30;0;31,7;22,3;14,7;54,4;
2021-07-31;0;31,2;21,8;13,5;48,4;
2021-08-31;0;31,9;22,9;14,7;46,8;
2021-09-30;3,1;36,6;26,6;18,3;41,3;
2021-10-31;124,3;34,2;27,2;21,7;61;
2021-11-30;324,7;30,1;24,4;20,4;83;
2021-12-31;380,6;28,9;24,2;21,1;86,6;
2022-01-31;175,4;30,7;24,5;19,8;80,1;
2022-02-28;136,3;30,7;24,7;20,4;81,6;
2022-03-31;,3;33;25;18,8;69,9;
2022-04-30;18,1;33,2;24,8;18,3;66,5;
2022-05-31;0;31,5;22;14,9;60,8;
2022-06-30;0;31,3;20,8;12,5;57,3;
2022-07-31;0;30,9;21,3;13,1;54,2;
2022-08-31;0;32,2;23;15,4;46,5;
2022-09-30;15,3;34,8;25,4;17,2;45,4;
2022-10-31;16,6;35,4;27,5;21,2;47,9;
2022-11-30;248,3;30,4;24,5;20,4;78;
2022-12-31;357,5;29,7;24,2;20,7;85,2;
2023-01-31;285,7;30,8;24,5;20;81,6;
2023-02-28;,1;33,5;25,8;19,4;68,3;
2023-03-31;3,4;34,1;26;19,6;63,5;
2023-04-30;28,5;33,8;26;20;65,2;
2023-05-31;1,4;32,8;23,6;16,5;62,1;
2023-06-30;0;31,7;22,5;14,8;57,3;
2023-07-31;0;31,9;22,7;14,8;52,1;
2023-08-31;6,1;33,7;24,3;16,6;51,8;
2023-09-30;3,9;36,4;27,5;19,7;43,9;
2023-10-31;13,4;37,7;29,8;23,2;46,5;
2023-11-30;102,5;37,3;29;21,9;53,7;
2023-12-31;107,6;35,7;27,8;21,9;59,8;
2024-01-31;208,3;31,9;25,8;21,7;81,3;
2024-02-29;219,1;30,9;25,2;21;81,5;
2024-03-31;27,8;33,2;26,5;21,5;77,6;
2024-04-30;63,9;32,2;25,2;19,6;75,4;
