Nome: MONTE AZUL
Codigo Estacao: 83388
Latitude: -15.160374
Longitude: -42.866344
Altitude: 623.22
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;82,4;32,8;26,1;20,7;61,2;
2010-02-28;71,8;34,2;27;21,4;57,1;
2010-03-31;192,1;31,5;25,4;20,7;73,5;
2010-04-30;38,5;30,9;24,9;19,5;63,8;
2010-05-31;6,6;32;25,5;19,3;57,1;
2010-06-30;0;29,9;22,8;16,3;51,1;
2010-07-31;,6;29,1;22,9;17,3;51,8;
2010-08-31;0;30,5;23,2;16,2;47;
2010-09-30;,2;32,8;25,2;18,1;47,3;
2010-10-31;7,5;35,5;28,4;21,5;49,3;
2010-11-30;220,1;null;null;null;67,6;
2010-12-31;209,4;31,2;25,3;21,3;73,3;
2011-01-31;45,4;31,5;25,4;21;67,3;
2011-02-28;121;33,3;27;22;56,7;
2011-03-31;260,6;30,4;24,7;21,3;77,2;
2011-04-30;29,1;30,6;24,9;20,8;66,4;
2011-05-31;0;29,5;23,7;18,6;57,3;
2011-06-30;,8;30;23;17,3;54,7;
2011-07-31;0;29,8;22,6;16,7;51,3;
2011-08-31;0;32,1;24,6;18,3;43,9;
2011-09-30;0;32;24,6;18,5;43,3;
2011-10-31;97,2;30,9;25,4;21,1;58,8;
2011-11-30;75,5;29,4;24,2;20,5;66,3;
2011-12-31;85,2;31,1;25;20,7;68,4;
2012-01-31;83,6;31,1;25,5;21,2;61,1;
2012-02-29;65,7;32,7;26,5;21,7;52,3;
2012-03-31;10,4;34;27,5;22,5;50,3;
2012-04-30;1;35,1;27,8;22,1;44,1;
2012-05-31;4,2;31;24,9;20,5;53,8;
2012-06-30;0;31,6;25,2;20,3;49,4;
2012-07-31;0;30,6;23,9;18,8;46,6;
2012-08-31;0;29,9;23,3;18,4;45;
2012-09-30;0;33,8;26,2;20,2;38,6;
2012-10-31;0;35;27,7;21,8;42,1;
2012-11-30;208,3;29,4;24,7;21,7;78;
2012-12-31;17,4;34,1;27,5;22,1;53,3;
2013-01-31;142,9;32;26,5;22,5;64,5;
2013-02-28;54,4;34,3;27,9;22,9;48;
2013-03-31;58,3;34,4;28;23,2;54,9;
2013-04-30;51,6;31,7;25,8;21,5;59,9;
2013-05-31;,2;32,5;25,6;20,5;53,4;
2013-06-30;1;31,1;24,8;20;54,6;
2013-07-31;0;30,8;24,3;19,1;48;
2013-08-31;0;31,3;24,5;19,3;51,8;
2013-09-30;0;33,2;26,5;21,2;46,7;
2013-10-31;60,9;32,4;26,3;21,2;48,5;
2013-11-30;123,6;32,9;26,7;21,9;54,3;
2013-12-31;376,2;29,1;24,4;21,2;79,1;
2014-01-31;14;32,3;26,1;21,7;58,5;
2014-02-28;52,3;33,1;26,7;22,2;53,7;
2014-03-31;99,5;32,2;26,4;22,3;61,1;
2014-04-30;77;32,1;26,2;21,6;58,1;
2014-05-31;1,2;31,5;25,3;20,4;53,8;
2014-06-30;0;29,7;23,9;19,3;53,2;
2014-07-31;0;29,5;23,4;18,9;50,2;
2014-08-31;0;31,4;24,4;18,6;42,6;
2014-09-30;0;33,2;26;20,1;41,3;
2014-10-31;21,5;33,3;26,9;21,4;49,4;
2014-11-30;129,6;31,9;26,4;22;59,3;
2014-12-31;80,8;31,7;26;21,6;59,7;
2015-01-31;22,6;34,4;27,8;22,5;46,3;
2015-02-28;69,7;32,8;26,6;22,3;56,6;
2015-03-31;58,6;33,8;27,8;23,2;54;
2015-04-30;34,4;32,9;27;22,6;58;
2015-05-31;9,8;30,7;24,9;20,6;56,4;
2015-06-30;17,5;29,6;23,7;19,6;56,7;
2015-07-31;0;30,2;24;19,4;52,8;
2015-08-31;0;31,2;24,7;19,3;50,5;
2015-09-30;0;36,3;28,4;21,5;41,8;
2015-10-31;2,4;36,3;29,3;23,2;38,2;
2015-11-30;51,5;36,1;29,3;23,6;50,8;
2015-12-31;32,8;36,8;29,9;24,2;45,9;
2016-01-31;null;null;null;null;null;

