Nome: MOCAMBINHO
Codigo Estacao: 83389
Latitude: -15.086015
Longitude: -44.016223
Altitude: 453.62
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2012-07-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;34,7;33,4;26,4;21,1;68,6;
2010-02-28;35,1;34,9;26,9;21;62,5;
2010-03-31;146,9;31,7;25,5;21,6;78;
2010-04-30;78,4;31,8;24,5;19,2;69,5;
2010-05-31;3,7;32,7;24,8;18,7;63,8;
2010-06-30;0;30,8;22,1;14,7;54,7;
2010-07-31;0;30,2;22,3;15,1;52,1;
2010-08-31;0;31,2;21,9;13,3;48,7;
2010-09-30;4,8;33,4;24,7;16,1;42,4;
2010-10-31;62,3;35,8;28,2;21,6;50,7;
2010-11-30;359,6;31,5;25,3;21,1;74,8;
2010-12-31;200,4;31;25,3;21,3;78,6;
2011-01-31;153;31,7;25,2;20,5;74,8;
2011-02-28;68,7;33,4;26;20,4;65,7;
2011-03-31;326,5;30,4;24,7;21,1;84,6;
2011-04-30;null;null;null;null;null;
2011-05-31;6,5;30;21,9;15,8;67,6;
2011-06-30;0;31,1;22,1;15,7;62;
2011-07-31;0;30,9;21,3;13,5;56,2;
2011-08-31;0;33,3;23,4;14,6;49,3;
2011-09-30;0;33,2;23,5;14,7;43;
2011-10-31;92,3;31,9;25,2;20,1;63,5;
2011-11-30;171;29,6;23,8;19,6;74,6;
2011-12-31;146,5;30,2;24,5;20,1;76,7;
2012-01-31;85,2;30,9;24,8;19,8;73,6;
2012-02-29;29,9;32,6;25,4;20;65,1;
2012-03-31;67,4;33,7;26,2;20,4;62,9;
2012-04-30;6,3;34,6;26,1;19,3;58,8;
2012-05-31;23,1;31,5;23,9;17,9;61,1;
2012-06-30;3,8;31,9;23,5;16,5;58;
2012-07-31;0;31,4;22,3;14,8;55;

