Nome: PEDRA AZUL
Codigo Estacao: 83393
Latitude: -16.00944444
Longitude: -41.2811111
Altitude: 647.97
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;10,9;33,1;26;19,7;55,6;
2010-02-28;28,8;33;25,7;19,8;60,8;
2010-03-31;272,5;30,5;24,3;19,5;77,7;
2010-04-30;85,6;29;23,2;18,3;71,9;
2010-05-31;47,2;28,4;22,2;17,3;73,3;
2010-06-30;3,7;25,9;19,2;12,8;70,3;
2010-07-31;8;25,2;19,5;14;70,4;
2010-08-31;,6;26,5;19,6;13,2;62,1;
2010-09-30;7,7;28,5;21,5;15;58,8;
2010-10-31;43,8;30,6;23,8;17,9;63,3;
2010-11-30;277;29,5;23,4;18,2;73,6;
2010-12-31;237,7;29,9;23,6;18,1;75;
2011-01-31;112,8;29,9;23,4;17,4;71,9;
2011-02-28;16,6;31;24,1;17,7;66,5;
2011-03-31;174,6;30,2;23,9;18,4;74,1;
2011-04-30;88,3;28,1;22,5;17;77,4;
2011-05-31;10,2;26,1;20,2;14,3;75,2;
2011-06-30;2,1;26,3;19,7;13,1;71,6;
2011-07-31;9,8;26,3;19,3;12,6;68,7;
2011-08-31;5,4;28,6;20,9;13,6;60,3;
2011-09-30;0;28,3;20,6;13,1;55,4;
2011-10-31;76,6;28,4;22,5;17,3;69,9;
2011-11-30;201,3;27,1;21,9;18,6;77,5;
2011-12-31;200,9;29;23,4;19,8;74,8;
2012-01-31;105,3;29,4;23,6;19,5;70,9;
2012-02-29;42,7;30,2;23,7;19,2;65,9;
2012-03-31;27,9;31;24,4;19,7;64,1;
2012-04-30;,4;31,8;24,6;19;59,5;
2012-05-31;34,7;27;21,4;17,5;73,3;
2012-06-30;2,6;28,1;21,9;17,6;67,7;
2012-07-31;4,3;27,2;20,5;15;65,5;
2012-08-31;27;26;19,8;15,1;68,6;
2012-09-30;14,3;29,1;22,3;16,8;59,8;
2012-10-31;4;30,5;23,7;18,1;58,8;
2012-11-30;385,6;27,9;23,1;19,5;80,4;
2012-12-31;43;31,9;25,1;19,2;62,7;
2013-01-31;253,7;30,7;24,7;20,3;70,6;
2013-02-28;12,5;31,1;24,8;19,6;62,5;
2013-03-31;50,4;32;25,7;20,5;61,5;
2013-04-30;53,6;28,4;23;18,4;72,5;
2013-05-31;52,8;28,5;22,2;17,2;70,6;
2013-06-30;30;26,8;21;16,3;73,9;
2013-07-31;20,2;26,1;20;14,9;73,3;
2013-08-31;4,7;27;20,5;14,8;65,9;
2013-09-30;25,7;28;21,7;16,5;66,8;
2013-10-31;43,1;28,7;22,4;17;66,5;
2013-11-30;159,9;29,6;23,3;17,7;68,2;
2013-12-31;276,2;29,3;23,7;19;78,7;
2014-01-31;14,1;30,1;23,7;18,1;68,1;
2014-02-28;9;30,9;23,9;17,8;65,1;
2014-03-31;89,4;30,3;23,9;18,6;69,9;
2014-04-30;41,6;30,3;23,7;17,7;66,6;
2014-05-31;5,5;29,1;22,3;15,7;65,8;
2014-06-30;25,4;null;null;15,1;72,7;
2014-07-31;33,6;null;null;14,1;70,6;
2014-08-31;2,7;null;null;13,6;62,8;
2014-09-30;,5;null;null;15,9;57,4;
2014-10-31;48,5;null;null;16,9;60,1;
2014-11-30;194,4;null;null;18,9;72;
2014-12-31;88,5;null;null;19,9;71;
2015-01-31;9,7;null;null;19,9;60;
2015-02-28;101,9;null;null;19,9;70,2;
2015-03-31;155,1;null;null;20,1;69,9;
2015-04-30;61,6;null;null;19,6;74,2;
2015-05-31;47,8;null;null;17,8;78,7;
2015-06-30;40,1;null;null;16,8;80;
2015-07-31;11,9;null;null;16,4;77,1;
2015-08-31;12;null;null;16,1;70,4;
2015-09-30;0;null;null;18;57,7;
2015-10-31;2,3;null;null;19,7;55,8;
2015-11-30;80,1;null;null;21,1;60;
2015-12-31;51,7;null;null;21;52,2;
2016-01-31;433,6;null;null;21,4;76,9;
2016-02-29;10,4;null;null;20,1;62,5;
2016-03-31;20,4;null;null;20,7;62,4;
2016-04-30;,3;null;null;19,6;59,3;
2016-05-31;1,5;null;null;17,1;62,4;
2016-06-30;31;null;null;15,9;65,1;
2016-07-31;18,2;null;null;15,8;null;
2016-08-31;5,1;null;null;16,6;64,1;
2016-09-30;18,2;null;null;18,1;56,5;
2016-10-31;110;null;null;19,9;67;
2016-11-30;174,2;null;null;19,7;74,1;
2016-12-31;173,1;null;null;20;78,5;
2017-01-31;1,6;null;null;20;null;
2017-02-28;39,5;null;null;20,3;71;
2017-03-31;42;null;null;20,2;64,8;
2017-04-30;73,7;null;null;19,8;74,5;
2017-05-31;42,3;null;null;17,9;76;
2017-06-30;8,7;null;null;16,5;71,8;
2017-07-31;29,2;null;null;14,7;74,2;
2017-08-31;1,6;null;null;15;62;
2017-09-30;4,8;null;null;16,3;63,9;
2017-10-31;3,3;null;null;18,8;58,2;
2017-11-30;126,5;null;null;19,6;67,5;
2017-12-31;209,9;null;null;20,3;77,1;
2018-01-31;23,9;null;null;20,3;null;
2018-02-28;155;null;null;20,6;73,5;
2018-03-31;64,4;null;null;20,5;73;
2018-04-30;17,2;null;null;19,2;73,4;
2018-05-31;25,1;null;null;17,5;72,4;
2018-06-30;35,3;null;null;16,7;75,8;
2018-07-31;5,8;null;null;15,6;66,7;
2018-08-31;9,1;null;null;17,9;64,6;
2018-09-30;0;null;null;18,6;57,5;
2018-10-31;60,9;null;null;19,7;63,8;
2018-11-30;210;null;null;19,5;73,1;
2018-12-31;260,9;null;null;19,8;76,9;
2019-01-31;,3;null;null;20;57,9;
2019-02-28;109,5;null;null;21,7;60,8;
2019-03-31;79,3;null;null;21,2;64,5;
2019-04-30;115,8;null;null;20,5;72,8;
2019-05-31;1,7;null;null;19,3;71;
2019-06-30;7,3;null;null;16,5;68,8;
