Nome: JANAUBA
Codigo Estacao: 83395
Latitude: -15.802909
Longitude: -43.297092
Altitude: 534.61
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;17,4;33,4;26,6;20,7;61,3;
2010-02-28;51;34,4;27;21,4;58,9;
2010-03-31;152,5;31,6;25,6;21,3;72,8;
2010-04-30;17,4;31,6;25,2;19,9;64,8;
2010-05-31;11,2;32,1;25,1;19,4;59,8;
2010-06-30;0;29,9;22,3;17,1;53,5;
2010-07-31;0;29,3;22,8;17,5;52,7;
2010-08-31;0;30,4;22,9;15,6;45,1;
2010-09-30;,5;32,6;25,2;17,9;43,2;
2010-10-31;19,7;34,6;27,5;21,3;52,3;
2010-11-30;203,3;31,7;25,4;20,9;71,6;
2010-12-31;203,3;31,4;25,2;20,8;75,1;
2011-01-31;90,6;32;25,5;20,3;67,9;
2011-02-28;42,9;34,4;26,9;20,5;57,7;
2011-03-31;166,8;31,1;24,9;20,9;77,4;
2011-04-30;8,4;31,5;25,4;20,7;63,6;
2011-05-31;1,3;30,6;23,7;18,5;58,7;
2011-06-30;0;30,6;22,8;16,6;55,6;
2011-07-31;0;30,5;22,4;15,5;51;
2011-08-31;0;32,7;24;16,5;46,6;
2011-09-30;,6;32,9;24,5;16,7;39,7;
2011-10-31;118,3;31,2;25,1;20,1;62,6;
2011-11-30;82,4;30,7;24,4;19,8;66,7;
2011-12-31;183,9;30,9;25;20,4;72,2;
2012-01-31;89,7;31,6;25,2;19,7;65,7;
2012-02-29;29,4;33,7;26,4;20,3;56,1;
2012-03-31;29,1;34,6;27,3;20,9;52,7;
2012-04-30;39,7;35,1;26,8;20,1;51,3;
2012-05-31;41,1;30,6;23,9;18,9;59,8;
2012-06-30;0;31,4;24,3;18,1;53,7;
2012-07-31;0;31,1;23,4;16,4;49,6;
2012-08-31;0;30,1;23,1;17,3;51,1;
2012-09-30;6,7;33,4;25,4;18,5;46,2;
2012-10-31;0;35,3;27,9;20,2;42,6;
2012-11-30;333,9;30;24,8;21,3;78,4;
2012-12-31;32,3;34,7;27,2;20,5;58,1;
2013-01-31;156,5;32,8;26,4;21,2;66;
2013-02-28;1,7;35,4;27,7;20,5;52,6;
2013-03-31;64,4;34;27,8;21,7;58,8;
2013-04-30;64,2;32;25,4;20,7;64,8;
2013-05-31;0;32,7;24,7;18,5;57,2;
2013-06-30;0;31,4;24,2;18,3;55,3;
2013-07-31;0;30,9;23,5;17;51,6;
2013-08-31;7;31,5;24,1;16,9;48,8;
2013-09-30;1,2;33,3;25,8;19,3;50,1;
2013-10-31;33,1;33,1;26,1;20,3;52,2;
2013-11-30;200,7;33,3;26,5;20,9;57,3;
2013-12-31;355,2;29,8;24,5;20,9;80,8;
2014-01-31;31,3;33,1;26,1;20,1;58,8;
2014-02-28;31,4;33,7;26,5;20,7;55,9;
2014-03-31;65,1;32,4;26,2;21;64,6;
2014-04-30;12,5;33,4;26,2;20,4;58,1;
2014-05-31;0;32,3;24,9;19,2;54,2;
2014-06-30;3,8;30,5;23,4;17,8;56,7;
2014-07-31;3,2;30,6;23;16,9;53,7;
2014-08-31;0;31,5;23,8;16,7;44,4;
2014-09-30;,7;33,7;25,5;17,6;41,7;
2014-10-31;31,5;34,1;26,8;19,8;44;
2014-11-30;93,1;32,3;26,2;20,8;61;
2014-12-31;170,8;32,2;25,7;20,1;62;
2015-01-31;0;35,7;27,5;19,5;44,8;
2015-02-28;65,2;33,6;26,7;20,9;55,7;
2015-03-31;32,5;34,6;27,3;20,9;53,3;
2015-04-30;73;33,3;26,3;21,1;59,8;
2015-05-31;3,8;31,8;24,6;19,2;56,4;
2015-06-30;0;30,7;23,7;18,2;52,8;
2015-07-31;0;31;23,8;17,4;51,2;
2015-08-31;0;31,7;24,6;17,9;43;
2015-09-30;0;37,2;null;18,7;null;
2015-10-31;8,5;37,4;null;21,4;null;
2015-11-30;163,2;36,7;null;22,9;null;
2015-12-31;18,6;36,7;null;22,4;null;
2016-01-31;377,2;30,8;null;21,9;null;
2016-02-29;1,7;34,4;null;20,4;null;
2016-03-31;18;34,5;null;21,9;null;
2016-04-30;,7;34,7;null;20,8;null;
2016-05-31;2,9;33,3;null;19;null;
2016-06-30;5,1;31,1;null;17,5;null;
2016-07-31;,7;31,6;null;16,4;null;
2016-08-31;0;33,3;null;17,3;null;

