Nome: CANAVIEIRAS
Codigo Estacao: 83398
Latitude: -15.67333332
Longitude: -38.96111111
Altitude: 4.71
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;39;null;null;22,8;76,6;
2010-02-28;195,7;null;null;23,2;80,3;
2010-03-31;291,9;null;null;24,2;83,1;
2010-04-30;182,3;null;null;null;81,7;
2010-05-31;158,6;null;null;null;84,7;
2010-06-30;40,4;27,3;null;null;87;
2010-07-31;241,2;27;null;null;87,5;
2010-08-31;79,9;26,5;null;null;83,6;
2010-09-30;84,1;27,3;null;null;80,1;
2010-10-31;62,1;28,1;null;null;84,3;
2010-11-30;190,5;29,2;null;null;84,3;
2010-12-31;242;29,7;null;null;83,5;
2011-01-31;176,3;30,3;null;null;80,8;
2011-02-28;78,9;30,3;null;null;79,5;
2011-03-31;220,5;30,2;null;null;79,7;
2011-04-30;332,4;30;null;null;82,8;
2011-05-31;124,1;28,3;null;null;88,2;
2011-06-30;92,5;27,2;null;null;89,8;
2011-07-31;143,4;27;null;null;85,7;
2011-08-31;92,7;27,3;null;null;83,9;
2011-09-30;107,1;27;null;null;82;
2011-10-31;188,8;27,9;null;null;84,3;
2011-11-30;355,3;27,2;null;null;85,5;
2011-12-31;72,8;29,1;null;null;84,5;
2012-01-31;93,2;30,1;null;null;79,9;
2012-02-29;102,5;29,8;null;null;79,4;
2012-03-31;171,5;29,7;null;null;79,5;
2012-04-30;55,4;29,9;null;null;78,2;
2012-05-31;224,9;28;null;null;88,4;
2012-06-30;164,1;27,8;null;null;91,4;
2012-07-31;169;27,3;null;null;86,3;
2012-08-31;199,2;27;null;null;83,2;
2012-09-30;137;27,2;null;null;83,6;
2012-10-31;82,4;28,1;null;null;81,5;
2012-11-30;178,2;28,4;null;null;87,7;
2012-12-31;23,1;30,6;null;null;78,8;
