Nome: CACERES
Codigo Estacao: 83405
Latitude: -16.04972221
Longitude: -57.68083332
Altitude: 118
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2014-07-02
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;326;32,3;27;21,3;80,4;
2010-02-28;352,7;32;26,9;21,4;81,1;
2010-03-31;109,8;33,4;27,7;21,9;78,8;
2010-04-30;50,6;33,1;26,5;19,1;74;
2010-05-31;76,8;29,9;23,2;15,9;77,8;
2010-06-30;0;32,2;24,1;16;72,9;
2010-07-31;0;30,8;21,4;13,5;66,5;
2010-08-31;0;33,8;24,4;16,1;57,9;
2010-09-30;7,8;36,3;27,9;21,9;61,3;
2010-10-31;102,8;34,2;27,3;22,2;70,8;
2010-11-30;146,9;33,8;26,8;22,1;72,8;
2010-12-31;173,1;33,4;27,4;23,3;74,1;
2011-01-31;366,6;32,4;26,7;23;82,7;
2011-02-28;262,9;31,4;26,4;23,1;84,3;
2011-03-31;273,2;31,6;26,4;23,3;85,3;
2011-04-30;53,3;34;27,1;22,9;78,6;
2011-05-31;42,2;31,7;24,2;18,2;78;
2011-06-30;14,4;31,4;23,3;17,5;75,2;
2011-07-31;0;31,7;23,8;17,4;75,3;
2011-08-31;0;33,9;24,8;17,7;64,6;
2011-09-30;0;36,6;27,4;20;63,2;
2011-10-31;33,9;34,3;27,7;23,1;69,4;
2011-11-30;101,5;35,7;28,3;23,2;67,5;
2011-12-31;82,2;33,8;27,8;23,4;74,5;
2012-01-31;null;null;null;null;null;
2012-02-29;159,6;32,8;26,8;23,2;79;
2012-03-31;91,6;31,9;26,4;23;79,2;
2012-04-30;89,2;31,4;26,4;23;80,8;
2012-05-31;null;null;null;null;null;
2012-06-30;null;null;null;null;null;
2012-07-31;null;null;null;null;null;
2012-08-31;0;35,2;25,8;18,5;54,8;
2012-09-30;80,2;36,1;27,7;21,3;58,3;
2012-10-31;52,5;35,1;28,3;24;68,6;
2012-11-30;240,6;32,1;27,5;24,5;78,7;
2012-12-31;222;32,4;27,4;24;78,3;
2013-01-31;259,4;32,5;27,4;24,2;80,5;
2013-02-28;122;null;null;23,9;82,5;
2013-03-31;106,2;32,3;27,1;23,5;82,2;
2013-04-30;94,4;31,4;26;22;81,8;
2013-05-31;26,8;31,1;25;20,6;79,7;
2013-06-30;57,9;31,5;25,5;20,6;79,6;
2013-07-31;null;null;null;null;null;
2013-08-31;0;32,5;23,7;15,9;67,8;
2013-09-30;37;34,6;26,9;21,2;69,2;
2013-10-31;152,6;33,8;27,2;22,7;75;
2013-11-30;99,5;34,2;27,4;23,4;74,5;
2013-12-31;178,1;32,5;27,4;24,1;78;
2014-01-31;null;null;null;null;null;
2014-02-28;374,7;30,5;26;22,9;84,8;
2014-03-31;240,6;32,7;26,7;23,3;81,9;
2014-04-30;75,8;31,9;26,3;22,9;82,4;
2014-05-31;125,4;30,5;24,3;20,6;81,8;
2014-06-30;7,8;31,1;24,1;19,9;81;
2014-07-31;null;null;null;null;null;

