Nome: CARINHANHA
Codigo Estacao: 83408
Latitude: -14.29749999
Longitude: -43.77138888
Altitude: 455.25
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2020-10-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;49,7;32,5;26,3;21,2;null;
2010-02-28;69,9;34;26,6;21,3;null;
2010-03-31;211,8;31,7;25,5;21,8;null;
2010-04-30;114,1;31,9;25,3;20,1;null;
2010-05-31;2,1;32,4;25,6;19,5;null;
2010-06-30;1,3;31,1;23,1;16;null;
2010-07-31;0;30,8;23,7;17,7;null;
2010-08-31;0;31,3;23,6;16,3;null;
2010-09-30;,6;33,6;25,9;19;null;
2010-10-31;null;null;null;null;null;
2010-11-30;null;31,1;25,4;21,7;null;
2010-12-31;157,9;30,9;25,5;21,6;null;
2011-01-31;117,1;31,4;25,6;21,3;null;
2011-02-28;119,6;33,2;26,6;21,5;null;
2011-03-31;258,7;30,4;25;21,5;null;
2011-04-30;9,7;30,9;25,2;20,9;null;
2011-05-31;,5;30,9;23,9;17,8;null;
2011-06-30;,1;31,5;23,4;16,6;null;
2011-07-31;0;30,9;22,6;15,1;null;
2011-08-31;0;33,2;24,9;17,5;null;
2011-09-30;,6;33,5;25,2;18;null;
2011-10-31;null;null;null;null;null;
2011-11-30;289,4;29,7;24,3;20,6;null;
2011-12-31;158,5;30;24,8;20,9;null;
2012-01-31;96,9;31,2;25,6;21;null;
2012-02-29;19,8;33,3;26,6;21,1;null;
2012-03-31;51,3;34,5;27,4;21,4;null;
2012-04-30;,9;35,2;27,6;20,6;null;
2012-05-31;1,2;32,9;25,6;19,5;null;
2012-06-30;0;32,9;25,1;18,1;null;
2012-07-31;0;31,9;23,8;16,4;null;
2012-08-31;,2;31,4;24;17,6;null;
2012-09-30;0;35;27,1;20,1;null;
2012-10-31;null;null;null;null;null;
2012-11-30;399,7;30,2;25;22;null;
2012-12-31;12,5;34,3;27,8;21,8;null;
2013-01-31;263,5;32,3;26,4;22,3;null;
2013-02-28;5,6;35,1;27,7;21,4;null;
2013-03-31;82,5;34,7;28;22,4;null;
2013-04-30;97,9;31,7;25,6;20,9;null;
2013-05-31;1,4;33;25,5;19,3;null;
2013-06-30;0;32,3;24,9;18,5;null;
2013-07-31;0;32,1;24,2;17,3;null;
2013-08-31;,6;32,5;25;18,3;null;
2013-09-30;0;34,6;27,3;21,3;null;
2013-10-31;null;null;null;null;null;
2013-11-30;92,5;34,2;27,7;22,6;null;
2013-12-31;294,1;30,2;25,1;21,8;null;
2014-01-31;1,4;32,5;26,3;21,1;null;
2014-02-28;33;33,7;26,8;21,6;null;
2014-03-31;196,9;32,6;26,7;22,1;null;
2014-04-30;52,6;32,9;26,4;21,5;null;
2014-05-31;2,2;33,4;25,9;19,7;null;
2014-06-30;null;null;null;null;null;
2014-07-31;0;31,7;24;17,4;null;
2014-08-31;0;32,8;24,8;17,6;null;
2014-09-30;0;35,2;27,4;20,3;null;
2014-10-31;35,4;35;27,9;21,8;null;
2014-11-30;130,2;33,3;27,3;22,5;null;
2014-12-31;229,7;31,1;25,6;21,6;null;
2015-01-31;,5;35;27,7;21,4;null;
2015-02-28;132,7;33,1;26,3;21,6;null;
2015-03-31;38,7;34,2;27,7;22,2;null;
2015-04-30;66,5;33,7;27,4;22,5;null;
2015-05-31;60,7;31,5;25,1;20,1;null;
2015-06-30;,1;31,6;24,5;18,9;null;
2015-07-31;0;31,7;24,3;18,1;null;
2015-08-31;0;32,6;25,2;18,8;null;
2015-09-30;0;37,2;29,1;21,6;null;
2015-10-31;null;null;null;null;null;
2015-11-30;127,2;36,5;29,6;24;null;
2015-12-31;15,5;37,4;30,2;23,8;null;
2016-01-31;624,9;30,9;25,7;22,5;null;
2016-02-29;25,9;33,3;27,3;22,3;null;
2016-03-31;6,8;34,8;28,4;22,9;null;
2016-04-30;0;35,2;27,9;21,6;null;
2016-05-31;0;33,9;26,4;20;null;
2016-06-30;1,4;32,5;24,9;18,5;null;
2016-07-31;0;32;24,4;17,5;null;
2016-08-31;0;33,7;26;19,2;null;
2016-09-30;8;34,8;27,4;21,1;null;
2016-10-31;null;null;null;null;null;
2016-11-30;287,8;33,2;27;22,8;null;
2016-12-31;64,9;32,6;26,9;22,4;null;
2017-01-31;5,9;36,3;29,2;23;null;
2017-02-28;37,2;33,4;27,2;22,7;null;
2017-03-31;251,7;33,7;27,4;22,4;null;
2017-04-30;5,2;32,8;26,3;21,4;null;
2017-05-31;10,1;33,2;26;20,3;null;
2017-06-30;0;32,3;24,8;18,3;null;
2017-07-31;4,5;29,5;22,9;17,3;null;
2017-08-31;,6;32,8;24,6;17,1;null;
2017-09-30;0;32,7;26;20,1;null;
2017-10-31;,3;36,5;29,2;22,6;null;
2017-11-30;113,8;32,9;26,8;22,4;null;
2017-12-31;null;null;null;null;null;
2018-01-31;51,4;34,8;28,1;22,8;null;
2018-02-28;236,4;31,6;26,3;22;null;
2018-03-31;153;31,8;26,3;22,1;null;
2018-04-30;9,1;32,4;26,1;21;null;
2018-05-31;0;33;25,7;19,4;null;
2018-06-30;0;31,9;24,5;18,1;null;
2018-07-31;0;31,4;23,4;16,5;null;
2018-08-31;0;33,7;26,4;19,8;null;
2018-09-30;0;35,4;28;21,4;null;
2018-10-31;null;null;null;null;null;
2018-11-30;107,6;31,6;26;21,8;null;
2018-12-31;250,3;30,4;25,1;21,1;null;
2019-01-31;6,8;34,9;27,9;21,9;null;
2019-02-28;136,8;34,5;27,7;22,8;null;
2019-03-31;255,8;34,2;27,6;22,7;null;
2019-04-30;59,8;32,8;26,6;22;null;
2019-05-31;4,3;33,7;26,5;20,8;null;
2019-06-30;0;32,2;24,8;18,8;null;
2019-07-31;0;31,7;23,9;17,4;null;
2019-08-31;0;32,6;25,1;18,9;null;
2019-09-30;16,9;35,2;27,5;21,1;null;
2019-10-31;null;null;null;null;null;
2019-11-30;71,4;35,7;29,1;23,4;null;
2019-12-31;46,1;35,3;28,7;23,4;null;
2020-01-31;411,8;31,7;26,4;22,2;null;
2020-02-29;37,2;31,8;26,7;22,6;null;
2020-03-31;337,8;30,6;25,5;22,5;null;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;

