Nome: RONDONOPOLIS
Codigo Estacao: 83410
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2016-01-28
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;288,1;32,4;26;22,6;92,3;
2010-02-28;218,5;33,7;26,3;22,6;88,5;
2010-03-31;162,3;33,9;26,5;22,6;90,9;
2010-04-30;40,3;33,2;25,3;20,5;85,1;
2010-05-31;16,7;31,7;22,7;16,5;80,8;
2010-06-30;0;33,9;23,3;15,6;72,8;
2010-07-31;1,2;32,2;22;14,2;66,6;
2010-08-31;null;null;null;null;null;
2010-09-30;18,7;38,8;28,7;20,5;46,1;
2010-10-31;164,3;35,6;27,3;21,8;72,1;
2010-11-30;206,1;33,3;26,1;21,9;82,2;
2010-12-31;167,1;33;26,1;22,3;87,6;
2011-01-31;319,1;32,2;25,5;22,1;91,7;
2011-02-28;149,7;31,6;25,4;22,3;93,2;
2011-03-31;317,8;31,8;25,4;22,6;95,3;
2011-04-30;37,5;32,9;25,8;21,2;86,4;
2011-05-31;1;31,5;23,4;18,9;83,7;
2011-06-30;0;31,9;23,2;19,6;77,5;
2011-07-31;0;33,5;null;null;67;
2011-08-31;1,1;35,6;null;null;55,2;
2011-09-30;4,9;37,5;28,5;22,2;52;
2011-10-31;null;35;27,2;22,7;71,1;
2011-11-30;null;33,7;26,4;21,9;80,8;
2011-12-31;109,2;32,9;26,2;22,3;86,7;
2012-01-31;572,2;31,3;25,3;21,9;92,8;
2012-02-29;180;32,6;25,5;21,2;89,2;
2012-03-31;53;32,9;25,7;21,4;84,9;
2012-04-30;64,9;33,1;25,8;21,5;89,5;
2012-05-31;80,6;null;null;18,7;86,9;
2012-06-30;99,9;null;null;17,1;87,8;
2012-07-31;0;31,7;22,1;15,5;76,7;
2012-08-31;0;34,7;24,4;16,5;57,8;
2012-09-30;44,1;37,3;27,2;20,6;60,1;
2012-10-31;52,7;36,5;28,2;23,1;73;
2012-11-30;277,7;33,6;26,2;22,5;87,2;
2012-12-31;96,6;34,2;26,8;23;86,7;
2013-01-31;311,6;32,2;25,7;22,3;91;
2013-02-28;null;null;null;null;null;
2013-03-31;110,7;33,5;26,3;22,3;88,9;
2013-04-30;119,8;31,7;24,7;20,4;90,2;
2013-05-31;23,2;32,6;24,3;18,8;84,8;
2013-06-30;44,9;32,4;24,3;18,9;84,3;
2013-07-31;0;32,5;22,5;16,1;71,2;
2013-08-31;0;34,1;23,7;15,1;54,2;
2013-09-30;11,2;36,1;27,2;21,2;58,5;
2013-10-31;103,9;35,3;27;22,5;77,7;
2013-11-30;95,3;34,1;26,5;22,4;84,9;
2013-12-31;332,2;32,3;25,7;22,8;92,2;
2014-01-31;163,6;32,8;24,9;21,3;90,9;
2014-02-28;null;null;null;null;null;
2014-03-31;159,4;32,2;25,6;22,5;92,7;
2014-04-30;123,9;32,4;25,8;22,1;90,7;
2014-05-31;33,1;31,6;23,9;18,3;84,8;
2014-06-30;1,5;31,9;23,4;17,4;82;
2014-07-31;74,3;31,6;22,9;17,2;80,5;
2014-08-31;0;35,2;24,8;17,3;67;
2014-09-30;67;36,3;27,4;21,8;71,7;
2014-10-31;102,6;37,1;28,5;23,4;69,8;
2014-11-30;184,6;33,2;26,3;22,5;87,2;
2014-12-31;278,7;31,5;25,5;22,6;93,5;
2015-01-31;186,4;34,1;26,2;22;88,2;
2015-02-28;290;32,6;25,6;22,3;92,8;
2015-03-31;127,1;32,5;25,7;22;91,7;
2015-04-30;36,3;32,8;26;22,3;90,8;
2015-05-31;42,2;31,3;24,5;20,3;89,9;
2015-06-30;0;32,7;23,7;17,6;81,6;
2015-07-31;19,1;32,3;23,7;17,7;78,1;
2015-08-31;7,6;36,2;25,9;18,1;58,4;
2015-09-30;113,8;36,7;27,4;21,8;68,6;
2015-10-31;96;36,8;28,1;23;77,4;
2015-11-30;157,1;34,7;26,9;23,1;87,3;
2015-12-31;106,6;34;26,4;22,9;87,6;
2016-01-31;222,3;32,5;26,2;23,4;94,2;

