Nome: GOIANIA
Codigo Estacao: 83423
Latitude: -16.67305554
Longitude: -49.26388888
Altitude: 748.53
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;98,3;31,6;25,5;20,9;69;
2010-02-28;208;33;25,9;21;65,7;
2010-03-31;190,4;31,7;25,2;20,7;73;
2010-04-30;188,4;31,9;25;18,9;57,9;
2010-05-31;0;32;23,8;17,1;54;
2010-06-30;14,3;31,5;22,8;15,3;50;
2010-07-31;0;31,7;24;17;42,8;
2010-08-31;0;33,4;24,4;16,1;34,3;
2010-09-30;16,9;35,9;27,6;20,2;33,1;
2010-10-31;107,9;33,7;26,5;20,7;59,6;
2010-11-30;281,9;30,8;24,6;20;71,9;
2010-12-31;449,8;31,2;24,7;20,4;76;
2011-01-31;287,8;30,7;24,7;20,4;73,5;
2011-02-28;240,4;31,2;24,8;20,4;71,3;
2011-03-31;367,1;30,1;24,1;20,4;79,3;
2011-04-30;62,3;31,7;25,2;19,9;62,4;
2011-05-31;0;30,8;23,8;17,4;54,9;
2011-06-30;15,3;30;22,2;15,5;55,3;
2011-07-31;0;31,5;23,1;15,5;45,5;
2011-08-31;0;34,3;25,5;17,2;34,7;
2011-09-30;1,2;35,4;27;19,5;32,7;
2011-10-31;300,3;30,8;24,1;19,5;69,5;
2011-11-30;245,4;30,3;24,5;19,8;66,8;
2011-12-31;292,8;29,5;23,8;20,2;77,9;
2012-01-31;467,4;29;23,3;19,4;76,5;
2012-02-29;358;30,9;24,2;19,6;70,1;
2012-03-31;268;31,6;25,1;20;66;
2012-04-30;176,2;32;25,1;20,1;67,6;
2012-05-31;40;29,6;23,1;17,9;60,9;
2012-06-30;18,3;30,6;23,5;17,7;58,4;
2012-07-31;3;31;22,8;15,7;48,5;
2012-08-31;0;31,4;24,1;17,4;38,8;
2012-09-30;57,3;34,9;26,7;19,5;39,9;
2012-10-31;92,8;34,9;27,4;21,1;46;
2012-11-30;224,5;30,8;24,9;20,7;72,6;
2012-12-31;188,6;32,3;26,1;20,9;65,2;
2013-01-31;353,5;29,6;24,4;20,6;76,3;
2013-02-28;125,1;31,7;25,3;20,4;68,3;
2013-03-31;234,9;31,7;25,5;21,1;71;
2013-04-30;44,3;30,7;24,6;19,9;64,7;
2013-05-31;44,1;31,2;24,2;17,7;55,8;
2013-06-30;7,3;30,5;23,7;17,8;59,8;
2013-07-31;0;31,1;22,7;15,5;48,3;
2013-08-31;,7;32,7;24,4;16,7;38,3;
2013-09-30;32,9;33,8;26,4;19,9;43,4;
2013-10-31;135,2;32,4;25,9;20,6;58,3;
2013-11-30;273,6;31,3;25;20,3;68,7;
2013-12-31;530,5;30,7;24,7;20,5;75,6;
2014-01-31;143,6;32;25,6;20,2;61,8;
2014-02-28;187,8;31,4;25,1;20,6;65,3;
2014-03-31;361,1;30,6;24,4;20,2;75,5;
2014-04-30;325,2;31,2;24,9;20,2;70,4;
2014-05-31;19,7;30,9;23,9;17,5;58,3;
2014-06-30;0;30,3;23;16,5;55;
2014-07-31;15,7;30,3;22,7;16;49,5;
2014-08-31;0;33,2;25,1;17;37,1;
2014-09-30;31,3;35,1;27,2;20,8;44,7;
2014-10-31;69,2;34,9;27,7;21,2;44;
2014-11-30;170,5;31,9;25,5;20,8;67,3;
2014-12-31;337,9;30,2;24,6;20,2;72,4;
2015-01-31;73,6;34;26,9;21;56,5;
2015-02-28;225,2;30,9;24,8;20,2;70,2;
2015-03-31;312,3;30,4;24,1;20,1;75,9;
2015-04-30;204,2;31,1;24,9;20,6;72,6;
2015-05-31;70,7;29,8;23,5;18,4;66;
2015-06-30;0;30,2;23,2;17;56,3;
2015-07-31;2,7;31,4;23,6;16,7;50,3;
2015-08-31;3,6;33,3;25,3;17,5;38,4;
2015-09-30;30,4;36,1;27,8;20,3;42,5;
2015-10-31;18,2;37,1;29,1;22,2;43,8;
2015-11-30;354,8;33,9;26,6;21,1;63,9;
2015-12-31;207,7;33;26,2;21,3;66;
2016-01-31;484,8;29,8;24,5;21;80,3;
2016-02-29;155,1;33,2;26;21;68,8;
2016-03-31;156,2;32,3;25,9;21,2;67,8;
2016-04-30;1,3;33,5;26,7;20,2;50,4;
2016-05-31;33,2;32,3;25,2;18,9;53,2;
2016-06-30;0;31,2;23,4;16,2;48,6;
2016-07-31;0;32,4;24;16,1;40,5;
2016-08-31;15,7;33,4;25,3;17,9;42,1;
2016-09-30;26,5;35,7;27,6;20,6;38,6;
2016-10-31;209,2;33,3;26,4;20,6;55,6;
2016-11-30;110,4;30,5;24,8;20,7;71,2;
2016-12-31;169,6;31,8;25,5;20,8;67,1;
2017-01-31;176,1;31,5;25,6;20,7;66,7;
2017-02-28;153,2;31,3;25,1;20,5;70,7;
2017-03-31;215,5;32,2;25,6;20,6;68,9;
2017-04-30;200,1;32;25,7;20,5;64,5;
2017-05-31;48,2;31,6;24,9;18,8;59,5;
2017-06-30;0;30,5;23,2;16,9;53;
2017-07-31;0;29;21,4;14,6;46,4;
2017-08-31;0;34,1;25,4;17;36,9;
2017-09-30;9,5;34,6;26,7;19,4;35,3;
2017-10-31;51,2;36,1;28,1;21,3;42,1;
2017-11-30;296,1;31,6;25,3;20,5;68,5;
2017-12-31;244,4;30,7;24,7;20;74,9;
2018-01-31;206,6;31,5;25,3;20,4;67;
2018-02-28;288,7;30,9;24,9;20,3;70,3;
2018-03-31;156,7;31,9;25,5;20,7;71,3;
2018-04-30;224,5;null;null;19,6;67,4;
2018-05-31;13,1;null;null;16,9;55,7;
2018-06-30;0;31;23,5;16,5;51,6;
2018-07-31;0;31,4;23,2;15,4;43,4;
2018-08-31;18,7;33,4;25,3;18,2;42,4;
2018-09-30;32;34,8;26,7;19,5;41,1;
2018-10-31;223,6;33;26,3;21,5;64,5;
2018-11-30;186;29,9;24,5;20,8;73,9;
2018-12-31;190,1;32,1;25,5;20,4;65,5;
2019-01-31;143,2;33,4;26,3;20,6;59,8;
2019-02-28;196,1;32,1;25,4;20,7;71,5;
2019-03-31;192,1;31,9;25,5;20,6;71;
2019-04-30;213,1;31,9;25,2;20,1;70,2;
2019-05-31;51,7;31,8;24,6;18,8;63,4;
2019-06-30;0;30,5;23,1;16,3;51,2;
2019-07-31;,2;30,6;22,4;15,1;44,3;
2019-08-31;0;33,1;25,3;18,3;38,5;
2019-09-30;18,6;36,6;28,7;21,1;33,9;
2019-10-31;83,2;35,1;27,6;21,5;48,4;
2019-11-30;160,6;33,3;26,4;21,2;63,7;
2019-12-31;218,8;32,2;25,7;20,8;67,2;
2020-01-31;329,2;31,3;25,4;20,8;73,7;
2020-02-29;326,6;30,7;24,7;20,6;76,6;
2020-03-31;151,6;31,3;25,2;20,8;70,2;
2020-04-30;157,2;30,6;24,7;20;68,9;
2020-05-31;20,7;29,3;22,4;16,3;60,8;
2020-06-30;0;30,8;23;16,1;52,8;
2020-07-31;0;31,3;23,3;15,8;44,8;
2020-08-31;0;32,4;24,4;17,1;38,9;
2020-09-30;1,6;35,9;28,2;20,3;31,9;
2020-10-31;122;34,7;27,3;21,3;53,7;
2020-11-30;160,7;32,2;26;20,4;58,7;
2020-12-31;306,6;31,6;25,8;20,9;66,3;
2021-01-31;249,9;31,8;25,6;20,3;65,5;
2021-02-28;417,6;30,5;24,4;20,1;74,4;
2021-03-31;275,6;30,8;24,5;19,5;69,8;
2021-04-30;136,9;31,1;24,6;18,9;60,9;
2021-05-31;0;31,1;23,6;16,7;56;
2021-06-30;0;30,9;22,7;15,6;51;
2021-07-31;0;30,6;21,8;13,4;41,5;
2021-08-31;5,3;33,4;25,3;17,7;35,9;
2021-09-30;62;37,1;28,5;20,5;35,4;
2021-10-31;245,5;33,3;26,4;20,9;60,1;
2021-11-30;358,4;30,7;24,7;20,2;74,5;
2021-12-31;396,2;30,8;24,8;20,3;74;
2022-01-31;315,4;30,2;24,7;19,8;70,3;
2022-02-28;437,8;30,9;24,7;19,8;71,9;
2022-03-31;101,3;32,4;25,5;20,1;65,5;
2022-04-30;51,1;32,9;26;19,4;56;
2022-05-31;2,2;30,4;22,6;16;57,6;
2022-06-30;,1;31,3;23,2;15,6;49,4;
2022-07-31;0;31,7;23,3;15,5;43,2;
2022-08-31;0;33,4;25;17,1;37,3;
2022-09-30;30,6;35,1;27,1;20,1;44,1;
2022-10-31;108,5;33,6;26,2;20,3;54,2;
2022-11-30;216,2;31,1;24,7;19,1;64,8;
2022-12-31;347,7;29,7;24;20;76,2;
2023-01-31;322,1;30,1;24;19,3;75,8;
2023-02-28;236,5;32,5;25,6;20,2;67,6;
2023-03-31;172,4;30,9;24,8;19,9;70;
2023-04-30;165,4;31,5;24,6;19;68,4;
2023-05-31;0;31,4;23,6;15,2;52,5;
2023-06-30;4,9;30,5;22,6;14,2;50,7;
2023-07-31;0;31,9;23,1;14,4;45,8;
2023-08-31;28;33,7;25,2;16,7;43,9;
2023-09-30;29,4;36;28,1;20,7;45,8;
2023-10-31;105,8;35,8;28,4;21,9;55,2;
2023-11-30;157,4;35,5;28;21,7;56,4;
2023-12-31;276,5;33,3;26,9;21,5;64,7;
2024-01-31;215,1;32;25,9;21,6;70,9;
2024-02-29;288,5;32;25,5;21;71,8;
2024-03-31;208,4;32,2;26,2;22,2;72,7;
2024-04-30;159,2;33;26,5;21,8;64,3;
2024-05-31;0;32,7;25,4;18,8;52,5;
2024-06-30;0;31,9;24;17,4;47,6;
2024-07-31;0;32,3;23,8;16,1;42;
2024-08-31;0;33,6;24,8;17;38;
2024-09-30;14;37,8;28,8;20,9;31,4;
2024-10-31;336,7;33,8;26,7;21,5;63,6;
2024-11-30;480,7;30,3;24,6;20,7;77,1;
2024-12-31;199,4;31,7;25,3;21,2;72,7;

