Nome: UNAI
Codigo Estacao: 83428
Latitude: -16.36638888
Longitude: -46.88944444
Altitude: 595.59
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;146,9;32,4;25,8;20,6;69,3;
2010-02-28;48,9;33,4;27;21,4;62;
2010-03-31;233,4;32,3;25,7;21,3;74,7;
2010-04-30;77,5;31,2;24,5;18,4;65,3;
2010-05-31;20,2;31,4;23,8;17,4;64,8;
2010-06-30;,6;29,5;20,9;13,6;58,8;
2010-07-31;0;30,1;22,1;14,2;51,8;
2010-08-31;0;31,4;22,5;13,4;42,4;
2010-09-30;12,8;34,3;26,1;17,4;38,5;
2010-10-31;183,6;34,2;27;21,3;60,6;
2010-11-30;202,3;30,3;24,6;20,4;75,7;
2010-12-31;272,1;31,8;25,7;21,3;72,6;
2011-01-31;187,3;31,7;25,8;21,1;69,3;
2011-02-28;61,1;33,5;26,6;20,9;61,2;
2011-03-31;469;30,9;24,7;20,6;78,9;
2011-04-30;59;30,9;24,5;18,8;67,4;
2011-05-31;2,6;30,1;22,8;16,5;63,3;
2011-06-30;0;29,9;21,7;14,7;59,1;
2011-07-31;0;30,9;22,1;13,9;52;
2011-08-31;0;33,8;24,4;15,3;41,1;
2011-09-30;0;34,7;26,1;17,4;36,2;
2011-10-31;135,6;31,6;24,9;20,3;67,2;
2011-11-30;182,3;30,3;24,6;20,2;70;
2011-12-31;328,8;30,6;24,7;20,7;76,5;
2012-01-31;194;30,3;24,5;20;73,9;
2012-02-29;186,7;31,7;25,4;19,9;66,5;
2012-03-31;91,4;32,6;25,6;20,2;65,2;
2012-04-30;22;33,2;26,2;20,6;63,2;
2012-05-31;13,4;29,7;23;17,5;65,2;
2012-06-30;,2;31,7;23,9;17,3;58,8;
2012-07-31;0;30,9;22,5;14,6;52,1;
2012-08-31;0;30,8;23,7;16,3;43,7;
2012-09-30;19;34,6;26,7;19,1;42,5;
2012-10-31;29,4;35,8;28,1;20,6;44,9;
2012-11-30;381,1;31,1;25,3;21,3;77;
2012-12-31;108,2;33,9;27,3;21,6;62;
2013-01-31;287,9;30,9;25,3;21,2;75,5;
2013-02-28;73,4;32,8;26,3;20,9;65,7;
2013-03-31;181,7;32;26,1;21,4;72,9;
2013-04-30;78,5;30,3;24,2;19,5;73,1;
2013-05-31;21,2;30,7;23,6;17,3;64,4;
2013-06-30;51,6;29,9;23;17;68,6;
2013-07-31;0;30,8;22,6;15,4;57,9;
2013-08-31;0;31,9;23,9;15,7;45,8;
2013-09-30;67,6;33,6;26,1;19,2;50,5;
2013-10-31;139,3;32;25,8;20,3;62,3;
2013-11-30;151,4;31,8;25,7;20,6;68,3;
2013-12-31;243,6;31,7;25,4;21,4;77,1;
2014-01-31;46,4;32,4;26,3;20,6;62,8;
2014-02-28;138,3;32,3;26;20,4;66,5;
2014-03-31;201,6;31,2;25,4;20,9;74,1;
2014-04-30;139,8;31,4;25,4;20,6;71,9;
2014-05-31;5,8;30,7;23,3;16,9;65;
2014-06-30;0;30,2;22,6;15,9;61,6;
2014-07-31;,4;29,6;22,1;15;56,4;
2014-08-31;0;32,6;24;15,4;45,4;
2014-09-30;2;35,4;27,8;20,2;41,6;
2014-10-31;28,1;35,6;27,8;20,6;47,1;
2014-11-30;206,7;32,8;26,3;21,3;67,9;
2014-12-31;270,9;30,7;25,1;20,6;74,3;
2015-01-31;79,6;34,8;27,8;21,4;55,9;
2015-02-28;183,6;32,1;25,8;21;69,7;
2015-03-31;219;31,1;25;20,7;77,5;
2015-04-30;160,4;31,4;25,3;21,2;75,8;
2015-05-31;39,2;29,1;23,1;18,2;74,1;
2015-06-30;0;29,4;22,4;16,1;63,4;
2015-07-31;1,3;30,6;23;15,8;57,1;
2015-08-31;0;32,5;24,3;15,9;45,7;
2015-09-30;39,2;36,3;27,8;19,8;47,4;
2015-10-31;24,1;37,4;29,5;21,8;43,2;
2015-11-30;264,7;35,5;28,4;22,3;57,6;
2015-12-31;80,6;34,7;27,5;22,2;62,2;
2016-01-31;461;30,7;25,3;21,7;79,7;
2016-02-29;51,2;35;28,1;22,4;59,6;
2016-03-31;137,8;33,2;26,8;21,7;66,8;
2016-04-30;37;34;26,7;20;55,9;
2016-05-31;,6;32,2;24,8;18,4;60,5;
2016-06-30;0;31,4;23,2;15,9;52,5;
2016-07-31;0;32;23,7;15,9;46,3;
2016-08-31;,7;33;25,3;17,7;45,5;
2016-09-30;69,2;36;27,9;20,6;41,9;
2016-10-31;69,5;35,3;28,3;22,7;49;
2016-11-30;245,2;32;26;21,9;69,5;
2016-12-31;171,4;32,7;26,4;21,2;64;
2017-01-31;55,2;34;27;21,5;61,1;
2017-02-28;225,4;31,6;25,7;21,2;71,5;
2017-03-31;123,1;32,6;26,6;21,5;65,4;
2017-04-30;16;33;26,7;21,3;61,7;
2017-05-31;31,8;31,6;24,8;19,1;65,3;
2017-06-30;0;30,9;23,6;16,7;57,2;
