Nome: MONTES CLAROS
Codigo Estacao: 83437
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;37,8;31,5;25,1;19,7;64,8;
2010-02-28;17,3;33,1;26,1;20,4;58,6;
2010-03-31;262,5;30;24,3;20,6;77,9;
2010-04-30;15,7;29,9;23,1;18;69,7;
2010-05-31;51,7;29,9;22,5;17,1;68,8;
2010-06-30;0;27,9;19,7;13,2;61,4;
2010-07-31;,3;28,1;20,6;14;54,7;
2010-08-31;0;29,2;20,9;13,2;46,4;
2010-09-30;2,9;31,4;23,7;16,7;44,7;
2010-10-31;85,7;33,2;26,1;20,5;54,7;
2010-11-30;302,2;28,8;23,6;20,1;78,2;
2010-12-31;282,2;30;24,3;20,1;74,8;
2011-01-31;148,7;29,8;24;19,4;71;
2011-02-28;8,9;32,3;25,4;19,8;58,7;
2011-03-31;172,6;29,1;23,7;20;79,7;
2011-04-30;65,8;29,5;23,4;18,7;71,6;
2011-05-31;9;28,7;21,3;15,5;65;
2011-06-30;0;28,8;20,8;14,4;60,4;
2011-07-31;0;28,8;20,4;13,4;53,5;
2011-08-31;0;31,2;22,9;15,1;43,8;
2011-09-30;0;31,3;23,2;15,5;37,8;
2011-10-31;66;29,6;23,7;19,4;65,2;
2011-11-30;192,2;28,5;22,7;18,5;71,5;
2011-12-31;410,7;28,3;23,4;19,8;78,6;
2012-01-31;158,2;29,1;23,4;19,4;71,6;
2012-02-29;5,4;31,2;24,8;19,5;60,5;
2012-03-31;40,6;31,4;24,9;19,5;60,6;
2012-04-30;17,6;32,4;25,1;18,7;56,7;
2012-05-31;39,7;28,7;22,1;17,1;64,2;
2012-06-30;,8;29,6;22,1;15,8;58,7;
2012-07-31;2,3;29;21,3;14,5;52,3;
2012-08-31;5,3;28,2;21,4;15,3;49,3;
2012-09-30;10,2;32;24,6;17,7;41,7;
2012-10-31;30,4;33,4;26,3;19,7;39,9;
2012-11-30;273,5;28,6;23,8;20,8;78,5;
2012-12-31;36,6;33;26,5;20,6;56,4;
2013-01-31;326,5;30,2;25;20,7;70,5;
2013-02-28;4,6;32,4;25,8;19,8;56,5;
2013-03-31;102,1;32,1;25,9;20,9;64,1;
2013-04-30;98,5;28,8;23,2;18,7;72,6;
2013-05-31;0;29,8;22,6;16,5;61,7;
2013-06-30;2,1;29,3;22,3;16,3;60,6;
2013-07-31;0;29,4;22;15,5;53,1;
2013-08-31;0;30,1;22,8;16,3;46,5;
2013-09-30;37,8;31,5;24,8;19;48,9;
