Nome: SALINAS
Codigo Estacao: 83441
Latitude: -16.154862
Longitude: -42.284921
Altitude: 476.07
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;28,3;34,5;26,4;19,8;64,1;
2010-02-28;88,8;34,6;26,7;20,9;64,7;
2010-03-31;247,7;31,2;25,1;21,2;81,3;
2010-04-30;75;29,6;23,4;19,1;80,6;
2010-05-31;16,6;29,6;22,7;18;80,2;
2010-06-30;,7;27,7;20;13,8;72,2;
2010-07-31;6;27,8;21,3;15,7;65,2;
2010-08-31;0;29,6;21,3;13,3;57,8;
2010-09-30;0;32;24,1;16,4;55,1;
2010-10-31;25,6;33,4;26,6;20,9;63,7;
2010-11-30;303;30,5;24,6;20,5;81,3;
2010-12-31;241,5;30,7;24,7;20,3;83,2;
2011-01-31;52,6;31;24,7;20;78,5;
2011-02-28;28,4;33,1;25,5;19,6;70,2;
2011-03-31;131,2;31,6;24,8;20,5;80,6;
2011-04-30;38,6;30,1;23,6;19,2;79,1;
2011-05-31;1,5;28,7;21,8;16,4;71,2;
2011-06-30;0;28,8;21;14,6;67;
2011-07-31;3,4;29,5;20,9;13,5;64;
2011-08-31;,2;31,5;22,9;15;55,8;
2011-09-30;0;31,6;23,2;14,6;51,7;
2011-10-31;95,1;30,3;24,6;19,6;70,5;
2011-11-30;138,3;28,3;23,3;19,8;73,8;
2011-12-31;216,9;29,9;24,3;20,3;76,5;
2012-01-31;65,6;30,2;24,3;19,7;73,4;
2012-02-29;48;32,4;25,6;19,8;59,9;
2012-03-31;25,2;33,2;26;20;59,7;
2012-04-30;1;34,1;26,2;19,4;54,9;
2012-05-31;63,7;29,2;22,9;17,9;68,9;
2012-06-30;0;29,9;22,7;16,5;64,7;
2012-07-31;,8;29,8;22,1;15,2;60,8;
2012-08-31;1,4;28,9;22;15,5;58,4;
2012-09-30;6,2;33;25,3;18,4;51,1;
2012-10-31;3,3;34,4;26,9;20,4;50,6;
2012-11-30;243,2;29,2;24,6;21,5;81,4;
2012-12-31;54,9;33,6;26,1;19,7;67,8;
