Nome: ARACUAI
Codigo Estacao: 83442
Latitude: -16.84888888
Longitude: -42.06083333
Altitude: 317.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;49,7;36,4;28;21,9;60,1;
2010-02-28;133,2;37;28,2;22;59,7;
2010-03-31;262;33,2;26,3;22;75,2;
2010-04-30;2,9;32,2;25,3;20,3;69;
2010-05-31;31,3;31,3;24,2;18,9;68,8;
2010-06-30;0;28,2;21,3;15,7;63,7;
2010-07-31;6,8;null;null;17,1;59,5;
2010-08-31;0;null;null;16;50,1;
2010-09-30;0;null;null;19,1;47,5;
2010-10-31;93,2;34,1;26,7;21,8;58,9;
2010-11-30;216,1;31,3;25,3;21,6;77,2;
2010-12-31;106;32,7;25,8;21;77,5;
2011-01-31;81,3;33,5;26,1;20,9;73;
2011-02-28;19;36,4;27,9;21,5;59,1;
2011-03-31;171,8;33,6;26,6;22,1;71,4;
2011-04-30;13,2;32,1;25,2;20,2;73,2;
2011-05-31;,5;31,1;23,3;17,3;66,4;
2011-06-30;0;30,4;22,6;16,7;62,6;
2011-07-31;1,4;30,7;22,2;15,6;59,5;
2011-08-31;0;32,9;24,3;17,1;51,1;
2011-09-30;0;32,5;24,1;17,3;48,6;
2011-10-31;49,1;31,5;25,3;21,2;64,9;
2011-11-30;125,1;30,7;24,6;20,4;69,5;
2011-12-31;156,2;31,6;25,4;21,2;75,6;
2012-01-31;59,7;32,5;25,8;20,8;69,9;
2012-02-29;5,9;36,3;27,5;21,1;56,9;
2012-03-31;15;36;28;21,9;54,1;
2012-04-30;39,8;35,2;27,3;21,4;57;
