Nome: GUARATINGA
Codigo Estacao: 83446
Latitude: -16.58081
Longitude: -39.783182
Altitude: 197.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;53,9;33,6;26,7;22,3;71,5;
2010-02-28;58,6;32,6;26,6;22,5;74,4;
2010-03-31;221,3;32;26,2;22,6;81,2;
2010-04-30;113,8;29,9;25;21,6;80,5;
2010-05-31;54,1;29;24;20,5;80,2;
2010-06-30;13,9;26,9;21,7;18,1;76,4;
2010-07-31;62,3;26,1;21,6;18,5;81,1;
2010-08-31;23,1;26,2;20,8;16,8;78,7;
2010-09-30;54,8;27,7;22;18;77,1;
2010-10-31;64,5;28,8;23,6;20,5;79,8;
2010-11-30;237,7;29,9;24,6;21,4;81,5;
2010-12-31;137,3;31,3;25,8;22,1;76,2;
2011-01-31;87;30,9;25,4;21,8;78,3;
2011-02-28;54,3;31,7;25,7;21,7;76,4;
2011-03-31;262;31,6;25,8;22,2;79;
2011-04-30;276,4;29,1;24,5;21,5;85,5;
2011-05-31;55;27,5;22,7;19,1;81,7;
2011-06-30;8,2;27;21,9;18,4;78,8;
2011-07-31;51,1;null;null;17,1;81,2;
2011-08-31;6,8;null;null;17,7;76;
2011-09-30;4;null;null;17,5;68,9;
2011-10-31;240,9;null;null;20,2;81,3;
2011-11-30;144,1;null;null;19,9;83,5;
2011-12-31;204,8;null;null;21,3;78,8;
2012-01-31;77,1;null;null;21,2;78,4;
2012-02-29;67;null;null;20,8;76,3;
2012-03-31;54,6;null;null;21;76,3;
2012-04-30;14,3;null;null;20,8;74,2;
2012-05-31;65,2;null;null;19,8;82,7;
2012-06-30;47,9;null;null;19;82,2;
2012-07-31;47,2;null;null;17,4;82,1;
2012-08-31;163,1;null;null;17,6;80,6;
2012-09-30;64,6;null;null;18,9;77;
2012-10-31;63,5;null;null;19,5;76;
2012-11-30;207;28,8;24,3;21,5;83,6;
2012-12-31;11,2;32,7;26,1;21,7;69,6;
2013-01-31;110,5;31,5;25,9;22,1;75,3;
2013-02-28;34,8;32,1;25,9;21,7;72,5;
2013-03-31;25;33,2;26,6;22,4;70,3;
2013-04-30;131,6;29,5;24,5;21,1;79;
2013-05-31;36,2;28,3;23,5;19,9;78,1;
2013-06-30;91,1;27,1;22,7;19,6;82,4;
2013-07-31;59,5;26,5;21,9;18,6;81,1;
2013-08-31;92,5;26,5;21,5;17,7;79,4;
2013-09-30;86,7;27;22,3;19,1;80,6;
2013-10-31;73,7;27,9;23;19,6;77,2;
2013-11-30;280,1;29,4;24,2;20,5;77;
2013-12-31;260;30;25,2;22,1;79,8;
2014-01-31;69,2;30,3;25,2;21,7;77,1;
2014-02-28;71,9;30,4;25,1;20,9;77,7;
2014-03-31;102;30,1;25,1;21,6;79,9;
2014-04-30;54,4;30,4;25;21,2;75,2;
2014-05-31;41,4;28,7;23,4;19,5;78,3;
2014-06-30;121;26,8;22,1;18,7;82,9;
2014-07-31;143,1;25,8;21,4;18,5;84;
2014-08-31;18,3;26,8;21,5;17,4;77,1;
2014-09-30;20,9;28,2;22,5;18,4;73,8;
2014-10-31;127,1;28,8;23,2;19,5;75,2;
2014-11-30;116,2;28,7;23,9;20,7;79,8;
2014-12-31;118,8;29,7;24,6;21;78,5;
2015-01-31;35,6;31,9;25,8;21,4;71,2;
2015-02-28;96,4;31,5;25,9;21,8;75,9;
2015-03-31;75,9;32,1;26,1;22;74,9;
2015-04-30;41,8;30,7;25,3;21,5;74,7;
2015-05-31;79,3;27,7;23,1;20;82,2;
2015-06-30;100,4;26,6;22,2;19,4;83,9;
2015-07-31;74,5;26,3;21,6;18,3;84,9;
2015-08-31;77,6;26,2;21,3;17,7;81,6;
2015-09-30;2,4;30,8;24,2;19,3;70,6;
2015-10-31;17,9;31,7;25,1;20,5;70,4;
2015-11-30;53,1;33,1;26,6;22,2;69,1;
2015-12-31;7,5;35;27,5;22,4;63,6;
2016-01-31;340,4;31,8;26;22,9;77,9;
2016-02-29;0;34,3;27,5;22,6;64,2;
2016-03-31;44,4;33,7;27,1;22,6;67,8;
2016-04-30;13,1;32,2;26,1;21,5;70,8;
2016-05-31;18;30,1;24,4;20,1;72,5;
2016-06-30;13,6;28,5;23;19,1;73,3;
2016-07-31;122,7;26,5;21,8;18,6;81;
2016-08-31;48,7;27,1;22,2;18,4;78,8;
2016-09-30;37,6;28,5;23,1;19,3;75,1;
2016-10-31;183,7;29,1;24,1;20,9;79,5;
2016-11-30;236;28,8;24,2;21,1;82,5;
2016-12-31;124,8;30,7;25,6;21,9;77,4;
2017-01-31;22,5;32,2;26,1;21,6;71,7;
2017-02-28;175,7;30,3;25,3;21,6;79,8;
2017-03-31;71,1;31,8;26;22;74,6;
2017-04-30;82,2;29,9;24,8;21,4;81,2;
2017-05-31;86,1;27,4;23;19,9;82;
2017-06-30;86,7;27,3;22,4;19,1;83;
2017-07-31;124,9;24,2;20,1;17,2;84,4;
2017-08-31;41,3;26,1;20,8;16,9;77,7;
2017-09-30;71,1;25,8;21,2;17,9;80,3;
2017-10-31;4,6;29,7;23,9;19,7;72,6;
2017-11-30;92,3;29,3;24,3;20,7;78,8;
2017-12-31;212,9;30,3;25,2;21,9;79,7;
2018-01-31;63,6;31,6;26;21,8;72,6;
2018-02-28;154,4;31,4;25,8;21,5;77,7;
2018-03-31;86,5;31,8;26,1;22,5;77,4;
2018-04-30;141,8;28,8;24;20,6;82,3;
2018-05-31;76,1;27,7;23,1;19,7;80,8;
2018-06-30;58,7;26,6;22;18,7;85,5;
2018-07-31;47,8;26,9;21,3;17,2;82,3;
2018-08-31;8,4;28,3;22,6;18,3;75,1;
2018-09-30;12,5;29,3;23,3;19,1;73,3;
2018-10-31;32,6;30,5;24,6;20,7;73,3;
2018-11-30;216,1;29,2;24,5;21,4;81;
2018-12-31;194,9;30,5;25,2;21,4;78,4;
2019-01-31;28,3;32,8;26,3;21,9;71,1;
2019-02-28;9,2;35,6;28,2;23,2;66,1;
2019-03-31;68,9;33,5;27;22,7;71,5;
2019-04-30;201,9;31,8;26,1;22,2;79,2;
2019-05-31;37,2;30,1;24,9;21;80;
2019-06-30;81,3;27,8;23;19,2;79,3;
2019-07-31;61;26,3;21,4;17,8;79,8;
2019-08-31;130,1;26,5;21,8;18,1;80,7;
2019-09-30;38,2;28,5;23,1;19,2;76,8;
2019-10-31;62;30,1;24,2;20,2;77,3;
2019-11-30;61,9;31,7;25,5;21,4;74,3;
2019-12-31;123,9;31,2;25,5;21,6;77,3;
2020-01-31;128,4;32,5;26,3;22,2;78,3;
2020-02-29;12,4;33,8;27,3;23;73,8;
2020-03-31;null;31;25,7;22,3;81,3;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;28,7;null;21,1;83,5;
2020-12-31;22,3;31,8;25,6;21,2;70,9;
2021-01-31;56,4;31;25,3;21,3;74,2;
2021-02-28;87,9;31,5;25,7;21,9;75,7;
2021-03-31;28,8;33;26;21,1;68,6;
2021-04-30;74,1;30,1;24,6;20,7;77,2;
2021-05-31;12,4;29,2;23,4;18,8;74,5;
2021-06-30;31,8;27,3;22;18,2;78,9;
2021-07-31;27,9;27,2;21,4;17;74,4;
2021-08-31;28,3;26,6;21,3;17,4;78,8;
2021-09-30;32,8;29,3;23,5;19,6;75,1;
2021-10-31;104;29,7;24,4;21;79,5;
