Nome: JURAMENTO
Codigo Estacao: 83452
Latitude: -16.77499999
Longitude: -43.66722221
Altitude: 655.59
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2024-02-29
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;42;31,1;24;18,6;72,3;
2010-02-28;33;32,2;24,7;18,7;66,7;
2010-03-31;165,1;30,1;23,8;19,5;80,1;
2010-04-30;5,6;29,4;22,1;16,5;74,2;
2010-05-31;46;29,7;21,6;15,8;75,4;
2010-06-30;15,8;27,7;null;null;71,5;
2010-07-31;,8;27,8;null;null;65,8;
2010-08-31;0;29,1;null;null;54,7;
2010-09-30;0;31,3;null;null;51,7;
2010-10-31;83,5;32,7;null;null;61,7;
2010-11-30;243,6;28,8;null;null;80,5;
2010-12-31;305,6;29,8;null;null;80,3;
2011-01-31;149,9;29,8;null;null;76,3;
2011-02-28;15,7;31,9;null;null;68,4;
2011-03-31;217,1;29,2;null;null;83,8;
2011-04-30;39,1;29,2;null;null;77,5;
2011-05-31;0;28,4;null;null;75,2;
2011-06-30;0;28,1;null;null;72,1;
2011-07-31;0;28,6;18,9;11,1;65;
2011-08-31;0;30,9;21,1;13,8;60,4;
2011-09-30;0;31;22,1;14;52,2;
2011-10-31;109,1;30;23,3;18,1;70,1;
2011-11-30;212,9;28,2;22;17,1;77,1;
2011-12-31;305,3;28,6;22,7;19,3;83,3;
2012-01-31;111,9;29,3;22,4;17,6;79,6;
2012-02-29;50,1;31;23,2;17,4;73,9;
2012-03-31;44,8;31;23,4;17,6;71,8;
2012-04-30;1,1;32,2;23,5;16,4;68,5;
2012-05-31;53,9;28,7;20,9;14,7;72,8;
2012-06-30;0;29,5;20,8;14,3;69,7;
2012-07-31;3,4;28,8;20,2;14,4;62,7;
2012-08-31;2,5;27,9;20,3;14,5;59,4;
2012-09-30;2,4;32;23,5;16,5;51,9;
2012-10-31;4,2;33,3;25,5;19,2;49,9;
2012-11-30;218,9;29,1;23,5;20;80,8;
2012-12-31;50,1;33,1;25,5;19,4;63,4;
2013-01-31;172,3;30,8;24,4;19,6;74,2;
2013-02-28;21,4;32,4;24,8;19,3;65,3;
2013-03-31;166,1;31,7;25,1;20,4;71,9;
2013-04-30;26,8;28,8;22,4;18;79,3;
2013-05-31;0;29,7;21,6;14,9;71,2;
2013-06-30;2;29;null;null;71,7;
2013-07-31;0;29,2;null;null;64,9;
2013-08-31;0;30,1;null;null;57,3;
2013-09-30;25,9;31,3;null;null;59,8;
2013-10-31;120,7;30,9;null;null;67,7;
2013-11-30;235;30,9;null;null;72,7;
2013-12-31;614,1;28,5;null;null;86,5;
2014-01-31;48,6;30,9;null;null;74,6;
2014-02-28;6,1;31,4;null;null;68,4;
2014-03-31;35,1;30,8;null;null;75,6;
2014-04-30;64,8;31,1;23,3;17,8;73,2;
2014-05-31;0;30;21;14,4;68;
2014-06-30;1,9;28,3;null;null;70,1;
2014-07-31;0;28,2;null;null;67,2;
2014-08-31;0;29,8;21,5;13,8;55;
2014-09-30;29;31,8;23,4;16,5;53,6;
2014-10-31;82;31,6;24,2;17,5;60,3;
2014-11-30;83,6;30,6;24,2;19,1;76,8;
2014-12-31;82,2;30,7;23,9;18,2;71,5;
2015-01-31;6,9;34,2;25,9;19,1;54,3;
2015-02-28;100,5;31,2;24,4;19,1;67,3;
2015-03-31;136,4;31,8;24,4;18,9;71,5;
2015-04-30;17,3;30,7;23,6;18;72,5;
2015-05-31;,8;29,3;21,6;15,4;69,7;
2015-06-30;0;28,9;21;14,4;65,5;
2015-07-31;,6;29;20,7;13,2;61,9;
2015-08-31;0;29,7;21,5;14,2;55,2;
2015-09-30;0;35,3;26,3;17,9;44,4;
2015-10-31;4,3;35,2;27,1;20,2;45,7;
2015-11-30;102,1;35;27,5;21,4;56,7;
2015-12-31;100,6;34,1;26,3;20,3;62;
2016-01-31;614,5;29,5;24;20;81,4;
2016-02-29;12,3;32,5;24,7;18,2;69,4;
2016-03-31;53,6;32,2;24,7;19,3;69,2;
2016-04-30;17,7;32;23,8;17,6;66,5;
2016-05-31;1,6;30,6;22;15,9;69,6;
2016-06-30;0;29,5;20,6;13,5;64,8;
2016-07-31;0;29,9;20,4;12,2;60,3;
2016-08-31;2,7;31,1;22,4;14,7;56,1;
2016-09-30;42,4;32,7;24,7;17,8;51;
2016-10-31;67,9;32,8;25,4;19,3;58,5;
2016-11-30;114,4;30,7;24,4;19,8;71;
2016-12-31;90,6;31,4;24,5;19,3;70,4;
2017-01-31;27,4;33,4;25,6;19,1;57,1;
2017-02-28;168,1;30,6;23,8;18,9;74,6;
2017-03-31;221,6;31,5;23,8;18,4;72,1;
2017-04-30;7;31,3;23,2;17;70,4;
2017-05-31;11,6;29,5;21,9;16,2;70;
2017-06-30;0;29,5;20,8;14,4;63,8;
2017-07-31;,7;26,2;18,6;12,2;61,3;
2017-08-31;0;30,4;20,7;12,4;51,9;
2017-09-30;0;29,8;22,4;15,7;49,3;
2017-10-31;23,6;33,9;25,9;19;45,8;
2017-11-30;85;30,2;24,5;20;67,1;
2017-12-31;278,3;29;23,4;19,3;78,8;
2018-01-31;62,6;31,4;24,6;19,4;68,7;
2018-02-28;282,2;28,8;23,3;19,4;81,3;
2018-03-31;65,2;30,1;23,7;19,7;80,4;
2018-04-30;35,7;28,8;22;17,5;77,1;
2018-05-31;12,1;28,5;20,6;15;76,3;
2018-06-30;0;28,8;19,9;13,3;71,5;
2018-07-31;0;28,9;19,5;12,2;66,9;
2018-08-31;,8;30,9;22,3;14,9;64,7;
2018-09-30;5,9;32,6;24,2;17,2;52,7;
2018-10-31;187,6;32,9;25,9;19,9;66,5;
2018-11-30;151,6;29;23,5;19,5;77,6;
2018-12-31;256,1;29,7;23,5;18,7;81,2;
2019-01-31;0;32,7;24,7;18,3;67;
2019-02-28;163,7;32;24,9;19,7;76,1;
2019-03-31;119;31,2;24,5;20,2;77,7;
2019-04-30;17,5;31,4;23,9;19,2;78,7;
2019-05-31;36,3;31;22,9;17,3;74,8;
2019-06-30;0;29,3;20,6;14;69,2;
2019-07-31;0;29;19,6;11,9;71,2;
2019-08-31;0;29,8;21,4;14,3;60,9;
2019-09-30;37,6;33,6;24,4;16,6;52,4;
2019-10-31;43,1;33,4;null;18,8;57;
2019-11-30;142,2;33,3;null;20,1;63,2;
2019-12-31;220,5;31,8;null;null;null;
2020-01-31;314;29,8;null;null;81,1;
2020-02-29;31,1;30,7;null;null;78,6;
2020-03-31;null;null;null;null;null;
2020-04-30;null;null;null;null;null;
2020-05-31;null;null;null;null;null;
2020-06-30;null;null;null;null;null;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;null;null;null;
2021-10-31;null;null;null;null;null;
2021-11-30;null;null;null;null;null;
2021-12-31;null;null;null;null;null;
2022-01-31;null;null;null;null;null;
2022-02-28;null;null;null;null;null;
2022-03-31;null;null;null;null;null;
2022-04-30;null;null;null;null;null;
2022-05-31;null;null;null;null;null;
2022-06-30;null;null;null;null;null;
2022-07-31;null;null;null;null;null;
2022-08-31;null;null;null;null;null;
2022-09-30;null;null;null;null;null;
2022-10-31;null;null;null;null;null;
2022-11-30;null;null;null;null;null;
2022-12-31;null;null;null;null;null;
2023-01-31;null;null;null;null;null;
2023-02-28;null;null;null;null;null;
2023-03-31;null;null;null;null;null;
2023-04-30;null;null;null;null;null;
2023-05-31;null;null;null;null;null;
2023-06-30;null;null;null;null;null;
2023-07-31;null;null;null;null;null;
2023-08-31;null;null;null;null;null;
2023-09-30;null;null;null;null;null;
2023-10-31;null;null;null;null;null;
2023-11-30;null;null;null;null;null;
2023-12-31;null;null;null;null;null;
2024-01-31;null;null;null;null;null;
2024-02-29;null;null;null;null;null;

