Nome: JATAI
Codigo Estacao: 83464
Latitude: -17.9236111
Longitude: -51.71749999
Altitude: 669.84
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;190,4;30,9;24,5;20,5;77,8;
2010-02-28;214,5;32;24,7;20,5;77,6;
2010-03-31;358;32;24,9;20,4;73,8;
2010-04-30;165,4;30,6;22,5;17;72,2;
2010-05-31;6,3;29,1;19,3;13,1;70,4;
2010-06-30;2,1;30,6;19;10,7;60,7;
2010-07-31;4,1;31,4;21;12,9;52,2;
2010-08-31;0;32,8;20,8;11,1;41,6;
2010-09-30;9,9;35,7;25,4;17,1;41,6;
2010-10-31;197,2;32,9;24,7;18,9;61,7;
2010-11-30;201,7;31,2;24,2;19,6;71,9;
2010-12-31;216,3;30,7;24,3;20,4;78,1;
2011-01-31;244,5;31;24,3;20,2;76,8;
2011-02-28;240,3;31,2;24,2;20,1;78,6;
2011-03-31;359,4;29,8;23,7;20,6;82,5;
2011-04-30;92,6;30,6;22,7;17,6;76;
2011-05-31;24,8;28,9;19,8;13,5;71,8;
2011-06-30;30;28,7;18,5;11,6;67,4;
2011-07-31;0;30,9;20,2;12,5;56,4;
2011-08-31;5,5;33;22,1;13,6;47,5;
2011-09-30;19,2;34,8;24,3;16,2;43,6;
2011-10-31;114,4;31,3;24;19,4;69,4;
2011-11-30;123,6;31,3;23,8;18,5;68,1;
2011-12-31;260,1;30,6;24,3;20,2;null;
2012-01-31;342;29,4;23,2;19,8;81;
2012-02-29;326,9;31,5;24;19,2;74,4;
2012-03-31;243,8;31,3;23,5;19,2;77,3;
2012-04-30;181,7;31,1;23,4;19,2;78,9;
2012-05-31;49,8;28,4;19,9;14,7;77,2;
2012-06-30;52,3;28,5;19,8;14,4;75,3;
2012-07-31;3,1;29,5;18,6;10,8;61,7;
2012-08-31;0;31,6;22,1;14,2;41,5;
2012-09-30;74,5;34,3;24,1;16,2;48,5;
2012-10-31;77,5;35;26;19,3;55,7;
2012-11-30;286;30,8;24,5;20,6;76,1;
2012-12-31;154,6;32;24,9;20,5;null;
2013-01-31;278,5;30,4;24,2;20,7;80,9;
2013-02-28;203,6;30,2;23,8;20,1;80;
2013-03-31;370,9;31,5;24,4;20,4;78;
2013-04-30;161,9;29,4;22,1;17,7;79,4;
2013-05-31;39,4;30,1;20,7;14,4;71,6;
2013-06-30;9,2;30,4;21;15,2;73,3;
2013-07-31;,3;29,6;18,9;11;57,5;
2013-08-31;2,6;31,7;20,2;11,1;45,7;
2013-09-30;6,7;33,4;24,2;16,6;49,7;
2013-10-31;97,4;33,2;24,9;19,6;null;
2013-11-30;139,7;31,8;24,6;20,1;71,4;
2013-12-31;226,6;31,6;24,8;20,9;75,3;
2014-01-31;140,1;32,1;24,2;19,3;71,8;
2014-02-28;175,6;31,6;24,3;19,7;72,4;
2014-03-31;249,3;31,2;23,9;19,8;77,7;
2014-04-30;242,9;30,5;23,5;19,4;78,1;
2014-05-31;1;29;20,2;14,5;72,4;
2014-06-30;9;29,7;19,9;13,5;69,1;
2014-07-31;56,3;29,3;19,9;12,9;61,4;
2014-08-31;0;32,8;21,6;12,9;48,2;
2014-09-30;90,7;34,3;24,7;17,6;56,7;
2014-10-31;152;34;25;18,4;null;
2014-11-30;277,5;31,3;24,3;20,1;74,8;
2014-12-31;309,2;30,6;24,3;20,5;77;
2015-01-31;93,1;33,4;25,3;19,8;68,2;
2015-02-28;251,7;31,5;24,2;20,1;76,3;
2015-03-31;275,2;30,5;23,8;20;79,4;
2015-04-30;113,1;31;24;19,9;78,5;
2015-05-31;73,4;28,5;21,3;16,6;78;
2015-06-30;8,9;29,6;20,1;14;70,6;
2015-07-31;45,2;29,4;20,4;14,3;null;
2015-08-31;1,5;32,9;21,9;13;48,5;
2015-09-30;62,2;34,2;24,8;17,5;55,2;
2015-10-31;155,6;34,6;26,1;20,1;61,5;
2015-11-30;176,9;32,7;25,2;20,6;null;
2015-12-31;187,6;32,2;24,9;20,5;75,4;
2016-01-31;211,1;30,8;25;21,7;78,1;
