Nome: RIO VERDE
Codigo Estacao: 83470
Latitude: -17.78527777
Longitude: -50.96472222
Altitude: 780.04
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;222,7;29,8;23,9;19,9;78,2;
2010-02-28;283,6;31,5;24,2;20,1;75,4;
2010-03-31;252,5;31,4;24,7;19,9;73,1;
2010-04-30;59,4;29,8;23,1;17,7;64,2;
2010-05-31;10,5;29;20,9;15,2;60,6;
2010-06-30;,2;29,7;20,9;13,7;48,7;
2010-07-31;25;30,2;21,7;14,3;45,6;
2010-08-31;0;31,7;22,5;14,4;35,8;
2010-09-30;3,3;34,9;25,9;18,4;38,4;
2010-10-31;142,2;32,7;25;19;57,3;
2010-11-30;283,5;30,5;23,9;19,2;71,3;
2010-12-31;205,1;30,3;24,2;19,9;76,6;
2011-01-31;257;29,4;23,8;19,7;79,9;
2011-02-28;258,8;29,5;23,3;19,3;81,6;
2011-03-31;419,1;28,5;23,1;19,7;83,9;
2011-04-30;70,4;29,7;23,4;18,5;72;
2011-05-31;,7;28,3;21;15,1;65,8;
2011-06-30;63,3;27,9;20,1;13,7;62,4;
2011-07-31;0;29,8;21,5;14,4;52,4;
2011-08-31;4,5;32,4;23,7;16,1;44,1;
2011-09-30;10,5;33,8;25;17,6;44,5;
2011-10-31;264,1;30,4;23,5;18,9;72,6;
2011-11-30;145;30,5;23,5;18,4;69,4;
2011-12-31;164,9;29,2;23,5;19,4;80;
2012-01-31;210,1;28;22,6;18,9;82,2;
2012-02-29;387;30,4;23,5;18,8;73,7;
2012-03-31;215,2;30,9;23,9;19;75,4;
2012-04-30;82,3;30,3;24;19,1;75,7;
2012-05-31;60,4;27,8;21;15,5;71,2;
2012-06-30;18,7;27,9;21,1;15,4;69,5;
2012-07-31;1,4;29,3;20,6;13,6;50,6;
2012-08-31;0;30,5;22,2;15;44,7;
2012-09-30;96,5;33,6;25,2;18,3;43,2;
2012-10-31;52,9;34,3;26,3;19,6;51,7;
2012-11-30;254,8;30,3;24,1;19,7;76;
2012-12-31;null;30,9;24,2;19,9;73,1;
2013-01-31;null;null;null;null;null;
2013-02-28;192,1;29,8;23,7;19,2;76,8;
2013-03-31;533,4;30,5;24;19,4;77,5;
2013-04-30;131,3;28,4;22,3;17,5;72,2;
2013-05-31;6,9;29,3;22,4;16,1;58,7;
2013-06-30;44,6;29,1;22;16,5;64,2;
2013-07-31;,4;28,8;20,5;13,6;52;
2013-08-31;0;30,5;21,9;13,5;41,5;
2013-09-30;15,7;32,4;24,2;16,9;48;
2013-10-31;97;32,5;24,5;18,9;63,6;
2013-11-30;340,9;30,8;24;19,4;72,5;
2013-12-31;null;30,3;24,1;20,2;79,5;
2014-01-31;null;null;null;null;null;
2014-02-28;null;null;null;null;null;
2014-03-31;356,8;30,6;23,4;19,3;77,6;
2014-04-30;129,8;29,7;23,6;18,7;74,2;
2014-05-31;0;28,6;21,2;15,3;65,4;
2014-06-30;12,7;29,2;21,2;15;63;
2014-07-31;57,6;28,4;20,4;14,1;56,7;
2014-08-31;0;31,8;22,7;15,5;43,7;
2014-09-30;61,2;33,9;24,9;18,6;54,3;
2014-10-31;64,5;34,4;26,2;18,9;53,5;
2014-11-30;384,5;null;null;19,3;78,9;
2014-12-31;334,6;null;null;19,4;79,9;
2015-01-31;120,6;null;null;19,5;66,9;
2015-02-28;242,1;null;null;19,4;77,8;
2015-03-31;302;null;null;19,1;82,6;
2015-04-30;202,8;null;null;19,4;79,6;
2015-05-31;133,7;null;null;16,5;78,1;
2015-06-30;8,2;27,7;20,5;15,2;70,2;
2015-07-31;8,9;29,1;21,3;15;63,5;
2015-08-31;0;31,5;22,9;15,6;46,3;
2015-09-30;58,4;33,7;25,4;19,1;53,4;
2015-10-31;35,6;34,7;26,7;20,4;55,3;
2015-11-30;233,5;32;24,6;19,6;75,6;
2015-12-31;263,6;30,7;24,2;19,9;76,5;
2016-01-31;300,1;28,9;23,7;20,4;84,6;
2016-02-29;185,8;31,4;24,3;19,9;78,5;
2016-03-31;321,2;30,8;24,3;19,7;77,1;
2016-04-30;10,3;31,2;24,2;18,2;62,6;
2016-05-31;14,4;29,4;21,9;15,9;68,6;
2016-06-30;27,6;27,9;20,1;14;63,9;
2016-07-31;0;30,3;21,7;14,5;46;
2016-08-31;25,2;31;22,9;16,7;48,5;
2016-09-30;13,4;33;24,2;18,1;49,5;
2016-10-31;142,4;32,1;24,5;19,2;61,7;
