Nome: PARACATU
Codigo Estacao: 83479
Latitude: -17.24416666
Longitude: -46.88166666
Altitude: 711.41
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2021-11-22
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;95,3;31,1;25;20,3;73,3;
2010-02-28;99,6;32,1;25,7;20,7;68,5;
2010-03-31;226,5;31;24,5;20,2;79,7;
2010-04-30;129,4;29,9;23,2;18,2;72,1;
2010-05-31;11,9;29,5;22,4;16,9;70,5;
2010-06-30;,1;27,6;19,8;14;67,4;
2010-07-31;0;28,4;21;15,1;61,5;
2010-08-31;0;29,9;21,3;14,6;51,1;
2010-09-30;7,7;32,3;24,4;17,9;49,2;
2010-10-31;159,5;32,9;25,4;20,1;67;
2010-11-30;272,9;29,6;23,6;19,4;80,6;
2010-12-31;406,8;30,9;24,8;20,3;77,5;
2011-01-31;302,6;30,3;24,5;20,2;77,5;
2011-02-28;60,9;32,6;25,7;20,4;68,5;
2011-03-31;547,2;29,4;23,6;19,8;84,7;
2011-04-30;43,6;29,8;23,3;18,4;74,5;
2011-05-31;0;28,7;21,6;16,1;69,2;
2011-06-30;1,4;28,1;20,4;14,6;65,5;
2011-07-31;0;28,9;20,7;14,2;59,6;
2011-08-31;0;31,8;23,1;15,9;47,4;
2011-09-30;0;32,7;24,3;17,2;43,4;
2011-10-31;141,4;30;23,6;19;73,8;
2011-11-30;181,1;29,4;23,3;18,8;74,4;
2011-12-31;480,7;29,4;23,4;19,5;83,3;
2012-01-31;376,9;29,1;23,2;19,2;80,3;
2012-02-29;93;31;24,6;19,7;71,2;
2012-03-31;114,1;31,4;24,5;19,5;72,3;
2012-04-30;13,4;31,9;24,7;19,6;71,3;
2012-05-31;20;28,9;21,5;16,7;73,3;
2012-06-30;32,8;29,8;22,2;16,4;68,6;
2012-07-31;0;29;21;14,9;58,8;
2012-08-31;0;28,4;21,3;15,6;52;
2012-09-30;22,4;31,9;24,5;18,2;49,1;
2012-10-31;31,9;33,5;26,1;19,9;49,9;
2012-11-30;393,1;29,4;23,8;20;81,2;
2012-12-31;166,2;31,9;25,5;20,5;69,5;
2013-01-31;372,6;28,7;23,7;20,2;81;
2013-02-28;133,9;30,9;25;20,1;69,5;
2013-03-31;260,1;29,9;24,5;20,5;79,1;
2013-04-30;169,1;28,4;22,6;18,1;77,8;
2013-05-31;17,4;28,3;21,9;16,7;70,6;
2013-06-30;25;27,6;21,5;16,6;73,6;
2013-07-31;0;28,3;21;15,2;63,9;
2013-08-31;0;29,8;21,8;15,2;55,9;
2013-09-30;16,4;31,3;24,1;18,3;57,7;
2013-10-31;80,8;30,2;24,1;19,1;68,4;
2013-11-30;183,6;30,3;24,2;19,6;74;
2013-12-31;381,1;29,7;24,1;20,1;81,5;
2014-01-31;135,2;31,1;24,7;19,7;70,8;
2014-02-28;73;31,3;24,9;19,8;69,3;
2014-03-31;130;29,9;24,1;19,9;79,2;
2014-04-30;155,1;29,9;23,8;19,4;79;
2014-05-31;5,2;28,9;21,8;16,1;69,9;
2014-06-30;,5;28,1;21,1;15,7;69,6;
2014-07-31;14,3;27,1;20,5;15,2;66;
2014-08-31;0;30,3;22,5;15,4;49,4;
2014-09-30;12,4;32,8;25,4;19,2;46,8;
2014-10-31;18,6;33,4;25,9;19,9;49;
2014-11-30;244,3;31;24,8;20,1;70,2;
2014-12-31;209,7;29,1;23,8;19,6;76,4;
2015-01-31;56,3;33;26,4;20,5;57,5;
2015-02-28;212;30;24,5;19,9;73,3;
2015-03-31;263,6;28,8;23,5;19,4;81,7;
2015-04-30;33,3;29,6;24,1;19,8;77,1;
2015-05-31;34;27,1;21,4;16,7;75,8;
2015-06-30;0;27,4;21,1;15,9;67,4;
