Nome: JOAO PINHEIRO
Codigo Estacao: 83481
Latitude: -17.74027777
Longitude: -46.17694443
Altitude: 759.62
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-01-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;125,1;31;25,6;21,3;66,6;
2010-02-28;82,8;32,1;26,3;21,5;60,9;
2010-03-31;180,2;30,3;24,7;20,5;74,5;
2010-04-30;76,6;29,5;23,7;18,9;63,9;
2010-05-31;61,1;29,2;23;18,5;61,8;
2010-06-30;4,5;27,1;20,5;15,3;57,8;
2010-07-31;0;28;21,4;16,1;52,9;
2010-08-31;0;29,7;22,3;16,2;41,3;
2010-09-30;4,5;31,7;24,5;18,4;42,7;
2010-10-31;202;32,6;25,7;20,3;60,5;
2010-11-30;312,2;29;23,5;19,6;77,5;
2010-12-31;355,4;30;24,5;20,4;75,7;
2011-01-31;346,1;29,5;24,4;20,5;75,5;
2011-02-28;106,7;31,8;26;21,2;63,1;
2011-03-31;409,7;28,9;23,8;20;80,1;
2011-04-30;29,4;29,7;23,9;19,6;71,2;
2011-05-31;10,7;28,7;22,6;17,7;62,3;
2011-06-30;1,8;27,9;21,2;16,1;63;
2011-07-31;0;28,7;21,8;16,5;58;
2011-08-31;0;31,7;24;17,7;49,5;
2011-09-30;0;32,2;24,6;18,4;46;
2011-10-31;151,2;29,4;23,7;19;72;
2011-11-30;147,7;28,3;22,9;18,5;73;
2011-12-31;570,8;28,4;23,1;19,4;81,2;
2012-01-31;227,9;28,7;23,6;19,4;75,7;
2012-02-29;98,3;30,7;25,1;20,3;65,3;
2012-03-31;137,9;30,7;24,8;20,4;68,4;
2012-04-30;37,6;30,8;24,8;20,3;67,2;
2012-05-31;12,2;27,8;22;17,7;68,5;
2012-06-30;15,5;28,8;22,7;18,2;62,8;
2012-07-31;0;28,2;21,9;17,2;55,5;
2012-08-31;0;28,2;21,8;16,4;51,1;
2012-09-30;13,7;32,3;25;19,3;49,6;
2012-10-31;24,9;33,7;26,5;20,8;49,8;
2012-11-30;272,4;29,5;24;19,9;76,8;
2012-12-31;78;32,5;26,5;21,9;65,1;
2013-01-31;335,8;28,6;23,9;20,4;79,5;
2013-02-28;62,2;31,5;25,8;21,3;67,1;
2013-03-31;299,5;30,2;24,9;20,9;75,6;
2013-04-30;127,1;28,7;23,1;19;72,6;
2013-05-31;4,7;28,7;22,7;17,9;67,5;
2013-06-30;10,5;28,3;22,4;18;68,9;
2013-07-31;0;29;22,1;17;57,5;
2013-08-31;,3;30,2;22,9;16,8;52,7;
2013-09-30;12;31,4;24,4;18,7;57,1;
2013-10-31;64,6;30,8;24,6;19,9;62,7;
2013-11-30;124,5;30,7;24,8;20,2;66,5;
2013-12-31;280;29,8;24,3;20,6;78;
2014-01-31;131,6;31;25,2;20,5;66;
2014-02-28;43,6;31,5;25,4;20,9;64,5;
2014-03-31;119,2;30,1;24,7;20,5;72,3;
2014-04-30;119,7;30,3;24,4;20,1;71;
2014-05-31;0;29,6;23,3;18,7;58,7;
2014-06-30;1,9;29;22,5;17,3;59,7;
2014-07-31;12,1;null;null;16,4;58,2;
2014-08-31;0;null;null;18;49,2;
2014-09-30;1,4;null;null;19,8;47,2;
2014-10-31;46,2;null;null;20,9;51,6;
2014-11-30;398,6;null;null;20;72,1;
2014-12-31;229,2;null;null;20,1;74;
2015-01-31;176,5;null;null;22;58,8;
2015-02-28;245,3;null;null;20,7;74,6;
2015-03-31;206,7;null;null;20,3;76;
2015-04-30;78,1;null;null;20,7;72,5;
2015-05-31;56,9;null;null;17,9;71;
2015-06-30;5,6;null;null;17,2;63,6;
2015-07-31;0;null;null;17,5;62,3;
2015-08-31;0;null;null;17,8;55,3;
2015-09-30;17;null;null;21,2;47,6;
2015-10-31;39,7;null;null;22,7;48,1;
2015-11-30;200,8;null;null;22,1;62,2;
2015-12-31;102,9;null;null;21,4;67,1;
2016-01-31;417,6;null;null;20,8;82,7;
2016-02-29;103,1;null;null;null;null;
2016-03-31;6,8;null;null;null;null;
2016-04-30;10;null;null;20,9;null;
2016-05-31;0;null;null;19,4;null;
2016-06-30;0;null;null;17,2;null;
2016-07-31;0;null;null;17,8;null;
2016-08-31;0;null;null;null;null;
2016-09-30;2,6;null;null;21,1;null;
2016-10-31;47,8;null;null;21,7;null;
2016-11-30;145;null;null;20,4;null;
2016-12-31;14,3;null;null;null;null;
2017-01-31;74,8;null;null;null;null;
2017-02-28;105,2;null;null;19,8;null;
2017-03-31;62,6;null;null;21,2;null;
2017-04-30;18,8;null;null;20,6;null;
2017-05-31;56;null;null;18,7;null;
2017-06-30;2,2;null;null;17,1;null;
2017-07-31;0;null;null;14,5;null;
2017-08-31;0;null;null;17,3;null;
2017-09-30;4,2;null;null;17,8;null;
2017-10-31;16;null;null;null;null;
2017-11-30;null;null;null;null;null;
2017-12-31;null;null;null;null;null;
2018-01-31;null;null;null;null;null;

