Nome: PIRAPORA
Codigo Estacao: 83483
Latitude: -17.34916666
Longitude: -44.92166666
Altitude: 509.52
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-10-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;77,9;32,7;26,3;21,2;72,8;
2010-02-28;51,6;34,5;27,3;21,5;65,7;
2010-03-31;155,6;32,6;25,8;21,6;78,7;
2010-04-30;119,5;31,1;23,8;18,3;74,8;
2010-05-31;11,1;31,2;23,2;17,4;71,9;
2010-06-30;,8;29,1;19,9;12,9;67,4;
2010-07-31;0;30,1;21,8;14,5;60,1;
2010-08-31;0;30,9;21,8;13,4;51,9;
2010-09-30;,9;33,5;25,7;18,4;46,3;
2010-10-31;114,8;34,3;27,2;21,6;62;
2010-11-30;164,7;30,9;25,1;21,3;79,2;
2010-12-31;172,9;32,7;26,3;21,5;73,9;
2011-01-31;149,6;31,8;26;21,3;73,2;
2011-02-28;17;34,7;27,5;21,6;61;
2011-03-31;394,1;30,7;24,9;21,2;81,5;
2011-04-30;53,7;30,8;24,4;19,3;75,1;
2011-05-31;,3;30;21,9;16;71,1;
2011-06-30;0;29,4;20,8;14,4;69,2;
2011-07-31;,1;29,9;20,9;13,6;64,6;
2011-08-31;0;32,9;23,7;15,7;52,2;
2011-09-30;0;33,4;25,2;17,6;46,4;
2011-10-31;153,1;31,1;24,9;20,4;71,4;
2011-11-30;143,4;30;24,3;19,9;74;
2011-12-31;425,3;29,3;24,3;20,8;82,5;
2012-01-31;222,4;30,5;25;21;75,7;
2012-02-29;21,1;32,6;26,2;20,9;66,1;
2012-03-31;106,7;31,6;25,5;20,6;70,1;
2012-04-30;5,3;32,7;25,4;19,9;69,9;
2012-05-31;7,1;29,4;22,5;17,4;70,4;
2012-06-30;,4;30,8;22,6;16,3;68,8;
2012-07-31;0;30,4;21,6;14,4;59,5;
2012-08-31;0;29,9;22,5;15,6;52,7;
2012-09-30;,7;33,4;25,6;18,6;49,7;
2012-10-31;3,6;35,4;28;21,3;49,1;
2012-11-30;369,4;30,6;25,3;21,7;77,1;
2012-12-31;123,4;34,2;27,7;22,4;64,6;
2013-01-31;187,4;30,9;25,6;21,7;76,6;
2013-02-28;2,5;33,2;26,7;21,2;66,5;
2013-03-31;145,5;32,8;26,2;21,6;74,2;
2013-04-30;78,8;30,2;23,8;19,3;78,3;
2013-05-31;13,5;30,1;22,6;17,1;72,8;
2013-06-30;1;30,2;22;16,4;72,9;
2013-07-31;0;null;null;null;null;
2013-08-31;0;32,5;24,3;17,5;50,8;
2013-09-30;41,8;33,1;26;19,5;54;
2013-10-31;35;32,8;26;20,8;61,2;
2013-11-30;202;33;26,6;21,9;65,8;
2013-12-31;407,8;30,5;25,3;21,7;82,3;
2014-01-31;40,1;32,4;26,2;21,2;67,1;
2014-02-28;67,2;33,6;26,8;21,2;63;
2014-03-31;90,1;32;26,4;21,5;69,4;
2014-04-30;26,2;32,3;25,4;20,7;70,8;
2014-05-31;,8;31,3;22,8;16,4;64,7;
2014-06-30;11,3;30,2;21,9;15,5;66,7;
2014-07-31;1,7;30;21,7;14,5;61,2;
2014-08-31;7,2;null;null;null;null;
2014-09-30;1,7;34,2;26,6;19,5;47,5;
2014-10-31;67,2;34,4;27;21,2;52,4;
2014-11-30;231,8;32,2;26,1;21,6;70;
2014-12-31;111,2;31,6;25,7;21,6;74,3;
2015-01-31;4;null;null;null;null;
2015-02-28;116,1;32;25,8;21,5;74,2;
2015-03-31;129,6;32;25,8;21,4;76,6;
2015-04-30;43,9;32,3;25,5;20,8;73;
2015-05-31;,2;30,6;23,3;17,9;70;
2015-06-30;0;30,5;22,6;16,1;64,2;
2015-07-31;0;30,8;23,1;16,1;58,6;
2015-08-31;0;32,1;24,1;16,5;51,8;
2015-09-30;,2;36,6;27,9;20,8;44,9;
2015-10-31;16,9;37,3;29,8;23,2;45;
2015-11-30;154,1;36;29,2;23,6;57,1;
2015-12-31;78,4;34,7;27,7;22,5;64,2;
2016-01-31;34;null;null;null;null;
2016-02-29;41,2;34,3;27,7;22,3;66,8;
2016-03-31;86,6;32,6;26,3;21,6;71,8;
2016-04-30;25,7;33,7;26,2;20,2;64,2;
2016-05-31;,8;31,8;24,1;18;67,5;
2016-06-30;0;30,8;22,3;15,3;64,6;
2016-07-31;0;31,4;22,6;14,6;60,2;
2016-08-31;,1;32,3;24,2;17,5;54,7;
2016-09-30;23,1;35;27,5;21,1;49,4;
2016-10-31;57,2;35;28,3;22,8;56,2;
2016-11-30;280;32,3;null;21,8;76,3;
2016-12-31;156,1;null;null;21,7;72,3;
2017-01-31;69,9;null;null;21,6;64,2;
2017-02-28;103,9;null;null;21,3;76;
2017-03-31;32,5;null;null;null;null;
2017-04-30;2,9;null;null;20,8;66,3;
2017-05-31;27,4;null;null;18,8;69;
2017-06-30;0;null;null;null;null;
2017-07-31;0;null;null;null;null;
2017-08-31;0;null;null;null;null;
2017-09-30;0;null;null;18,6;47,3;
2017-10-31;66,6;null;null;22,1;50,1;
2017-11-30;117,5;null;null;21,8;70,2;
2017-12-31;214,8;null;null;21,4;79,9;
2018-01-31;58,2;null;null;null;null;
2018-02-28;114,9;null;null;null;null;
2018-03-31;null;null;null;null;null;
2018-04-30;null;null;null;null;null;
2018-05-31;null;null;null;null;null;
2018-06-30;0;null;null;16,2;64,7;
2018-07-31;0;null;null;14,1;57,3;
2018-08-31;9,2;null;null;16,9;53,5;
2018-09-30;2,4;null;null;19,8;48;
2018-10-31;100,9;null;null;23,4;56,6;
2018-11-30;290,1;null;null;21,6;null;
2018-12-31;337,1;null;null;21,2;null;
2019-01-31;null;null;null;null;null;
2019-02-28;125,4;null;null;22;null;
2019-03-31;105,8;null;null;22;null;
2019-04-30;52,2;null;null;21,2;null;
2019-05-31;11,6;null;null;19,1;null;
2019-06-30;0;null;null;16;null;
2019-07-31;0;null;null;14,1;null;
2019-08-31;0;null;null;17,5;null;
2019-09-30;25,8;null;null;20,3;null;
2019-10-31;null;null;null;null;null;

