Nome: CARBONITA
Codigo Estacao: 83485
Latitude: -17.53305554
Longitude: -43.01222222
Altitude: 765.37
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;6,4;31,6;24,2;18,4;66,4;
2010-02-28;101;32,2;24,3;18,6;65,9;
2010-03-31;117,3;30,7;23,8;19,3;76,4;
2010-04-30;35,6;28,9;21,9;16,2;71,5;
2010-05-31;56,3;27,5;20,2;15;77,8;
2010-06-30;,8;25,5;17,5;12,5;73,3;
2010-07-31;4,9;26,1;18,3;11,6;68,7;
2010-08-31;0;27,3;18;9,6;59;
2010-09-30;0;29,7;20,9;13,1;56,1;
2010-10-31;132,8;30,4;23,1;17,9;66,9;
2010-11-30;300,4;28,1;22,4;18,7;79,6;
2010-12-31;225,8;30,3;23,7;18,7;73,2;
2011-01-31;157,8;29,4;23,1;18,4;73,7;
2011-02-28;56,2;31,5;24,1;18,1;64;
2011-03-31;174,6;29;23;18,9;78,6;
2011-04-30;97;28,2;21,9;17,7;76,7;
2011-05-31;7,7;26,5;18,9;13,2;74,6;
2011-06-30;0;26,5;18,2;12,1;71,1;
2011-07-31;5,7;26,7;17,6;10,9;67,5;
2011-08-31;0;29,6;19,7;11,4;58,5;
2011-09-30;0;29,2;20;11,5;51,9;
2011-10-31;82,6;27,1;21,4;16,9;72,5;
2011-11-30;269,4;26,3;21,1;17,3;75,6;
2011-12-31;423,8;27,2;22;18,5;81,7;
2012-01-31;112;28,9;22,6;17,9;72,3;
2012-02-29;13,7;30,6;23,4;17,6;63,4;
2012-03-31;106,8;29,9;22,9;17,3;68,4;
2012-04-30;,5;30,4;22,7;17,2;68,3;
2012-05-31;76,7;26,1;19,7;15,1;76,1;
