Nome: ITAMARANDIBA
Codigo Estacao: 83488
Latitude: -17.85972222
Longitude: -42.85277777
Altitude: 919.37
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;6,7;29,4;23;18,2;71,1;
2010-02-28;7,8;30,1;23,2;18,1;68,9;
2010-03-31;142,1;28,8;22,8;18,7;79,1;
2010-04-30;45,3;26,3;20,4;16,2;77,8;
2010-05-31;48,8;25,8;19,5;15;80,1;
2010-06-30;2,5;23,1;15,7;10,6;79,7;
2010-07-31;7,1;23,2;17;12,5;75,7;
2010-08-31;0;25,1;17;10,2;63,9;
2010-09-30;,7;27,2;19,3;13,2;62,4;
2010-10-31;103,5;28;21,4;16,5;72,3;
2010-11-30;341,3;26,4;21,2;17,7;82,6;
2010-12-31;150,9;28,6;22,6;17,9;76,4;
2011-01-31;87,3;27,6;21,7;17,5;77,8;
2011-02-28;12,7;29,4;22,6;17,5;69,3;
2011-03-31;134,8;27,5;21,9;18,2;81;
2011-04-30;60,3;26;20,6;17,2;81,4;
2011-05-31;8,9;24,5;17,8;13,1;78,5;
2011-06-30;2,6;24,1;17,1;12,1;75,6;
2011-07-31;6,4;24,5;16,3;10,2;72,5;
2011-08-31;3,9;27,1;18,2;11,4;65;
2011-09-30;2,7;26,5;18,5;11,6;58,5;
2011-10-31;69,3;25,7;20,2;16,1;76;
2011-11-30;259,9;24,6;19,6;16;79,7;
2011-12-31;302,1;26,2;21,2;18;82,3;
2012-01-31;168,5;27,1;21,2;17,1;77,2;
2012-02-29;36,1;28,1;21,5;16,8;71,3;
2012-03-31;111,4;27,5;21,4;16,7;72,6;
2012-04-30;19;27,9;21,4;16,9;74,9;
2012-05-31;81,8;23,8;18,4;14,4;79,9;
2012-06-30;,7;25,1;18,1;13,3;78,7;
2012-07-31;,8;24,7;17,2;11,7;72,7;
2012-08-31;20,4;23,2;16,8;12,5;76,4;
2012-09-30;23;27,4;20;13,9;62,2;
2012-10-31;9,2;28,9;21,6;15,7;59,7;
2012-11-30;303,8;26,1;21,4;18,1;82;
2012-12-31;46,2;30,4;23,3;17,9;69,2;
2013-01-31;191,5;28,1;22,4;18,6;75,7;
2013-02-28;6,3;29;22,1;17,2;73,1;
2013-03-31;83,3;28,8;22,9;18,5;74,5;
2013-04-30;36,4;25,6;20,2;16,7;80,9;
2013-05-31;17,1;25,1;18,7;14,2;79,6;
2013-06-30;30,7;24,4;18,2;13,6;80,5;
2013-07-31;,5;24,9;17,8;12,3;73,3;
2013-08-31;4;25,5;18,2;12,1;65;
2013-09-30;9,8;27;20,1;15;66,3;
2013-10-31;92,5;26;20,1;15,7;72,7;
2013-11-30;171,1;27,5;21,6;17,3;70,4;
2013-12-31;819,8;27,8;22,2;18,5;81,4;
2014-01-31;27,7;28,3;22,1;17,4;71,4;
2014-02-28;7,7;28,5;21,8;17,1;69;
2014-03-31;104,4;26,8;21,5;17,8;78,4;
2014-04-30;56,8;27,2;20,9;16,4;77,1;
2014-05-31;,6;25,8;19,1;14;73,8;
2014-06-30;13,9;23,9;17,5;12,9;78,2;
2014-07-31;16,4;23,4;17,1;12,7;75,7;
2014-08-31;8,5;null;null;11,1;66,2;
2014-09-30;5,6;29,2;20,9;13,8;57,8;
2014-10-31;96;28;21,1;15,6;60,7;
2014-11-30;176,6;27,3;21,6;17,4;73,7;
2014-12-31;75,8;27,7;22;17,5;73,2;
2015-01-31;18,8;30,5;23,4;17,1;59;
2015-02-28;159,1;28;22,2;17,9;73,5;
2015-03-31;47,5;28,9;22,4;17,4;71,8;
2015-04-30;74,1;27;21,2;17,1;76,5;
2015-05-31;32,6;24,2;18,8;15,2;81,1;
2015-06-30;1,5;23,7;18,1;14,1;76,6;
2015-07-31;2,2;24,5;17,8;12,8;74,3;
2015-08-31;1,3;25,7;18,5;13,1;66,6;
2015-09-30;15,4;31,2;22,7;15,2;52,6;
2015-10-31;7,6;31,3;23,6;17,1;53,6;
2015-11-30;109,5;31,8;24,6;18,7;62;
2015-12-31;117,7;30,3;23,9;19,1;66,7;
2016-01-31;476,2;27,3;22,6;19,4;79;
2016-02-29;27,7;30,8;23,6;18;66;
2016-03-31;57,5;29,3;22,9;18,6;71,7;
2016-04-30;28,2;29,1;22,1;16,7;67;
2016-05-31;19,6;26,4;19,7;15;76;
2016-06-30;2,9;25,5;18,2;12,8;72,7;
2016-07-31;4,3;25,6;17,8;11,9;69,3;
2016-08-31;1,1;27,1;19,5;13,5;62,4;
2016-09-30;22,8;null;null;null;null;
2016-10-31;42,5;29,4;22,6;17,2;63,5;
2016-11-30;345,8;27,5;22;18;74,4;
2016-12-31;194;28,3;22,1;17,8;77,5;
2017-01-31;37,3;29,8;22,9;17,7;67;
2017-02-28;151,5;27,1;21,8;18,7;79,7;
2017-03-31;98,7;27,8;21,9;17,9;75,3;
2017-04-30;5,6;26,9;21;17,2;76,5;
2017-05-31;74,6;24,7;19,1;15,6;79,9;
2017-06-30;3,8;24,3;17,8;13,1;77,5;
2017-07-31;5,7;20,9;15,4;10,7;76;
2017-08-31;,5;25,2;17,1;10,4;65,2;
2017-09-30;5,4;25,6;18,8;13,8;61,9;
2017-10-31;22;29,7;22,3;16;56,2;
2017-11-30;42,6;null;null;null;null;
2017-12-31;203;27;21,6;17,7;79,2;
2018-01-31;116,8;29,5;22,7;17,6;70,2;
2018-02-28;355,6;28;22,1;18,1;79,6;
2018-03-31;93,2;28,8;22,6;18,4;78,3;
2018-04-30;34,1;25,1;20,2;17,1;81,8;
2018-05-31;8,8;24,7;18,6;14,1;78,1;
2018-06-30;2,9;24,9;17,8;12,3;77,6;
2018-07-31;2,9;25;17,2;11;71,2;
2018-08-31;26,5;25,6;18,9;13,8;71,8;
2018-09-30;6,6;28,2;20,7;14,7;62,6;
2018-10-31;108,8;28,9;22,7;17,8;67,1;
2018-11-30;102,1;26,4;21,4;17,8;75,5;
2018-12-31;106,3;null;null;null;null;
2019-01-31;9,7;29,5;22,9;17,6;67,3;
2019-02-28;159,7;30,5;23,6;18,4;75,1;
