Nome: TEOFILO OTONI
Codigo Estacao: 83492
Latitude: -17.86027777
Longitude: -41.5075
Altitude: 349.11
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2019-03-11
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;null;null;null;null;null;
2010-02-28;null;null;null;null;null;
2010-03-31;null;null;null;null;null;
2010-04-30;null;null;null;null;null;
2010-05-31;null;null;null;null;null;
2010-06-30;null;null;null;null;null;
2010-07-31;null;null;null;null;null;
2010-08-31;null;null;null;null;null;
2010-09-30;null;null;null;null;null;
2010-10-31;null;null;null;null;null;
2010-11-30;null;null;null;null;null;
2010-12-31;null;null;null;null;null;
2011-01-31;null;null;null;null;null;
2011-02-28;null;null;null;null;null;
2011-03-31;null;null;null;null;null;
2011-04-30;null;null;null;null;null;
2011-05-31;null;null;null;null;null;
2011-06-30;null;null;null;null;null;
2011-07-31;null;null;null;null;null;
2011-08-31;null;null;null;null;null;
2011-09-30;null;null;null;null;null;
2011-10-31;35,2;null;null;null;null;
2011-11-30;228,7;28;22,9;19,5;77;
2011-12-31;156,9;30,2;25;21,4;76,9;
2012-01-31;180;30,9;25,3;21,6;73,5;
2012-02-29;44,1;32,4;25,8;21,1;66;
2012-03-31;28,2;32,8;26,1;21,3;65,3;
2012-04-30;37,1;32,5;25,6;21;67,5;
2012-05-31;57,2;28,2;22,4;18,6;75,4;
2012-06-30;9,7;29,8;22,4;18;73,7;
2012-07-31;16,6;28,3;21,2;16,5;71,6;
2012-08-31;87,9;27,7;21,3;17,1;74,3;
2012-09-30;27,2;29,9;23,3;18,6;68,9;
2012-10-31;13,2;32,5;25,3;20,1;61,5;
2012-11-30;466,1;29,7;24,4;20,8;80,2;
2012-12-31;51,7;34,4;27,5;22,1;63,9;
2013-01-31;189,8;32,9;26,6;22,2;68,3;
2013-02-28;30,5;33,2;26,7;22,1;66,7;
2013-03-31;110,4;33,2;26,4;22,1;72,9;
2013-04-30;39,6;29,5;24;20,5;75,2;
2013-05-31;38,6;29;22,7;18,6;73,5;
2013-06-30;39,1;28,4;21,9;17,9;78,2;
2013-07-31;3,4;28,7;21,8;17,4;76,2;
2013-08-31;11,4;29,5;22,3;17,1;69,4;
2013-09-30;36,3;29,8;23,5;19;71,7;
2013-10-31;42,8;29,6;23,7;19,5;73,1;
2013-11-30;94,7;31,3;25,3;20,9;66,9;
2013-12-31;518,9;31,2;25,7;22;78,1;
2014-01-31;70,3;32,3;26,2;21,8;67,8;
2014-02-28;54,5;33;26,2;21,3;66;
2014-03-31;110,7;32,1;25,9;22;70,9;
2014-04-30;27,6;31,5;24,9;20,7;72;
2014-05-31;9,9;30,1;23,1;18,6;71,8;
2014-06-30;46,7;28,2;21,8;17,9;76,7;
2014-07-31;16,5;27,3;21,2;17,4;75,4;
2014-08-31;22,5;29;21,6;16,4;67,6;
2014-09-30;1,8;31,2;24,2;18,8;57,6;
2014-10-31;132,9;32,1;25;20;60,2;
2014-11-30;141,5;31,2;25,4;21;70,5;
2014-12-31;217,4;31,8;25,7;21,2;70,9;
2015-01-31;0;35,3;27,8;22,1;56,4;
2015-02-28;101,4;33,6;26,9;22,2;66,6;
2015-03-31;91,6;33,3;26,6;22,1;69,2;
2015-04-30;56,5;31,2;25;20,8;71,9;
2015-05-31;39,8;29;23,1;19,4;75,3;
2015-06-30;28,6;28,2;22;18;75,4;
2015-07-31;22,6;28,6;21,9;18,2;75,3;
2015-08-31;27,1;28,6;21,8;17,3;71,1;
2015-09-30;,6;33,9;26,1;20,1;56,8;
2015-10-31;16,6;34,4;27;21,6;57,1;
2015-11-30;176,5;35,9;28,4;23;59,5;
2015-12-31;63,5;35,1;28,1;22,9;62,5;
2016-01-31;443,8;31,4;26;22,3;78,7;
2016-02-29;4,9;35,4;28,1;22,4;63,4;
2016-03-31;22,2;34,7;27,7;22,8;66,7;
2016-04-30;11,7;34;26,7;21,5;67,6;
2016-05-31;20,5;31,1;24,1;19,4;70,2;
2016-06-30;20,2;29;21,8;17,1;73;
2016-07-31;24,5;28,8;21,4;17;72,8;
2016-08-31;3,6;29,9;22,9;17,7;65,3;
2016-09-30;6,6;31,6;24,7;19,8;61,2;
2016-10-31;59,4;31,7;25,6;21,1;64,2;
2016-11-30;144;30,7;25,1;21,2;73,5;
2016-12-31;158;31,9;25,9;21,8;74,9;
