Nome: CARAVELAS
Codigo Estacao: 83498
Latitude: -17.73944444
Longitude: -39.25861111
Altitude: 6.05
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;19,6;32,2;27,6;23,5;75,2;
2010-02-28;34,6;32,2;27,8;24,2;76,2;
2010-03-31;175,2;31,3;27,2;24,1;82,6;
2010-04-30;257,6;29,1;25,7;23;84,5;
2010-05-31;187,3;28,3;24,5;21,8;87,8;
2010-06-30;64,5;26,4;22,6;19,7;85,5;
2010-07-31;79,5;26,3;23;20,2;84,8;
2010-08-31;56,2;26;21,9;18,3;82,9;
2010-09-30;91,1;26,9;23,3;20,3;81,5;
2010-10-31;80,6;27,2;24,5;22,2;84,7;
2010-11-30;463,1;28;25,1;22,4;87,9;
2010-12-31;18,8;29,7;26,3;23,5;84,2;
2011-01-31;33,1;30,5;26,6;23,6;83,5;
2011-02-28;24,8;31,1;26,8;23,6;83;
2011-03-31;201,8;30,1;26,4;23,5;86,7;
2011-04-30;315,5;29,7;25,9;22,9;88;
2011-05-31;83,6;27,4;23,7;20,4;86,6;
2011-06-30;61,1;26,5;22,7;19,7;86,3;
2011-07-31;50,1;26,6;22,2;18,5;83,2;
2011-08-31;18,9;27,4;22,8;19,1;81,3;
2011-09-30;32,8;26,5;22,8;19,5;74,8;
2011-10-31;124,2;27,7;24,6;22,1;81,9;
2011-11-30;242,2;26,7;23,8;21,5;85,4;
2011-12-31;161,7;29;25,6;23;86,3;
2012-01-31;37,4;30,1;26,1;22,9;81,8;
2012-02-29;50,4;30,7;26,2;22,9;77,9;
2012-03-31;187;30,3;26,2;23;79,6;
2012-04-30;107,8;29,8;25,8;22,7;82,8;
2012-05-31;192,2;27;23,5;20,2;88,6;
2012-06-30;112,4;27,2;23,5;20,5;89,3;
2012-07-31;79,2;27;22,7;19,1;87;
2012-08-31;123,4;26,4;23;20,1;81,1;
2012-09-30;67,9;27;23,5;20,6;80,8;
2012-10-31;126,5;28;24,3;21,2;80,2;
2012-11-30;310,1;28,1;25,2;22,4;84,9;
2012-12-31;13,6;30,7;26,5;23,1;79,2;
2013-01-31;67,1;31,1;26,6;22,7;80;
2013-02-28;15,1;31,6;26,7;22,9;77,9;
2013-03-31;145,2;31,5;27;23,3;79,7;
2013-04-30;117,3;28,7;25,4;22,5;84,9;
2013-05-31;36,9;28,1;24,2;20,3;85,3;
2013-06-30;79;27,7;23,6;20,6;87,6;
2013-07-31;187,1;27,1;23;19,9;86,8;
2013-08-31;140,9;26,9;22,9;19,5;83,5;
2013-09-30;68,8;27;23,7;21;82,3;
2013-10-31;175;27,5;24,2;21,7;81,2;
2013-11-30;227,6;28,7;25,1;21,9;82,1;
2013-12-31;274,8;29;25,7;23,1;87;
2014-01-31;65,1;29,9;26,3;23,2;82,9;
2014-02-28;79,5;30,7;26,5;23;84,3;
2014-03-31;185,8;30,1;26,2;23,1;85,4;
2014-04-30;92;29,8;25,6;22,3;84,6;
2014-05-31;64,1;28,3;24,2;20,9;85,6;
2014-06-30;256,2;27,2;23,2;19,9;87,5;
2014-07-31;204,7;26,4;22,7;19,8;86,3;
2014-08-31;49,2;26,9;22,4;18,9;81,9;
2014-09-30;6,6;27,7;23,6;20,2;77;
2014-10-31;169,5;27,6;24;20,6;79,7;
2014-11-30;168,3;28,3;25,1;22,3;82,1;
2014-12-31;58,8;29,8;25,8;22,5;79,2;
2015-01-31;16;31,3;26,6;23;75,3;
2015-02-28;42;31,9;27,3;23,7;80,1;
2015-03-31;111,4;31,2;26,7;23,2;81,3;
2015-04-30;98;29,6;26;22,7;83,8;
2015-05-31;118,1;28,1;24,6;21,6;86,1;
2015-06-30;212;27,7;23,8;21;86,8;
2015-07-31;94,7;26,8;23;20,1;85,1;
2015-08-31;36,4;26,9;22,8;19,6;81,4;
2015-09-30;12,7;29;24,9;21,4;82,6;
2015-10-31;48,6;29,7;25,8;22,6;84,6;
2015-11-30;29;30,7;26,8;23,5;80,6;
2015-12-31;20,5;32;27,4;23,5;77;
2016-01-31;182,3;30,5;26,9;23,8;83,3;
2016-02-29;,4;32,4;27,6;24,2;79,9;
2016-03-31;22,6;32,4;27,7;23,9;78;
2016-04-30;49,6;31,3;26,8;23,1;78,8;
2016-05-31;125;29;24,7;20,6;83,4;
2016-06-30;54,7;26,9;23,2;19,4;86;
2016-07-31;86,8;26,8;23;19,1;85,5;
2016-08-31;62,5;null;null;null;90,5;
2016-09-30;20,6;null;null;null;87,3;
2016-10-31;78,4;null;null;null;87;
2016-11-30;175;null;null;null;90,4;
2016-12-31;84,3;null;null;null;89,5;
2017-01-31;47,3;null;null;null;84,9;
2017-02-28;85,9;null;null;null;87;
2017-03-31;194,1;null;null;null;83;
2017-04-30;289,5;null;null;null;null;
2017-05-31;145,4;null;null;null;null;
2017-06-30;110,1;null;null;null;null;
2017-07-31;113,4;null;null;null;null;
2017-08-31;139,3;null;null;null;null;
2017-09-30;75,6;null;null;null;null;
2017-10-31;5,8;null;null;null;null;
2017-11-30;137,8;null;null;null;null;
2017-12-31;307,3;null;null;null;null;
2018-01-31;62,2;null;null;null;null;
2018-02-28;null;null;null;null;null;
2018-03-31;28,6;32,1;27,2;22,5;78,2;
2018-04-30;164,6;30;25,1;20,4;82,3;
2018-05-31;125;28,8;23,9;19,1;82,6;
2018-06-30;99,2;28,5;23;18,1;85,6;
2018-07-31;56,8;28,4;22,1;16,2;84,6;
2018-08-31;28,4;28,8;22,9;17,4;81;
2018-09-30;30,2;29;24,1;18,7;77,1;
2018-10-31;241;29,9;25,1;20,3;79,8;
2018-11-30;180,8;30;25,6;20,8;81,1;
2018-12-31;279;30,3;25,8;20,9;82,4;
2019-01-31;12,5;31,9;26,9;21,2;76;
2019-02-28;51,2;33,4;27,9;21,8;75,3;
2019-03-31;162,7;32,4;27,2;21,4;77,5;
