Nome: NHUMIRIM (NHECOLANDIA)
Codigo Estacao: 83513
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.27
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2019-11-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;181,4;33,2;27,2;22,7;80,8;
2010-02-28;64,4;34,1;28,1;23,8;80,7;
2010-03-31;67,8;35,2;28,2;22,8;83,1;
2010-04-30;10,4;33,1;25,5;19,2;76,2;
2010-05-31;71,8;28,6;20,9;15,1;80,3;
2010-06-30;7,4;30,9;21,9;15,4;86,8;
2010-07-31;0;29,2;20,1;12,7;75,3;
2010-08-31;0;33,3;21,8;13;65,7;
2010-09-30;18,5;35,2;26,1;19,2;68,9;
2010-10-31;96,3;34,4;26,5;20,4;69,9;
2010-11-30;108,9;33,8;25,9;19,2;72,1;
2010-12-31;121,8;35,6;28,3;22,3;72,6;
2011-01-31;187,9;33,8;27,1;22,6;83,5;
2011-02-28;153,9;32,5;26,6;23,1;87,8;
2011-03-31;455,2;31,2;26,6;23;87,1;
2011-04-30;168,8;32,3;26,6;22,4;82,1;
2011-05-31;2,5;29,7;22,8;17,9;77,7;
2011-06-30;1;29,2;21,4;15,7;77,2;
2011-07-31;3,2;30;21,6;15,4;74,2;
2011-08-31;2;31,9;22,3;15,5;67,3;
2011-09-30;30;34,5;25,2;18,6;67,5;
2011-10-31;150,1;34,3;26,7;20,8;74,3;
2011-11-30;50,2;35,9;27,7;20,9;74;
2011-12-31;67,8;35,4;27,8;21,9;79,6;
2012-01-31;237,8;33,5;27,2;22,4;83,8;
2012-02-29;127,8;33,6;27,2;22,7;83;
2012-03-31;107,2;33,8;26,5;21,6;82,9;
2012-04-30;88,2;33,1;26;21,2;83,5;
2012-05-31;60,4;30,5;23;16,8;80;
2012-06-30;51,8;29,4;21,4;15,4;80,4;
2012-07-31;2,4;29,1;20;13,3;75,5;
2012-08-31;0;34,4;23,6;15,2;59,4;
2012-09-30;64,8;36,7;26,7;18,1;59,8;
2012-10-31;39,8;35,2;28,1;22;76,6;
2012-11-30;157,9;34,3;27,6;22,6;84,5;
2012-12-31;44,8;35,4;28,5;23,3;82;
2013-01-31;141;35;27,8;21,4;84,6;
2013-02-28;22,9;33,9;27,2;22;91,5;
2013-03-31;130,2;34,2;27,2;22;85,2;
2013-04-30;51,8;32,5;24,8;19,5;82,3;
2013-05-31;29,8;30,9;23,2;16,8;82,1;
2013-06-30;88,7;29,7;22,3;17;85;
2013-07-31;23,6;30,2;20,3;13,5;79,4;
2013-08-31;0;31,2;20,6;11,9;58,9;
2013-09-30;35,6;34,2;25,1;17,5;59,5;
2013-10-31;17,7;35,8;27,5;20,7;64,9;
2013-11-30;115,7;35,2;27,9;21,7;74;
2013-12-31;129,5;34,9;27,8;22,9;78,7;
2014-01-31;89,5;34,1;27;21,5;77,5;
2014-02-28;64,4;33,2;26,7;22,1;80,1;
2014-03-31;173,7;33,7;27,1;22,3;79,8;
2014-04-30;69,1;33,2;26;20,7;82,1;
2014-05-31;274;29,3;22,3;17;86,1;
2014-06-30;21,2;29;22;17,1;84,6;
2014-07-31;65,5;28,7;20,5;14,6;85,3;
2014-08-31;5,2;32,8;22,9;14,9;81,2;
2014-09-30;68,6;35,6;26,9;19,9;76,4;
2014-10-31;49,6;37,1;28,6;21,2;68,2;
2014-11-30;234,8;33,4;26,5;20,3;77,6;
2014-12-31;80,8;34;27,6;22,3;78,3;
2015-01-31;61,4;35,8;27,8;21,5;75,6;
2015-02-28;233,9;33,8;27;21,4;82;
2015-03-31;129,4;33,9;26,4;20,3;83,1;
2015-04-30;65,3;33;25,9;19,4;84,2;
2015-05-31;46,6;30,8;23,6;17;81,9;
2015-06-30;0;31,8;22;13,5;78,3;
2015-07-31;67,6;29,9;21,4;14;81,4;
2015-08-31;27;35,8;24,3;13,8;70,6;
2015-09-30;150;34,4;25,4;17,1;73,4;
2015-10-31;79,4;34,6;26,8;19,5;79,6;
2015-11-30;175,8;35;27,7;20,7;73,9;
2015-12-31;108,7;34,9;27,6;20,9;77,7;
2016-01-31;261,2;32,5;26,8;20,6;85;
2016-02-29;149,5;33,6;27,6;21,3;80,4;
2016-03-31;81,2;33,5;26,5;19,8;79,8;
2016-04-30;38,8;null;null;18,7;78,2;
2016-05-31;29;null;null;14,9;80,4;
2016-06-30;36,8;null;null;14,1;82,1;
2016-07-31;0;null;null;null;70,5;
2016-08-31;91,3;null;null;null;69,9;
2016-09-30;27;35,2;null;null;67,1;
2016-10-31;56,8;35,1;null;null;64,7;
2016-11-30;147,2;34,2;null;null;77;
2016-12-31;237,5;33,9;26,9;22,2;77,6;
2017-01-31;302,4;34,3;27,5;22,4;79,8;
2017-02-28;120,6;33,7;27,2;21,2;82,8;
2017-03-31;109,9;33,8;27,1;22;82,5;
2017-04-30;109,8;31,9;25,1;20;82,2;
2017-05-31;96;31,2;24,5;19,8;86,6;
2017-06-30;37;30,9;21,3;13,6;81,6;
2017-07-31;0;31;20;11,1;67,2;
2017-08-31;84;33,5;23,6;15,7;70,4;
2017-09-30;6,2;36,1;25,7;16,1;62,7;
2017-10-31;239,2;35;26,1;18,9;76,1;
2017-11-30;102,3;33,9;26,9;20,7;79,5;
2017-12-31;345,5;32,6;26,8;21,3;84,4;
2018-01-31;242,6;32,9;26,9;21;82,5;
2018-02-28;289;32,3;26,9;22,2;84,7;
2018-03-31;27,1;33,3;27,4;21,5;81,7;
2018-04-30;111,1;33,1;26,1;20,5;81,8;
2018-05-31;86;31,1;24;19,5;79,2;
2018-06-30;16,6;26,9;20,2;16;81,1;
2018-07-31;0;30,9;null;null;76,8;
2018-08-31;14;30,2;null;null;71,8;
2018-09-30;91,8;32,8;null;null;73,1;
2018-10-31;51,8;34,3;null;null;77,2;
2018-11-30;300,9;32,8;null;null;85,8;
2018-12-31;54,6;34,8;null;null;78,3;
2019-01-31;76;35,4;null;null;74,8;
2019-02-28;192,5;34;null;null;84,6;
2019-03-31;179,3;34,2;null;null;81,2;
2019-04-30;151,8;32,7;null;null;85,3;
2019-05-31;64,5;30,2;null;null;82,6;
2019-06-30;26,2;31,6;null;null;82,1;
2019-07-31;20,7;28,7;null;null;78;
2019-08-31;4,8;32,4;null;null;70,2;
2019-09-30;123;35,7;null;null;67,8;
2019-10-31;15,2;35,6;null;null;70,7;
2019-11-30;138,7;36;null;null;71,7;

