Nome: CAPINOPOLIS
Codigo Estacao: 83514
Latitude: -18.7261111
Longitude: -49.56222222
Altitude: 608.98
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-08-13
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;284;30,2;24,4;21;82,7;
2010-02-28;207,8;31,7;25,1;21;81,2;
2010-03-31;108,5;31,4;24,5;20,6;78,5;
2010-04-30;81,7;30,1;23;18,6;68,9;
2010-05-31;15,2;28,8;20,9;16,1;62,4;
2010-06-30;17,1;28,9;20,3;14,9;57,9;
2010-07-31;4,7;29,7;21,8;16,8;51,4;
2010-08-31;0;31,6;22,5;16;38,1;
2010-09-30;28,6;34,3;25,8;20,2;42,7;
2010-10-31;111,9;32,8;24,8;19,5;61,7;
2010-11-30;194,3;31,3;24,1;19,8;75,7;
2010-12-31;165,6;31,4;24,7;20,9;79,4;
2011-01-31;256,7;30,2;24,1;20,6;83,2;
2011-02-28;202,4;31,1;24,5;20,7;81;
2011-03-31;517,6;29,8;23,7;20,7;85,6;
2011-04-30;57,6;30,6;23,5;19,3;73,2;
2011-05-31;0;29;21,5;16,6;66,1;
2011-06-30;34,9;27,6;19,9;14,7;64,2;
2011-07-31;0;29,9;21,5;16;54,6;
2011-08-31;4,6;32,4;23,5;17,1;45,6;
2011-09-30;7,6;34,3;25,3;18,9;39;
2011-10-31;161,2;30,9;24,1;19,9;71,4;
2011-11-30;132,1;31,1;24,1;19,3;67;
2011-12-31;136,5;30,6;24,2;20,6;79;
2012-01-31;307,8;28,7;23;19,7;86,2;
2012-02-29;175,8;31,1;24,1;19,7;75,1;
2012-03-31;173,4;31,6;24,6;20,3;74,3;
2012-04-30;48,7;30,6;23,9;19,8;77,8;
2012-05-31;26,7;27,7;21;16,8;71,7;
2012-06-30;68,2;28,6;21,5;17,2;69,8;
2012-07-31;2,4;28,7;20,5;15,3;55,9;
2012-08-31;0;30;22,3;17;44,7;
2012-09-30;29,6;33,9;25,5;19,6;42,6;
2012-10-31;65,3;35,2;26,9;21,1;51,3;
2012-11-30;120;31,9;25,1;21;73,1;
2012-12-31;245,2;32,1;25,4;21;74,7;
2013-01-31;369,9;29,8;24;20,8;83,9;
2013-02-28;185,3;30,7;24,2;20,3;79,1;
2013-03-31;174,4;30,8;24,4;20,8;79,8;
2013-04-30;122,7;29,1;22,7;18,9;75,2;
2013-05-31;49,8;29,4;21,9;16,4;66,1;
2013-06-30;14,9;28,9;22;17,3;70,6;
2013-07-31;1,9;28,5;20,4;15,4;56,5;
2013-08-31;0;30,5;21,8;15,5;44,6;
2013-09-30;46,6;32,7;24,4;18,6;50,2;
2013-10-31;101,1;32,5;25;19,9;62,1;
2013-11-30;202,8;31,5;24,7;20,3;72,8;
2013-12-31;217,4;30,9;24,6;20,9;81,4;
2014-01-31;103,9;32;24,9;20,1;74,4;
2014-02-28;137,1;null;null;20,3;71,9;
2014-03-31;235,3;null;null;20,3;78,2;
2014-04-30;29,9;null;null;19,7;76,3;
2014-05-31;0;null;null;16,5;66,1;
2014-06-30;4,6;null;null;16,7;61,1;
2014-07-31;91,4;null;null;15,9;59,1;
2014-08-31;0;null;null;17,3;45,4;
2014-09-30;62,2;null;null;19,3;55,1;
2014-10-31;79,5;null;null;20,6;46,8;
2014-11-30;142,2;null;null;20,6;76;
2014-12-31;168,3;null;null;20,6;80,7;
2015-01-31;164,2;null;null;20,8;71,7;
2015-02-28;326;30,8;24,5;20,5;79,4;
2015-03-31;239,8;29,9;23,8;20,3;83,1;
2015-04-30;82;30,6;24,2;20,5;78,2;
2015-05-31;153,6;27,6;21,6;17,7;77,4;
2015-06-30;11,9;28,3;21,4;16,8;68,2;
2015-07-31;18,1;29,1;21,9;17;62,1;
2015-08-31;0;31,9;23,3;17,2;45,2;
2015-09-30;79,9;33,9;25,7;20,2;55,5;
