Nome: ITUIUTABA
Codigo Estacao: 83521
Latitude: -18.952916
Longitude: -49.525072
Altitude: 540.09
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2015-10-25
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;235,2;32,6;25,8;21,5;78;
2010-02-28;116,2;34,3;26,3;21,4;73,1;
2010-03-31;166,4;33,4;25,6;20,9;75,9;
2010-04-30;83,4;31,6;23,3;17,7;71,3;
2010-05-31;3,9;30,5;20,5;14;67,5;
2010-06-30;22;30;19,2;12,1;64,7;
2010-07-31;3,3;31,2;21,3;14,5;53,3;
2010-08-31;0;32,9;21,7;13,3;41;
2010-09-30;27,8;35,4;26,1;19,5;41,8;
2010-10-31;200,3;33,8;25,1;19,3;62,9;
2010-11-30;213;32,4;25,2;20,4;73,4;
2010-12-31;220,2;33;26;21,7;76,2;
2011-01-31;231;32,3;25,4;21,4;79,3;
2011-02-28;210,4;32,8;25,3;21,2;79,3;
2011-03-31;401,2;30,7;24,4;21,2;84;
2011-04-30;67,8;31,9;23,9;18,8;74,5;
2011-05-31;,4;30,2;21,2;14,9;68,5;
2011-06-30;25,6;29,1;19,3;13,1;68;
2011-07-31;0;30,9;20,6;13,5;59,3;
2011-08-31;5,4;33,4;22,9;15,4;47,6;
2011-09-30;,2;35,4;25,4;17,4;39,2;
2011-10-31;106,4;31,9;24,9;20,5;69,3;
2011-11-30;266,2;32,1;24,6;19;66,2;
2011-12-31;296,4;32,4;25,2;20,9;76,3;
2012-01-31;292,8;30,6;24,2;20,4;81,1;
2012-02-29;211,6;32,8;25,2;20,3;74,4;
2012-03-31;166,6;33,2;25,4;20,4;73,1;
2012-04-30;109,6;32,3;24,6;19,7;75,8;
2012-05-31;49,8;29,3;21,1;16;75,2;
2012-06-30;65,4;29,5;21,1;15,9;75,4;
2012-07-31;4,2;29,8;19,6;13,3;69,5;
2012-08-31;0;31,4;21,9;15,1;51,8;
2012-09-30;42,5;35,3;25,2;17,5;44,3;
2012-10-31;44,6;36,6;27,5;20,6;49,8;
2012-11-30;241,4;32,8;25,6;21,2;72;
2012-12-31;254,8;33,8;26,3;21,5;75,2;
2013-01-31;305,2;31,5;25,1;21,4;81,6;
2013-02-28;193,2;null;null;null;null;
2013-03-31;147,2;null;null;null;null;
2013-04-30;139,8;null;null;null;null;
2013-05-31;2,2;null;null;null;null;
2013-06-30;12,8;null;null;null;null;
2013-07-31;0;null;null;null;null;
2013-08-31;0;null;null;null;null;
2013-09-30;35;null;null;null;null;
2013-10-31;59,2;null;null;null;null;
2013-11-30;165,2;null;null;null;null;
2013-12-31;218,2;null;null;null;null;
2014-01-31;125,4;null;null;null;null;
2014-02-28;118,2;null;null;null;null;
2014-03-31;214;null;null;null;null;
2014-04-30;60,4;null;null;null;null;
2014-05-31;0;null;null;14,8;null;
2014-06-30;5,8;null;null;14,7;null;
2014-07-31;77;null;null;14,6;null;
2014-08-31;0;null;null;14,6;null;
2014-09-30;40;null;null;19,1;null;
2014-10-31;27,2;null;null;19,9;null;
2014-11-30;217,6;null;null;21,3;null;
2014-12-31;134;null;null;21,1;null;
2015-01-31;115,2;null;null;21,3;null;
2015-02-28;219;null;null;21,5;null;
2015-03-31;171,6;null;null;20,8;null;
2015-04-30;121;null;null;19,9;null;
2015-05-31;93,6;null;null;17,3;null;
2015-06-30;0;null;null;15,5;null;
2015-07-31;0;null;null;null;null;
2015-08-31;null;null;null;null;null;
2015-09-30;null;null;null;null;null;
2015-10-31;null;null;null;null;null;

