Nome: IPAMERI
Codigo Estacao: 83522
Latitude: -17.72444443
Longitude: -48.17194443
Altitude: 778.14
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;196,6;30,5;24,5;20,2;73,6;
2010-02-28;58,5;31,6;25;20,1;71,9;
2010-03-31;145,1;30,7;24,4;20,3;75,3;
2010-04-30;62;29,7;22,8;17,1;66,7;
2010-05-31;2,5;29,4;21,3;14,9;63,2;
2010-06-30;1,4;28,1;19,4;12,4;59,3;
2010-07-31;0;28,5;20,9;14,4;52,2;
2010-08-31;0;30,1;21,1;12,8;42,8;
2010-09-30;43,5;32,8;24,8;18,1;42,2;
2010-10-31;92,5;32;24,9;19,5;63;
2010-11-30;214,9;29,4;23,7;19,7;75,8;
2010-12-31;279,3;30,2;24,4;20,5;76,2;
2011-01-31;261,8;29;23,8;20;78,3;
2011-02-28;91,7;30,9;24,3;20;73,8;
2011-03-31;323,8;28,8;23,3;19,8;81,5;
2011-04-30;98,2;29,5;23,1;18;70,3;
2011-05-31;,2;28,2;20,7;14,6;67,7;
2011-06-30;9,7;27,6;19,2;12,8;66;
2011-07-31;0;28,7;20,1;13,1;53,7;
2011-08-31;0;31,5;22,6;14,9;41,3;
2011-09-30;0;32,8;24,6;17,3;35,8;
2011-10-31;320,8;29,3;23,1;19;72,6;
2011-11-30;98,9;29,5;23,6;19;67,8;
2011-12-31;324;28,6;23,3;19,9;79,4;
2012-01-31;374;28,1;22,7;19,4;79,9;
2012-02-29;94,2;30,3;24;19,1;68,5;
2012-03-31;150,4;30,4;23,8;19,2;72,4;
2012-04-30;121;30;23,6;19,1;73,8;
2012-05-31;54;27,1;20,5;15,6;72,5;
2012-06-30;82,9;27,9;20,8;15,3;68,2;
2012-07-31;1,1;27,9;19,7;12,7;58,4;
2012-08-31;0;28,4;20,9;14,1;48,3;
2012-09-30;46,8;32,2;24,2;17,1;45,3;
2012-10-31;41,2;33,3;25,8;19,6;49,7;
2012-11-30;189,3;30,2;24,4;20,6;74,7;
2012-12-31;181,7;31,7;25,2;20,4;70,3;
2013-01-31;222,4;28,6;23,6;20,3;79,6;
2013-02-28;79,4;30,7;24,2;19,6;72,7;
2013-03-31;282,8;30;24,2;20,4;78,2;
2013-04-30;226,8;28,4;22,1;17,4;75,1;
2013-05-31;32,4;28,6;21,3;15,3;67,9;
2013-06-30;17,8;27,9;21;15,5;71,7;
2013-07-31;0;28,2;19,7;13;60,2;
2013-08-31;,3;29,8;21,5;14,2;48,7;
2013-09-30;28,8;31,1;23,7;17,6;53,6;
2013-10-31;95,8;30,6;24,2;19,4;63,3;
2013-11-30;175,2;30,1;24,2;19,8;71,7;
2013-12-31;365,2;29,7;24,1;20,5;78,2;
2014-01-31;85,1;30,9;24,4;19;66,7;
2014-02-28;32,8;30,7;24,4;19,1;67,6;
2014-03-31;282,9;29,5;23,9;19,8;76,4;
2014-04-30;96,9;29,7;23,4;19;74,4;
2014-05-31;9,4;28,8;21;14,8;67,3;
2014-06-30;1,1;28,2;20,1;13,8;66;
2014-07-31;40,6;27,3;19,7;13,5;62,9;
2014-08-31;0;30,7;21,6;13,6;48,8;
2014-09-30;25,9;32,6;25;18,9;49,8;
2014-10-31;17;33,4;25,9;19,4;49;
2014-11-30;355,6;30,2;24,1;20,1;73,4;
2014-12-31;198,7;28,7;23,5;20;77;
2015-01-31;67,8;32,5;25,7;19,5;61,1;
2015-02-28;301,8;29,7;24;19,6;74;
2015-03-31;248,5;29;23,5;19,9;80,3;
2015-04-30;183,8;29,6;23,8;19,9;78,5;
2015-05-31;52,1;27,4;21,2;16,7;75,4;
2015-06-30;0;27,4;20,2;14,5;69,4;
2015-07-31;4;28,6;20,8;14;62,1;
2015-08-31;0;30,5;22;14,1;48,1;
2015-09-30;41,6;33,5;25,4;18,2;51;
2015-10-31;46,7;35,2;27,5;20,9;48;
2015-11-30;212,4;32,5;25,8;21,2;69,5;
2015-12-31;176,3;31,4;25,2;20,7;72,4;
2016-01-31;301,4;29,4;24,3;21,3;81,4;
2016-02-29;180,4;32;24,9;20,5;74,5;
2016-03-31;346,5;30,2;24,5;20,4;74,7;
2016-04-30;21,5;31,4;24,1;17,9;62;
2016-05-31;2,9;30,2;22,3;16,1;66,2;
2016-06-30;,6;28,7;20,2;13,5;62,1;
2016-07-31;0;29,8;20,9;13,3;50,8;
2016-08-31;1,1;31,4;22,8;15,6;49,3;
2016-09-30;11;34,1;25,8;18,6;44;
