Nome: ITUMBIARA
Codigo Estacao: 83523
Latitude: -18.40972222
Longitude: -49.19194444
Altitude: 491.55
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2012-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;180,5;31,8;25,9;21,7;74,6;
2010-02-28;50,3;33,4;26,6;21,7;70,5;
2010-03-31;128,3;32,5;25,9;21,5;73,7;
2010-04-30;78,8;31;24,1;18,2;66,2;
2010-05-31;3,9;30,3;22;14,6;59,9;
2010-06-30;12,6;29,5;20,9;12,7;57,9;
2010-07-31;,4;31,1;21,8;11,4;55,7;
2010-08-31;0;32,4;22,1;13,9;43,7;
2010-09-30;23,2;35,1;null;null;43,2;
2010-10-31;81;34,1;null;null;55,9;
2010-11-30;248;31,4;null;null;70,1;
2010-12-31;250,6;32,4;null;null;74,1;
2011-01-31;306,6;31;null;null;77,9;
2011-02-28;220,1;32,1;null;null;74,3;
2011-03-31;552,8;29,7;null;null;81,3;
2011-04-30;149;30,3;null;null;73,3;
2011-05-31;0;29,6;null;null;67,4;
2011-06-30;0;28,3;null;null;66,4;
2011-07-31;0;30,1;null;null;57,5;
2011-08-31;1,3;33;null;null;44,3;
2011-09-30;null;34,7;null;null;null;
2011-10-31;110,4;31,5;null;null;66,6;
2011-11-30;null;null;null;null;null;
2011-12-31;null;31,2;null;null;77,5;
2012-01-31;null;30,5;null;null;77,7;
2012-02-29;null;32;null;null;69,3;
2012-03-31;null;32,1;null;null;69,7;
2012-04-30;null;31,5;null;null;73,6;
2012-05-31;14,5;28,6;null;null;71,9;

