Nome: CATALAO
Codigo Estacao: 83526
Latitude: -18.17027777
Longitude: -47.95805555
Altitude: 857.98
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;265,9;29,9;24,2;20,2;74,3;
2010-02-28;190,6;31,5;25,2;20,6;68;
2010-03-31;209,5;30,5;24,5;20,3;74,1;
2010-04-30;48,5;29,5;23,3;18,5;64,1;
2010-05-31;,5;28,9;22,1;16,7;59,7;
2010-06-30;14,8;27,7;20;14,2;58,9;
2010-07-31;0;28,5;21,4;16;53;
2010-08-31;0;30,2;22,2;15,3;41,4;
2010-09-30;25,2;32,4;25,1;19;42,4;
2010-10-31;92,6;31,6;25,1;19,8;60,6;
2010-11-30;255,2;28,9;23,3;19,2;76,8;
2010-12-31;246,5;30,4;24,6;20,6;73,3;
2011-01-31;273,3;28,9;23,9;20,1;76,6;
2011-02-28;123,7;30,8;24,8;20,2;70,5;
2011-03-31;487,7;28,2;23;19,5;82,3;
2011-04-30;159,4;29,4;23,4;18,6;68,5;
2011-05-31;0;28,2;21,6;16,2;63,9;
2011-06-30;16,2;26,9;19,8;14,6;63,5;
2011-07-31;0;28,5;21;15,1;51,8;
2011-08-31;0;31,4;23,5;17,2;40,7;
2011-09-30;0;32,8;25,1;18,4;37,8;
2011-10-31;137,2;28,9;23,1;18,8;70,6;
2011-11-30;132,9;29,2;23,5;18,9;66;
2011-12-31;346,1;28,1;23;19,5;79,6;
2012-01-31;343,8;27,5;22,7;19,2;80,4;
2012-02-29;110,8;29,9;24,4;20;65,1;
2012-03-31;160,7;30,1;24,1;19,6;70,7;
2012-04-30;59,9;29,9;24,1;19,8;69,4;
2012-05-31;23,8;26,7;21;16,5;70,2;
2012-06-30;75,1;27,6;21,6;16,9;65,8;
2012-07-31;5,8;27,7;20,8;15,3;55,5;
2012-08-31;0;28,2;21,5;15,9;46,6;
2012-09-30;27,7;31,9;24,9;18,9;45,4;
2012-10-31;58,3;32,9;26,1;20,7;49,4;
2012-11-30;290,1;29,8;24,3;20,2;72,7;
2012-12-31;96,3;31,4;25,6;21;67,6;
2013-01-31;258,9;28,5;23,7;20,2;76,8;
2013-02-28;79,7;30,6;24,8;20,3;68,4;
2013-03-31;293,3;29,8;24,5;20,5;73,9;
2013-04-30;126,7;28,2;22,5;17,8;70,5;
2013-05-31;38,6;28,3;21,9;16,6;65,4;
2013-06-30;12,4;27,7;21,6;16,9;68,5;
2013-07-31;0;28;20,8;15,2;59,5;
2013-08-31;0;29,5;22,1;15,8;48;
2013-09-30;23,8;31;24;18,2;52,3;
2013-10-31;97,2;30,2;24,3;19,6;60,4;
2013-11-30;132,9;29,9;24,3;19,9;68,9;
2013-12-31;392,4;29,4;23,9;20;78;
2014-01-31;182,7;30,7;24,8;19,9;64,9;
2014-02-28;189,5;30,6;24,9;20;63,1;
2014-03-31;108,3;29,3;24,2;20,2;72,4;
2014-04-30;81,4;29,5;23,9;19,6;71,3;
2014-05-31;4;28,2;21,9;16,5;61,3;
2014-06-30;,7;27,9;21,4;16,2;60,5;
2014-07-31;52,5;27;20,6;15,7;60,3;
2014-08-31;0;30,2;22,9;16,7;46,6;
2014-09-30;43,5;32;25,1;19,4;49,2;
2014-10-31;12,4;33;26,1;20,3;46,6;
2014-11-30;269,5;30,2;24,2;19,9;71,7;
2014-12-31;280,5;28,5;23,6;19,8;74,6;
2015-01-31;98,6;32,6;26,3;20,8;58,4;
2015-02-28;236,1;29,6;24,2;19,8;70,7;
2015-03-31;209,6;28,5;23,3;19,6;78;
2015-04-30;88;29,3;23,9;19,8;74,5;
2015-05-31;79,9;26,8;21,3;17,1;72,5;
2015-06-30;26,4;27,1;20,9;16,1;64,3;
2015-07-31;6,5;28,2;21,6;16,7;60,6;
2015-08-31;0;30,1;23;17;47,4;
2015-09-30;83,8;32,7;25,9;19,9;48,3;
2015-10-31;114,9;34,8;27,9;22,3;47,5;
2015-11-30;207,5;31,7;25,6;21,1;68,9;
2015-12-31;164,4;30,9;25,2;20,8;70;
2016-01-31;327,7;29,2;24,2;20,9;80,5;
2016-02-29;363;31,6;25;20,8;73,7;
2016-03-31;148;30,5;25;20,8;71,8;
2016-04-30;6,8;31,1;25;19,8;56,6;
2016-05-31;11,4;29,8;23,2;17,9;61,4;
2016-06-30;11,4;27,7;20,8;15,5;60,3;
2016-07-31;0;29,3;22;16,1;48,7;
2016-08-31;4,5;30,9;23,4;17,2;47,1;
2016-09-30;19,6;33,4;26;19,7;44,7;
2016-10-31;66,9;32,2;26;20,5;55,6;
2016-11-30;154,3;29,1;23,8;19,7;73,8;
2016-12-31;179,8;30,2;24,4;20;70,9;
2017-01-31;282,2;30,5;24,6;20,5;72,5;
2017-02-28;173;29,9;24,6;20,4;69,4;
2017-03-31;174,3;30,5;24,9;20,3;68,1;
2017-04-30;45,9;29,9;24,5;20;65,4;
2017-05-31;49,2;28,5;22,8;18,1;65,9;
2017-06-30;0;27,6;21,2;16,2;59,5;
2017-07-31;0;25,6;19,1;13,9;53,4;
2017-08-31;0;30,8;23,5;17,3;42,6;
2017-09-30;6,1;30,9;24,3;18,4;40,6;
2017-10-31;145,9;32,7;26,3;20,9;49,5;
2017-11-30;377,9;28,8;23,6;19,6;73;
2017-12-31;138,2;29;24,2;20,3;73,8;
2018-01-31;197,8;30,1;24,4;20,4;70,7;
2018-02-28;149,9;29,4;24,1;20,4;74,9;
2018-03-31;76,2;31;25,2;21;69,4;
2018-04-30;151,7;28,6;22,9;18,8;71,3;
2018-05-31;22,4;27,8;21,4;16,5;64,8;
2018-06-30;0;28,6;22;16,8;62,6;
2018-07-31;0;29;21,4;15,5;54,5;
2018-08-31;27,8;30;22,9;17,5;50,6;
2018-09-30;83,1;32;24,8;18,9;49,5;
2018-10-31;163;31,3;25,3;21;66,3;
2018-11-30;348,7;28,3;23,3;20;78,6;
2018-12-31;270;30,6;25;20,4;69,7;
2019-01-31;49;31,4;25,7;20,8;63,7;
2019-02-28;187,7;30,9;24,8;20,7;74,3;
2019-03-31;173,3;29,9;24,5;20,6;73,4;
2019-04-30;100,5;29,9;24,4;20,2;72,2;
2019-05-31;27,4;29,2;23,3;18,6;69,4;
2019-06-30;0;28,1;21,3;16,1;59,6;
2019-07-31;0;28,1;20,3;14,5;55;
2019-08-31;0;30,3;23,2;17,3;48,3;
2019-09-30;22,2;34,4;27,1;20,9;41,8;
2019-10-31;115,4;32,8;26,2;21,1;55,1;
2019-11-30;111,3;31,5;25,1;20,7;68,9;
2019-12-31;211,5;30,3;24,7;20,5;73;
2020-01-31;514;30,1;24,7;21,1;77,8;
2020-02-29;456,1;29;23,7;20,3;81,7;
2020-03-31;165;29,9;24,4;20,3;71,8;
2020-04-30;26,1;29,4;23,7;19,4;69,3;
2020-05-31;14,7;26,8;20,5;15,9;66,7;
2020-06-30;0;28,3;21,3;16,1;61,1;
2020-07-31;0;29;21,6;16,1;52,7;
2020-08-31;0;29,8;22,5;16,4;45,8;
2020-09-30;8,5;33,7;26,5;20,5;38,6;
2020-10-31;94,4;32,9;26,5;21,5;56,8;
2020-11-30;143;31;24,9;19,9;62,7;
2020-12-31;240,6;30,4;24,7;20,4;72,5;
2021-01-31;311,9;30,6;25;20,4;66,4;
2021-02-28;275,4;29,4;23,7;19,9;76,7;
2021-03-31;103,7;30,3;24,5;19,9;67;
2021-04-30;72,5;29,4;23,4;18,3;61,5;
2021-05-31;1,2;29,1;22,4;17,3;60,2;
2021-06-30;,4;28,5;21,4;16,1;56,7;
2021-07-31;0;28,1;19,8;13,6;45,3;
2021-08-31;0;30,4;23,1;17,4;44,3;
2021-09-30;9,6;35,3;27,6;21;36,9;
2021-10-31;201,3;31,2;25,2;20,5;64,1;
2021-11-30;231;29,5;24,1;20,2;74,2;
2021-12-31;191,9;30,2;24,4;20,3;73,5;
2022-01-31;231,4;29,5;24;20,1;76,2;
2022-02-28;334,8;29,3;23,8;20,1;76,6;
2022-03-31;98,4;31,3;25,3;20,7;64,2;
2022-04-30;16,7;31,7;25,2;20,2;59,4;
2022-05-31;43,8;28;20,9;15,7;60,6;
2022-06-30;0;28,7;21,1;15,8;60,8;
2022-07-31;0;29,5;21,6;15,8;49,5;
2022-08-31;0;31,1;23,3;17,2;44,4;
2022-09-30;57,1;32,7;24,9;19,1;51,4;
2022-10-31;86,8;32,2;25,6;20,6;56,9;
2022-11-30;127,6;30,5;23,8;19,2;66,7;
2022-12-31;248;29,4;23,8;19,9;78,5;
2023-01-31;359,9;29,1;23,5;19,8;81,9;
2023-02-28;180,4;31,7;25,2;20,4;70,4;
2023-03-31;82,9;31,3;24,9;20,4;68,4;
2023-04-30;90,8;30;23,8;19,5;71,8;
2023-05-31;0;29,3;22,1;16,5;60,1;
2023-06-30;2,1;28,8;20,8;15,3;58,7;
2023-07-31;0;30;22;16,1;51,6;
2023-08-31;23,8;32,1;24,2;18,6;49,2;
2023-09-30;71,5;35,1;27,4;21,6;47,8;
2023-10-31;69,9;34,2;27,4;22,4;60,5;
2023-11-30;161,2;34,7;27,5;22;57,1;
2023-12-31;105,8;33,9;27;22,2;62,4;
2024-01-31;224,2;31,6;25,4;21,3;72,5;
2024-02-29;219,6;31;null;null;73,3;
2024-03-31;381,1;31,5;null;null;76;
2024-04-30;107,1;31,7;null;null;67,6;
2024-05-31;0;31,6;null;null;57,8;
2024-06-30;0;29,7;null;null;54,7;
2024-07-31;0;31,4;22,3;16,6;47,9;
2024-08-31;0;32,6;23,6;17;42,7;
2024-09-30;0;37,2;27,9;21,1;35;
2024-10-31;120,9;34,3;26,3;20,9;63,8;
2024-11-30;331,6;31,2;24,6;20,5;75,7;
2024-12-31;347,6;31,9;25;20,5;75,7;

