Nome: PATOS DE MINAS
Codigo Estacao: 83531
Latitude: -18.51972221
Longitude: -46.43916666
Altitude: 947.68
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;145,3;29,7;23,4;18,6;74,3;
2010-02-28;146,9;30,8;23,9;18,4;68,7;
2010-03-31;216,4;29,2;22,9;18,4;77,8;
2010-04-30;87,9;28,2;21,3;15,9;69,8;
2010-05-31;24,6;27,6;19,8;14;67,7;
2010-06-30;15,5;25,8;17,7;11,4;62,9;
2010-07-31;0;26,5;19,3;13,5;56,4;
2010-08-31;0;28,7;20,1;12,7;42;
2010-09-30;59,5;30,7;22,8;16,1;43,9;
2010-10-31;134,8;30,8;23,1;17,7;67,3;
2010-11-30;239,3;27,9;21,8;17,7;79,9;
2010-12-31;483,1;29,6;23,1;19;76,9;
2011-01-31;398,3;28,7;22,6;18,2;76,5;
2011-02-28;82,1;30,7;23,8;18,3;66,4;
2011-03-31;463,9;27,9;22;18,2;82,8;
2011-04-30;72,7;28,1;21,5;16,6;73,5;
2011-05-31;,4;27,3;20;14,1;65,5;
2011-06-30;24,2;26,1;18,3;12,7;64,1;
2011-07-31;0;27,3;19,2;12,9;56,1;
2011-08-31;0;30,4;21,9;14,8;44,6;
2011-09-30;6,3;31;22,8;15,7;38,9;
2011-10-31;133,9;28;21,7;17,2;72,8;
2011-11-30;217,9;27,6;21,4;16,9;72,1;
2011-12-31;416,4;27,1;21,5;17,9;84,6;
2012-01-31;251,1;26,9;21,3;17,6;82,3;
2012-02-29;153;29,1;22,5;17,4;71,7;
2012-03-31;196,9;29;22,2;17,3;75,3;
2012-04-30;73,7;29;22,2;17,2;74,7;
2012-05-31;49;25,6;19;14,3;73,9;
2012-06-30;51,4;26,6;19,7;14,4;71,3;
2012-07-31;,3;26,4;18,8;12,5;59,9;
2012-08-31;0;26,6;19,6;13,5;51,1;
2012-09-30;14,3;30,7;22,8;16,3;48,5;
2012-10-31;35,6;31,7;24,2;17,7;52,1;
2012-11-30;274,2;28,3;22,5;18,5;79,1;
2012-12-31;146,5;31,1;24,1;18,7;71,5;
2013-01-31;229;27,8;22,4;18,7;80,1;
2013-02-28;77,9;30,5;23,6;18;70,8;
2013-03-31;183,6;28,7;22,6;18,6;82,6;
2013-04-30;134,8;27,3;20,7;16,1;77,3;
2013-05-31;33,8;27,2;20;14,2;69,6;
2013-06-30;6,6;26,3;19,6;14,4;73,2;
2013-07-31;0;27;19,1;12,7;60;
2013-08-31;1,4;28,4;20,4;13,4;49,8;
2013-09-30;40;29,7;22,2;15,6;55,7;
2013-10-31;130,3;29;22,2;17,1;66,6;
2013-11-30;169,2;28,7;22,6;18,1;73,7;
2013-12-31;292,8;28,8;22,9;18,7;81,1;
2014-01-31;227,3;30,1;23,1;17,6;67,8;
2014-02-28;72,8;30,5;23,3;17,7;65,3;
2014-03-31;79;28,9;22,4;18;76,6;
2014-04-30;187,4;28,5;21,7;17,4;79,4;
2014-05-31;2,5;28;19,9;13,6;68,7;
2014-06-30;1,1;27,2;19,6;13,7;62,8;
2014-07-31;55;25,5;18,6;12,9;62,1;
2014-08-31;0;29;20,8;13,6;47,8;
2014-09-30;13,2;31,5;23,6;16,7;43;
2014-10-31;113,9;31,9;23,9;17,8;49;
2014-11-30;259,3;29,2;22,9;18,4;72;
2014-12-31;242,7;28;22,4;18,1;75,4;
2015-01-31;141,9;32,1;24,1;17,9;60,2;
2015-02-28;305,5;28,5;22,1;18;76;
2015-03-31;234,9;28;21,8;17,9;83,3;
2015-04-30;22,3;28,4;21,9;17,7;78,7;
2015-05-31;120,3;24,6;20,2;16,9;76,6;
2015-06-30;31,8;25,1;19,4;14,3;71,5;
2015-07-31;,7;26,8;19,7;13,9;63,4;
2015-08-31;0;29;20,8;13,9;50,9;
2015-09-30;83,8;31,7;24;17,6;49;
2015-10-31;70,5;33,5;25,9;19,7;46,5;
2015-11-30;159,2;31,3;24,4;19,4;66,7;
2015-12-31;170,9;30,5;23,4;18,6;73,4;
2016-01-31;414,6;27,7;22,5;19,4;84,5;
2016-02-29;86,8;30,9;23,8;18,6;73,2;
2016-03-31;91,9;29,6;23,2;18,7;74,3;
2016-04-30;10,1;30,8;22,9;16,6;62;
2016-05-31;21,2;28,7;20,6;14,8;67,1;
